"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_os","subject_screen_width","subject_screen_height","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_name","webgazer_data","webgazer_targets","correct_answer","question_text"
"6373","
                  <div class=""left-align"">
                    <img src=""https://designguide.ku.dk/download/co-branding/ku_logo_uk_v.png"" alt=""KU Logo"" class=""ku-logo"">
                    <h1>Welcome <b>EN</b> Dev!</h1>
                    <p>This mode is designed for the development of the experiment.</p>
                    <p>When each experiment loads, an image is saved.</p>
                    <p>The idea is then to save these images for the oficial experiment. At the final screen a file can be downloaded with the target locations.</p>
                    <ul>Ribeiro, Tiago - Research Assistant - <a href = ""mailto: tiri@di.ku.dk"">tiri@di.ku.dk</a></ul>
                    <p>Project Leaders:</p>
                    <ul>Søgaard, Anders - Professor - <a href = ""mailto: soegaard@di.ku.dk"">soegaard@di.ku.dk</a></ul>
                    <ul>Hollenstein, Nora - Assistant Professor - <a href = ""mailto: nora.hollenstein@hum.ku.dk"">nora.hollenstein@hum.ku.dk</a></ul>
                  </div>
                  ","0","html-button-response","0","6379","0.0-0.0","Win32","1280","720","","","","","","","","","","","","","","","",""
"","","","browser-check","1","9383","0.0-1.0","Win32","1280","720","1280","720","true","firefox","108.0.0","false","Windows 10","true","60.18","true","true","","","","",""
"2815","
    <p class=""webgaze-experiment-compact"" id=""paragraph"">In competitive sports, doping is the use of banned <span id=""meco_para_3_qa_1"">performance-enhancing drugs by athletic competitors</span>. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures to evade detection exacerbate the ethical violation with overt deception and cheating. Despite its prevalence in the headlines recently, doping is not a new phenomenon; in fact, it is as old as sport itself. From the use of substances <span id=""meco_para_3_qa_3"">in ancient chariot races</span> to more recent controversies <span id=""meco_para_3_qa_2"">in baseball and cycling</span>, popular views among athletes have varied widely over the years. In recent decades, authorities and sporting organizations have tried to strictly regulate the use of drugs in sport. The primary reasons for this ban are the <span id=""meco_para_3_qa_0"">health risks of performance-enhancing drugs</span>, the equality of opportunity for athletes, and the positive example to the public set by drug-free sport. Anti-doping authorities have repeatedly emphasized that using performance-enhancing drugs goes against the 'spirit of sport'.</p>"," ","html-keyboard-response","2","12199","0.0-2.0","Win32","1280","720","","","","","","","","","","","","meco_para_3","[]","{""#paragraph"":{""x"":50,""y"":22,""width"":1180,""height"":708.7999877929688,""top"":22,""right"":1230,""bottom"":730.7999877929688,""left"":50},""#meco_para_3_qa_0"":{""x"":70,""y"":507.70001220703125,""width"":1096.13330078125,""height"":71.80000305175781,""top"":507.70001220703125,""right"":1166.13330078125,""bottom"":579.5000152587891,""left"":70},""#meco_para_3_qa_1"":{""x"":70,""y"":47.899993896484375,""width"":1134.11669921875,""height"":71.80000305175781,""top"":47.899993896484375,""right"":1204.11669921875,""bottom"":119.69999694824219,""left"":70},""#meco_para_3_qa_2"":{""x"":70,""y"":382.29998779296875,""width"":1078.816650390625,""height"":71.80000305175781,""top"":382.29998779296875,""right"":1148.816650390625,""bottom"":454.09999084472656,""left"":70},""#meco_para_3_qa_3"":{""x"":266.933349609375,""y"":382.29998779296875,""width"":313.1333312988281,""height"":30,""top"":382.29998779296875,""right"":580.0666809082031,""bottom"":412.29998779296875,""left"":266.933349609375}}","",""
"30372","<p class=""webgaze-experiment"" id=""question"">Do athletes use doping to calm down before their competition? ","0","html-button-response","3","42573","0.0-3.0","Win32","1280","720","","","","","","","","","","","","meco_para_3_qa_1","[]","{""#question"":{""x"":154.98333740234375,""y"":285.29998779296875,""width"":970.0166625976562,""height"":112,""top"":285.29998779296875,""right"":1125,""bottom"":397.29998779296875,""left"":154.98333740234375}}","False",""
"795","
<p class=""webgaze-experiment"" id=""paragraph"">During the divestment from South Africa movement in the <span id=""a_HarvardUniversity_2_qa_0"">late 1980s</span>, student activists erected a symbolic ""shantytown"" on Harvard Yard and blockaded a speech given by South African Vice Consul <span id=""a_HarvardUniversity_2_qa_1"">Duke Kent-Brown</span>. The Harvard Management Company repeatedly refused to divest, stating that ""operating expenses must not be subject to financially unrealistic strictures or carping by the unsophisticated or by special interest groups."" However, the university did eventually reduce its South African holdings by <span id=""a_HarvardUniversity_2_qa_2"">$230 million</span> (out of $400 million) in response to the pressure.</p>"," ","html-keyboard-response","4","43371","0.0-4.0","Win32","1280","720","","","","","","","","","","","","a_HarvardUniversity_2","[]","{""#paragraph"":{""x"":50,""y"":64.5,""width"":1180,""height"":616,""top"":64.5,""right"":1230,""bottom"":680.5,""left"":50},""#a_HarvardUniversity_2_qa_0"":{""x"":951.4833374023438,""y"":104,""width"":138.96665954589844,""height"":33,""top"":104,""right"":1090.4499969482422,""bottom"":137,""left"":951.4833374023438},""#a_HarvardUniversity_2_qa_1"":{""x"":911.316650390625,""y"":248,""width"":221.6999969482422,""height"":33,""top"":248,""right"":1133.0166473388672,""bottom"":281,""left"":911.316650390625},""#a_HarvardUniversity_2_qa_2"":{""x"":979.6500244140625,""y"":536,""width"":161.73333740234375,""height"":33,""top"":536,""right"":1141.3833618164062,""bottom"":569,""left"":979.6500244140625}}","",""
"1310","","{""Q0"":""1""}","survey-text","5","44685","0.0-5.0","Win32","1280","720","","","","","","","","","","","","a_HarvardUniversity_2_qa_0","[]","{""#question"":{""x"":208.8000030517578,""y"":287.70001220703125,""width"":862.4000244140625,""height"":112,""top"":287.70001220703125,""right"":1071.2000274658203,""bottom"":399.70001220703125,""left"":208.8000030517578}}","late 1980s","When was the divestment from South Africa movement? "
"615","
<p class=""webgaze-experiment"" id=""paragraph""><span id=""a_Construction_2_qa_2"">The Standard Industrial Classification and the newer North American Industry Classification System</span> have a classification system for companies that perform or otherwise engage in construction. To recognize the differences of companies in this sector, it is divided into three subsectors: <span id=""a_Construction_2_qa_0"">building construction, heavy and civil engineering construction, and specialty trade contractors</span>. There are also categories for <span id=""a_Construction_2_qa_1"">construction service firms (e.g., engineering, architecture) and construction managers</span> (<span id=""a_Construction_2_qa_3"">firms engaged in managing construction projects without assuming direct financial responsibility for completion of the construction project</span>).</p>"," ","html-keyboard-response","6","45301","0.0-6.0","Win32","1280","720","","","","","","","","","","","","a_Construction_2","[]","{""#paragraph"":{""x"":50,""y"":28.5,""width"":1180,""height"":688,""top"":28.5,""right"":1230,""bottom"":716.5,""left"":50},""#a_Construction_2_qa_0"":{""x"":70,""y"":284,""width"":1128.13330078125,""height"":105,""top"":284,""right"":1198.13330078125,""bottom"":389,""left"":70},""#a_Construction_2_qa_1"":{""x"":70,""y"":428,""width"":1126.2166748046875,""height"":105,""top"":428,""right"":1196.2166748046875,""bottom"":533,""left"":70},""#a_Construction_2_qa_2"":{""x"":70,""y"":68,""width"":1091.183349609375,""height"":105,""top"":68,""right"":1161.183349609375,""bottom"":173,""left"":70},""#a_Construction_2_qa_3"":{""x"":70,""y"":500,""width"":1109.38330078125,""height"":177,""top"":500,""right"":1179.38330078125,""bottom"":677,""left"":70}}","",""
"1321","","{""Q0"":""1""}","survey-text","7","46624","0.0-7.0","Win32","1280","720","","","","","","","","","","","","a_Construction_2_qa_0","[]","{""#question"":{""x"":208.8000030517578,""y"":287.70001220703125,""width"":862.4000244140625,""height"":112,""top"":287.70001220703125,""right"":1071.2000274658203,""bottom"":399.70001220703125,""left"":208.8000030517578}}","building construction, heavy and civil engineering construction, and specialty trade contractors","What are the three construction subsectors?"
"745","
<p class=""webgaze-experiment"" id=""paragraph"">The most frequent musical contributor during the first 15 years was <span id=""a_DoctorWho_3_qa_0"">Dudley Simpson</span>, who is also well known for his theme and incidental music for Blake's 7, and for his haunting theme music and score for the original 1970s version of The Tomorrow People. Simpson's first Doctor Who score was <span id=""a_DoctorWho_3_qa_1"">Planet of Giants</span> (1964) and he went on to write music for many adventures of <span id=""a_DoctorWho_3_qa_2"">the 1960s and 1970s</span>, including most of the stories of the Jon Pertwee/Tom Baker periods, ending with <span id=""a_DoctorWho_3_qa_3"">The Horns of Nimon</span> (1979). He also made a cameo appearance in <span id=""a_DoctorWho_3_qa_4"">The Talons of Weng-Chiang</span> (as a Music hall conductor).</p>"," ","html-keyboard-response","8","47371","0.0-8.0","Win32","1280","720","","","","","","","","","","","","a_DoctorWho_3","[]","{""#paragraph"":{""x"":50,""y"":28.5,""width"":1180,""height"":688,""top"":28.5,""right"":1230,""bottom"":716.5,""left"":50},""#a_DoctorWho_3_qa_0"":{""x"":70,""y"":68,""width"":1114.7333984375,""height"":105,""top"":68,""right"":1184.7333984375,""bottom"":173,""left"":70},""#a_DoctorWho_3_qa_1"":{""x"":144.60000610351562,""y"":356,""width"":227.09999084472656,""height"":33,""top"":356,""right"":371.6999969482422,""bottom"":389,""left"":144.60000610351562},""#a_DoctorWho_3_qa_2"":{""x"":281.16668701171875,""y"":428,""width"":305.7833251953125,""height"":33,""top"":428,""right"":586.9500122070312,""bottom"":461,""left"":281.16668701171875},""#a_DoctorWho_3_qa_3"":{""x"":723.7166748046875,""y"":500,""width"":301.2166748046875,""height"":33,""top"":500,""right"":1024.933349609375,""bottom"":533,""left"":723.7166748046875},""#a_DoctorWho_3_qa_4"":{""x"":607.8333129882812,""y"":572,""width"":378.91668701171875,""height"":33,""top"":572,""right"":986.75,""bottom"":605,""left"":607.8333129882812}}","",""
"1679","","{""Q0"":""1""}","survey-text","9","49054","0.0-9.0","Win32","1280","720","","","","","","","","","","","","a_DoctorWho_3_qa_1","[]","{""#question"":{""x"":129.1999969482422,""y"":287.70001220703125,""width"":1021.5833740234375,""height"":112,""top"":287.70001220703125,""right"":1150.7833709716797,""bottom"":399.70001220703125,""left"":129.1999969482422}}","Planet of Giants","What was the episode name of Simpson's first Doctor Who score?"
