$paragraph	number	$q1	a1	$q2	a2	$q3	a3	$q4	a4	$parallel
string	number	string	number	string	number	string	number	string	number	number
""	1	""	1	""	0	""	0	""	0	0
""	2	""	0	""	1	""	0	""	1	0
"Στον αθλητισμό, το ντόπινγκ ορίζεται ως η χρήση <q2>απαγορευμένων ουσιών που ενισχύουν την απόδοση των αθλητών.</q2> Ο όρος ντόπινγκ χρησιμοποιείται ευρέως από διεθνείς αθλητικούς οργανισμούς. Η χρήση ουσιών για ενίσχυση της απόδοσης θεωρείται ανέντιμη πρακτική και συνεπώς απαγορεύεται από τους περισσότερους διεθνείς οργανισμούς, μεταξύ των οποίων και τη Διεθνή Ολυμπιακή Επιτροπή. Επιπλέον, οι αθλητές που προσπαθούν να αποφύγουν την ανίχνευση τέτοιων ουσιών υπερβαίνουν τα όρια της ηθικής και φτάνουν στα όρια της εξαπάτησης. Το ντόπινγκ δεν είναι ένα νέο φαινόμενο - στην πραγματικότητα είναι τόσο παλιό όσο και ο ίδιος ο αθλητισμός. Από τη χρήση ουσιών <q4>στους αρχαίους αγώνες άμαξας</q4> μέχρι τα πρόσφατα περιστατικά <q3>σε μπέιζμπολ και ποδηλασία</q3>, οι απόψεις των αθλητών για το ντόπινγκ ποικίλουν διαχρονικά. Τις τελευταίες δεκαετίες, οι αρμόδιες αθλητικές αρχές και οργανώσεις προσπαθούν να ρυθμίσουν αυστηρά τη χρήση ουσιών στον αθλητισμό. Οι βασικοί λόγοι για την απαγόρευση των ουσιών<q1> είναι οι κίνδυνοι για την υγεία των αθλητών </q1>, οι ίσες ευκαιρίες και το θετικό παράδειγμα του αθλητισμού χωρίς ουσίες. Οι αρχές αντι-ντόπινγκ έχουν επανειλημμένα τονίσει ότι η χρήση ουσιών είναι ενάντια στο «πνεύμα του αθλητισμού»."	3	"Μπορεί η χρήση ουσιών να έχει δυσμενή για την υγεία αποτελέσματα;"	1	"Οι αθλητές χρησιμοποιούν τέτοιες ουσίες για να χαλαρώνουν πριν από τον αγώνα"	0	"Το ντόπινγκ αφορά μόνο συγκεκριμένους τομείς του αθλητισμού"	0	"Η πρώτη φορά που καταγράφηκε χρήση τέτοιων ουσιών ήταν σε αρχαίους αγώνες πάλης"	0	1
""	4	""	1	""	0	""	1	""	1	0
""	5	""	0	""	1	""	1	""	0	0
""	6	""	0	""	1	""	1	""	0	0
"Η γευσιγνωσία κρασιού αφορά την αισθητηριακή  αξιολόγησή του. Παρόλο που η πρακτική της γευσιγνωσίας είναι τόσο αρχαία όσο και η παραγωγή του κρασιού, ωστόσο μια πιο τυποποιημένη μεθοδολογία έχει καθιερωθεί σταδιακά από τα τέλη του μεσαίωνα και μετά. Οι σύγχρονοι δοκιμαστές κρασιού χρησιμοποιούν μια εξειδικευμένη ορολογία για να περιγράψουν το εύρος των γεύσεων, αρωμάτων και γενικών χαρακτηριστικών ενός κρασιού. Τα τελευταία χρόνια, ορισμένα <q1><q2>ευρήματα αμφισβητούν την αξιοπιστία της γευσιγνωσίας του κρασιού τόσο από ειδικούς</q1> όσο και απλούς καταναλωτές</q2>. Για παράδειγμα, έρευνες δείχνουν ότι οι άνθρωποι αναμένουν ότι το ακριβότερο κρασί θα έχει πιο επιθυμητά χαρακτηριστικά σε σχέση με το φθηνότερο κρασί. Όταν προσφέρεται στους δοκιμαστές κρασί το οποίο έχει χαρακτηριστεί ως ακριβό ενώ δεν είναι, τότε το αξιολογούν ως γευστικά καλύτερο, συγκριτικά με την περίπτωση που χαρακτηρίζεται ως φθηνό. Άλλες μελέτες δείχνουν ότι η κρίση των γευσιγνωστών επηρεάζεται από τη γνώση των λεπτομερειών του κρασιού, όπως η γεωγραφική προέλευση, η φήμη ή άλλοι παράγοντες. Επομένως, <q3>η γευσιγνωσία κρασιού για να θεωρηθεί αντικειμενική απαιτεί τυφλή δοκιμασία </q3>– ο δοκιμαστής δεν πρέπει να δει την ετικέτα ή το σχήμα του μπουκαλιού. Η τυφλή δοκιμασία μπορεί <q4>επίσης να περιλαμβάνει το σερβίρισμα του κρασιού σε ποτήρι μαύρου χρώματος για να καλύπτεται το χρώμα του κρασιού</q4>."	7	"Είναι οι δοκιμαστές κρασιού αξιόπιστοι στην κρίση της ποιότητας του κρασιού"	0	"Οι έμπειροι δοκιμαστές είναι λιγότερο προκατειλημμένοι σε σχέση με τους απλούς καταναλωτές"	0	"Η τυφλή δοκιμασία του κρασιού εξασφαλίζει ότι η δοκιμασία κρασιού θα είναι λιγότερο υποκειμενική"	1	"Το κρασί πρέπει να σερβίρεται σε ποτήρι μαύρου χρώματος για να καλυφθεί το χρώμα του κρασιού"	1	1
""	8	""	0	""	0	""	1	""	1	0
""	9	""	1	""	0	""	1	""	1	0
