$paragraph	number	$q1	a1	$q2	a2	$q3	a3	$q4	a4	$parallel
string	number	string	number	string	number	string	number	string	number	number
"Янус — бог всех начинаний, ворот и переходов в древнеримской религии и мифологии. Он имеет двоякую природу, и его обычно изображают двуликим, так как он смотрит и в будущее, и в прошлое. Янусу были подвластны начало и конец всякого конфликта, а значит — война и мир. Ворота его храма были открыты во время войны и закрыты в мирное время. Януса как бога ворот также связывали с входом и выходом из дома. Янус часто символизировал изменения и переходы, например, переход из одного состояния в другое, от одного мировоззрения к другому, от юности к зрелости. Поэтому Янусу поклонялись перед сбором и посевом урожая, а также во время бракосочетаний, похорон и разных начинаний. У Януса не было своих жрецов, зато его церемонии отправлял сам верховный жрец. Янус олицетворял золотую середину между варварством и цивилизацией, деревней и городом, юностью и зрелостью. У древних греков не было бога, подобного Янусу, и римляне провозглашали его исключительно своим божеством."	1	"Янус был богом дверей и переходов."	1	"Янус символизировал ночное время."	0	"Врата храма Януса были открыты в мирное время."	0	"Янус – древнегреческое божество."	0	0
"Жест «шака» — это знак дружеских намерений, который часто связывают с Гавайями и сёрф-культурой. Чтобы показать этот жест, нужно оттопырить большой палец и мизинец и прижать к ладони указательный, средний и безымянный пальцы, повернув ладонь передней или тыльной стороной к собеседнику. Для большей выразительности ладонь покачивают взад-вперёд. Жест «шака» был заимствован из традиционной гавайской культуры приезжими сёрферами в шестидесятых годах прошлого века и затем получил распространение по всему миру. В основном этот жест используют для приветствия, но им также можно выразить благодарность, поддержку или даже похвалу. Жители Гавайев используют шака, чтобы передать «дух Алоха»: идею дружбы, понимания, сострадания и солидарности между различными народами, живущими на Гавайях. Хотя точное происхождение знака неясно, некоторые предполагают, что он произошёл от испанских иммигрантов: они прижимали четыре пальца к ладони и прикладывали оттопыренный большой палец к губам в качестве дружеского жеста, изображая, что выпивают вместе с местными жителями."	2	"Правда ли, что испанские иммигранты заимствовали жест «шака» у местных жителей Гавайев?"	0	"Подразумевает ли «дух Алоха» доброе, дружеское отношение друг к другу?"	1	"Используется ли знак «шака», чтобы дразнить другого?"	0	"Правда ли, что шака распространился по всему миру в двадцатом веке?"	1	0
"В профессиональном спорте допингом называют применение спортсменами запрещенных стимулирующих веществ. Термин «допинг» широко используется организациями, регулирующими проведение спортивных соревнований. Использование стимулирующих веществ для улучшения спортивных показателей, как правило, считается неэтичным и поэтому запрещено большинством международных спортивных организаций, включая Международный Олимпийский Комитет. Более того, спортсмены, которые прикладывают явные усилия, чтобы избежать разоблачения, усугубляют нарушение этических принципов открытым обманом и мошенничеством. Несмотря на недавнюю популярность этой темы в газетных заголовках, допинг — явление не новое, а такое же древнее, как и сам спорт. Начиная с древних гонок на колесницах и до недавних скандалов в бейсболе и велоспорте, взгляды спортсменов постоянно менялись в зависимости от эпохи. В последние десятилетия государственные органы и спортивные организации стараются строго контролировать использование стимулирующих веществ в спорте. Главные причины для запрета – это вред стимулирующих веществ для здоровья, обеспечение равных возможностей для спортсменов и положительный пример, который спорт без допинга подаёт общественности. Антидопинговые организации постоянно подчёркивают, что использование стимулирующих веществ противоречит духу спорта."	3	"Допинг может оказывать пагубное воздействие на организм."	1	"Спортсмены принимают допинг перед соревнованием, чтобы успокоиться."	0	"Допинг является проблемой лишь в некоторых спортивных дисциплинах."	0	"Использование допинга было впервые обнаружено в древних состязаниях борцов."	0	0
""	4	""	1	""	0	""	1	""	1	0
""	5	""	0	""	1	""	1	""	0	0
""	6	""	0	""	1	""	1	""	0	0
"Дегустация — это оценка вина с точки зрения его вкуса, запаха и цвета. Хотя дегустация вина — явление такое же древнее, как само виноделие, более или менее формальная методология дегустации начала постепенно зарождаться лишь с позднего средневековья. Современные профессиональные дегустаторы используют постоянно расширяющуюся терминологию, чтобы передать диапазон вкусов, ароматов и общих характеристик вина. В последние годы появились исследования, ставящие под сомнение надёжность результатов дегустации, полученных как экспертами, так и потребителями. Например, согласно результатам исследований, люди считают, что более дорогое вино будет обладать лучшими характеристиками, чем менее дорогое. Когда дегустаторам предлагают вино, которое неправильно описано как дорогое, они практически всегда оценивают его вкус выше, чем вкус того же самого вина, которое было представлено как дешевое. Другие исследования показывают, что на оценку вина дегустаторами влияет любая информация о нём, например, его географическое происхождение, репутация и прочие характеристики. Таким образом, для объективной дегустации требуется, чтобы вино подавалось вслепую, то есть так, чтобы дегустатор не видел этикетку или форму бутылки. Дегустация вслепую также может предполагать подачу вина в черном бокале, чтобы скрыть его цвет."	7	"Дегустаторы дают надежную оценку качеству вина."	0	"Профессиональные дегустаторы менее предвзяты, чем любители."	0	"Дегустация вслепую способствует объективной оценке качества."	1	"Вино иногда подают в черном бокале, чтобы скрыть цвет."	1	0
""	8	""	0	""	0	""	1	""	1	0
""	9	""	1	""	0	""	1	""	1	0
