"Antik Roma inanışlarında ve mitlerinde, Janus başlangıçların ve kapıların tanrısıdır. Onun çift taraflı bir doğası vardır ve genellikle iki yüzü var olarak resmedilir, çünkü o geçmişe ve geleceğe bakar. Janus, anlaşmazlıkların başlamasını ve bitmesini kontrol ederdi ve dolayısıyla savaş ve barışı. Onun tapınağının kapıları savaş zamanında açık ve barış sırasında kapalıydı. Kapıların tanrısı olarak, o aynı zamanda evlerin kapılarının giriş ve çıkışlarıyla da ilişkilendirildi. Janus, sıklıkla değişimi ve dönüşümü sembolize etti, örneğin bir durumdan diğerine, bir bakıştan diğerine, genç insanların yetişkinliğe büyümesi gibi. Bu yüzden, Janus’a hasat ve ekin zamanlarında ve buna ilaveten düğünlerde, ölümlerde ve diğer başlangıçlarda ibadet edildi. Janus’a tahsis edilmiş özel bir keşiş yoktu, fakat en üst düzey keşiş olarak seremonilerini kendisi gerçekleştirdi. Janus barbarlık ve medeniyet, kırsal ve kentsel alan, gençlik ve yetişkinlik arasındaki orta yeri temsil etti. Antik Yunanlıların Janus’a, ki Romalılar belirgin olarak kendilerine ait olduğunu iddia etmişlerdir, eşdeğeri yoktu."	1	"Janus kapıların ve yolların tanrısı mıdır?"	1	"Janus gece vaktini temsil eder mi?"	0	"Janus un tapınağının kapıları barış zamanında açık mıdır?"	0	"Janus Yunan tanrısı mıdır?"	0	0
"Shaka işareti, daha çok Hawaii ve sörf kültürüyle ilişkilendirilen bir el hareketidir. Bu hareket, baş parmak ve serçe parmak açık; diğer üç parmağın kapalı ve kıvrılmış durumda bulunması ve elin kendi ekseninde ileri geri oynatılmasıyla oluşur. Shaka işareti, altmışlarda Hawaii’yi ziyaret eden sörfçülerin benimseyip kendi kültürlerinin bir parçası haline getirmesiyle dünyaya yayılmıştır. Çoğunlukla selamlamak, teşekkür etmek, onaylamak ve hatta övgü ifade etmek için kullanılır. Hawaii sakinleri bu el hareketini komşu ülkeler ve sınırdaki çeşitli etnik kültürlerle iletişimlerinde dostluk, anlayış ve merhamet kavramı olan “Aloha Ruhu”nu yaymak için kullanır. Aynı zamanda birbirlerinin dillerini tercüme etmek yerine ortak bir yerde buluşmak için bu işareti seçtiler. İşaretin tam kökeni bilinmese de bazıları kökeninin İspanyol göçmenlerin Hawaii’de tanıştıkları yerlilere bu işareti arkadaşça içki içmeyi teklif etmek için, baş parmağı ağıza doğru götürerek, kullanmasından yayıldığını düşünmektedir."	2	"İspanyol göçmenler shaka işaretini Hawaiili yerlilerden mi edindiler?"	0	"“Aloha Ruhu” iletişimde olumlu bir etki sağlıyor mu?"	0	"Shaka işareti alay için kullanılıyor mu? "	1	"Shaka işareti 20. yüzyılda dünyaya yayıldı mı? "	1	0
"Rekabete dayalı sporlarda, doping sportif performansı artırmak amacıyla yasaklanmış maddenin atletik yarışmacılar tarafından kullanılmasıdır. Doping terimi sportif yarışmaları düzenleyen organizasyonlar tarafından yaygın olarak kullanılır. Performansı arttırmak amacıyla madde kullanımı çoğunlukla etik dışı olarak değerlendirilir, ve bu sebeple Uluslararası Olimpik Komitenin de içinde olduğu bir çok uluslararası spor organizasyonu tarafından yasaklanmıştır. Buna ek olarak, tespitten kaçınmak için açıkça önlemler alan sporcular, dolandırıcılık ve hilekarlıkla etiği açıkça ihlal etmekle durumu kötüleştirirler. Son zamanlarda manşetlerde yaygın olmasına rağmen, doping yeni bir olay değil- aslında, sporun kendisi kadar eski. Antik iki tekerlekli at arabası yarışlarında madde kullanımından, beyzbol ve bisikletçilikteki daha yakın anlaşmazlıklara, atletler arasındaki popular görüş yıllar içerisinde çeşitlilik gösterdi. Yakın on yıllarda, otoriteler ve spor organizasyonları sporda madde kullanımını sıkıca kontrol etmeyi deniyorlar. Bu yasaklamanın öncelikli nedenleri performans arttırıcı ilaçların sağlık riskleri, atletler için fırsat eşitliği ve ilaçsız sporların kamuya olumlu örnek oluşturmasıdır. Doping karşıtı otoriteler tekrar tekrar performans arttırıcı ilaçların kullanımının "sporun ruhuna" aykırı olduğunun altını çiziyorlar."	3	"Dopingin sağlık üzerinde olumsuz etkileri olabilir mi?"	1	"Sporcular yarışmalarından önce sakinleşmek için doping kullanıyor mu?"	0	"Doping sadece belirli spor alanları için mi bir problem?"	0	"İlk doping kullanımı ilk kez eski güreş müsabakalarında mi gözlendi?"	0	0
""	4	""	1	""	0	""	1	""	1	0
""	5	""	0	""	1	""	1	""	0	0
""	6	""	0	""	1	""	1	""	0	0
"Şarap tadımı, şarabın duyumsal olarak incelenmesi ve değerlendirilmesidir. Şarap tadım pratiği şarap üretimi kadar antikken, daha biçimsel bir metodoloji orta çağların sonlarından günümüze yavaşça oluşmaktadır. Modern, profesyonel şarap tadımcıları şarabın algılanan lezzet çeşitlerini, aromasını ve genel karakteristiğini tarif etmek <q2>için kullanılan sürekli olarak gelişen özelleşmiş terminolojiyi kullanırlar.</q2> Son yıllarda hem <q1>uzmanlarda hem de tüketicilerde şarap tadımı güvenilirliğini zorlayan</q1> sonuçlar ortaya çıktı. Örneğin, araştırmalar insanların daha pahalı şarabın daha ucuz şaraba göre daha fazla arzulanan karakteristiğe sahip olmasını beklediklerini göstermiştir: Tadımcılar verilen şarabın gerçek olmayan bir şekilde pahalı olduğu söylendiğinde, neredeyse her zaman aynı şarap onlara ucuz olduğu söylendiğinden daha lezzetli olduğunu belirttiler. Başka çalışmalar gösteriyor ki tadımcıların kararları coğrafi köken, itibar veya diğer etkenlerin bilinmesiyle etki altında kalabiliyor. <q3>Objektif şarap tadımı bu yüzen şarabın kör tadımını gerektirir</q3>- bu tadımcının şarabın etiketini veya şişenin şeklini görmemesidir. Kör tadım ayrıca şarabın <q4>siyah şarap bardağında şarabın rengini maskeleyecek şekilde servis edilmesini de içerir</q4>."	7	"Şarap tadımcıları, şarap kalitesi kararlarında güvenilir midir?"	0	"Tecrübeli şarap tadımcıları meslekten olmayan kişilerden daha az önyargılı mı?"	0	"Kör şarap tadımı, şarap tadımının daha az öznel olmasını sağlıyor mu?"	1	"Şarap, rengini maskelemek için siyah bir bardakta mı servis edilir?"	1	1
""	8	""	0	""	0	""	1	""	1	0
""	9	""	1	""	0	""	1	""	1	0
""	10	""	1	""	0	""	0	""	1	0
