$paragraph	number	$q1	a1	$q2	a2	$q3	a3	$q4	a4	$parallel
string	number	string	number	string	number	string	number	string	number	number
"Στην αρχαία ρωμαϊκή θρησκεία και μυθολογία, ο Ιανός ήταν ο θεός των εκκινήσεων και των μεταβάσεων. Είχε διπλή φύση και συνήθως απεικονιζόταν με δύο πρόσωπα, αφού κοιτούσε ταυτόχρονα στο μέλλον και στο παρελθόν. Ο Ιανός παρακολουθούσε την αρχή και το τέλος μιας σύγκρουσης και κατ’ επέκταση τον πόλεμο και την ειρήνη. Οι πόρτες του ναού του ήταν ανοιχτές σε περιόδους πολέμου και κλειστές σε περιόδους ειρήνης. Ως ο θεός των πυλών, συνδέθηκε επίσης με την είσοδο και έξοδο από τις πόρτες των σπιτιών. Ο Ιανός συμβόλιζε συχνά τις αλλαγές και τις εξελίξεις, όπως η πρόοδος από μια κατάσταση σε άλλη, από ένα όραμα σε άλλο και η μετάβαση από την εφηβεία στην ενηλικίωση. Ως αποτέλεσμα, ο Ιανός λατρεύτηκε στην έναρξη της σποράς και της συγκομιδής, όπως επίσης σε γάμους, θανάτους και άλλες αφετηρίες. Στον Ιανό δεν είχε ανατεθεί συγκεκριμένος ιερέας, αλλά ο ίδιος ο αρχιερέας τελούσε τις τελετουργίες του. Ο Ιανός αντιπροσώπευε το μεσοδιάστημα ανάμεσα στη βαρβαρότητα και τον πολιτισμό, τον αγροτικό και τον αστικό χώρο, τη νεότητα και την ενηλικίωση. Οι Ρωμαίοι ισχυρίστηκαν ότι ο Ιανός ήταν δική τους θεότητα, καθώς οι αρχαίοι Έλληνες δεν είχαν αντίστοιχο θεό"	1	"Was Janus a god of doors and passages?"	1	"Does Janus symbolize the night time?"	0	"Were the doors of Janus’ temple open in time of peace?"	0	"Is Janus a Greek god?"	0	0
"Το χαβανέζικο νεύμα σάκα χρησιμοποιείται από τους λάτρεις του σερφ, συνήθως σε μία φιλική συζήτηση, για να δηλώσει ότι «όλα είναι υπό έλεγχο». Για να κάνεις το νεύμα σάκα θα πρέπει να σηκώσεις το πρώτο και το τελευταίο δάχτυλο του χεριού σου, να κρατήσεις τα μεσαία σου δάχτυλα λυγισμένα και να περιστρέψεις το χέρι σου δεξιά και αριστερά. Τη δεκαετία του 1960, οι σέρφερ που επισκέπτονταν τη Χαβάη, «δανείστηκαν» το τοπικό αυτό νεύμα, το οποίο διαδόθηκε σε όλο τον κόσμο. Έκτοτε, το νεύμα αυτό χρησιμοποιείται ευρέως μεταξύ των ανθρώπων για ανταλλαγή χαιρετισμών, έκφραση ευχαριστιών ή δήλωση επαίνου. Οι πολίτες της Χαβάη χρησιμοποιούν το νεύμα σάκα για να εκφράσουν συγχρόνως αυτό που αποκαλούν «Aloha Spirit», δηλαδή τη φιλία, την κατανόηση, τη συμπόνια και την αλληλεγγύη μεταξύ των διαφόρων φυλών που ζουν στη Χαβάη. Πιστεύεται ότι το νεύμα σάκα προέρχεται από τους Ισπανούς μετανάστες, οι οποίοι για να προσκαλέσουν τους ντόπιους της Χαβάης για ένα ποτό, έφερναν τον ανασηκωμένο αντίχειρα του χεριού τους κοντά στα χείλη τους, κρατώντας τα μεσαία τους δάχτυλα κλειστά"	2	"Did Spanish immigrants adopt the shaka sign from Hawaiian residents?"	0	"Does the “Aloha Spirit” convey positive interpersonal relations?"	1	"Is the shaka sign used for teasing?"	0	"Has the shaka sign spread around the world in the 20th century?"	1	0
"Στον αθλητισμό, το ντόπινγκ ορίζεται ως η χρήση απαγορευμένων ουσιών που ενισχύουν την απόδοση των αθλητών. Ο όρος ντόπινγκ χρησιμοποιείται ευρέως από διεθνείς αθλητικούς οργανισμούς. Η χρήση ουσιών για ενίσχυση της απόδοσης θεωρείται ανέντιμη πρακτική και συνεπώς απαγορεύεται από τους περισσότερους διεθνείς οργανισμούς, μεταξύ των οποίων και τη Διεθνή Ολυμπιακή Επιτροπή. Επιπλέον, οι αθλητές που προσπαθούν να αποφύγουν την ανίχνευση τέτοιων ουσιών υπερβαίνουν τα όρια της ηθικής και φτάνουν στα όρια της εξαπάτησης. Το ντόπινγκ δεν είναι ένα νέο φαινόμενο - στην πραγματικότητα είναι τόσο παλιό όσο και ο ίδιος ο αθλητισμός. Από τη χρήση ουσιών στους αρχαίους αγώνες άμαξας μέχρι τα πρόσφατα περιστατικά σε μπέιζμπολ και ποδηλασία, οι απόψεις των αθλητών για το ντόπινγκ ποικίλουν διαχρονικά. Τις τελευταίες δεκαετίες, οι αρμόδιες αθλητικές αρχές και οργανώσεις προσπαθούν να ρυθμίσουν αυστηρά τη χρήση ουσιών στον αθλητισμό. Οι βασικοί λόγοι για την απαγόρευση των ουσιών είναι οι κίνδυνοι για την υγεία των αθλητών, οι ίσες ευκαιρίες και το θετικό παράδειγμα του αθλητισμού χωρίς ουσίες. Οι αρχές αντι-ντόπινγκ έχουν επανειλημμένα τονίσει ότι η χρήση ουσιών είναι ενάντια στο «πνεύμα του αθλητισμού»."	3	"Can doping have adverse health effects?"	1	"Do athletes use doping to calm down before their competition?"	0	"Is doping an issue only in specific disciplines?"	0	"Was the use of doping first observed in ancient wrestling competitions?"	0	1
"Το μεγαλύτερο σαρκοφάγο ζώο της σύγχρονης εποχής έχει μάρσιπο και ονομάζεται θυλακίνος. Είναι κοινώς γνωστό ως τίγρη ή λύκος της Τασμανίας, λόγω των ομοιοτήτων του με την τίγρη (λωρίδες στην πλάτη) ή τον λύκο (χαρακτηριστικά). Απολιθώματα δείχνουν ότι ο θυλακίνος μέχρι τον εικοστό αιώνα ζούσε στην ηπειρωτική Αυστραλία, την Τασμανία και τη Νέα Γουινέα και έκτοτε θεωρείται ως εξαφανισμένο είδος. Μάρσιπο διέθεταν πέρα από τους θηλυκούς και οι αρσενικοί θυλακίνοι. Για παράδειγμα, στον αρσενικό θυλακίνο, ο μάρσιπος χρησίμευε για την προστασία των εξωτερικών αναπαραγωγικών του οργάνων κατά τη διάρκεια του κυνηγιού. Ο θυλακίνος χαρακτηρίζεται από την αυξημένη ικανότητα επιβίωσης, αφού εξασφαλίζει την τροφή του ακόμη και σε εξαιρετικά αραιοκατοικημένες περιοχές. Η σημαντική μείωση ή η εξαφάνιση του θυλακίνου από την Αυστραλία υπολογίζεται πριν τη βρετανική αποικιοκρατία∙ αντιθέτως στην Τασμανία συνέχισε να επιβιώνει. Χρηματικές αμοιβές για το κυνήγι θυλακίνου, η εξάπλωση ασθενειών, η εμφάνιση σκύλων και η παρέμβαση του ανθρώπου στο περιβάλλον θεωρούνται μερικές από τις αιτίες εξαφάνισης του θυλακίνου. Παρόλο που επίσημα θεωρείται ως εξαφανισμένο είδος, εντούτοις υπάρχουν μαρτυρίες που υποστηρίζουν το αντίθετο –παραμένουν όμως ανεπιβεβαίωτες πληροφορίες."	4	"Do male thylacines have a pouch?"	1	"Did introduction of sheep contribute to extinction of thylacine?"	0	"Is the thylacine compared to a tiger because of its tail?"	0	"Did the thylacine live in Asia?"	0	0
"Κάθε χρόνο, στις πέντε Ιουνίου, γιορτάζεται η Παγκόσμια Ημέρα Περιβάλλοντος (ΠΗΠ), η οποία αποτελεί την κύρια εκδήλωση των Ηνωμένων Εθνών και στοχεύει στην ενημέρωση του κοινού για τα περιβαλλοντικά προβλήματα που αντιμετωπίζει η ανθρωπότητα. Γιορτάστηκε για πρώτη φορά το 1974 με την πραγματοποίηση μίας σημαντικής εκστρατείας που στόχευε στην ευαισθητοποίηση του κοινού για μία σειρά από πρωτοεμφανιζόμενα τότε προβλήματα όπως η ρύπανση της θάλασσας, η αύξηση του πληθυσμού και της θερμοκρασίας. Η ΠΗΠ πλέον γιορτάζεται σε περισσότερες από εκατό χώρες. Τα θέματα που απασχολούν την ΠΗΠ διαφοροποιούνται κάθε χρόνο, και κυβερνήσεις, οργανώσεις και διάσημες προσωπικότητες ενώνουν τη φωνή και τις δυνάμεις τους για να παρακινήσουν τους πολίτες να στηρίξουν την εκστρατεία. Για παράδειγμα, το 2018 η εκστρατεία ήταν αφιερωμένη στην αντιμετώπιση της πλαστικής ρύπανσης. Καλούσε τους πολίτες να μειώσουν τη χρήση πλαστικών στην καθημερινότητά τους. Η συλλογική αυτή δράση στόχευε στη μείωση της χρήσης των πλαστικών προϊόντων μίας χρήσης, καθώς η βλάβη που προξενεί η χρήση τους στο περιβάλλον είναι ανεπανόρθωτη. Η κυβέρνηση μάλιστα της Ινδίας δεσμεύτηκε ότι μέχρι το 2022 κανένας στη χώρα δε θα χρησιμοποιεί πλαστικά μίας χρήσης."	5	"Is the WED of 2018 focused on India eliminating plastic use?"	0	"Do governments get involved in the advocating of WED?"	1	"Is WED celebrated on a different date every year?"	0	"Is overpopulation of Earth one of common WED themes?"	1	0
"Η διόρθωση ή η ενίσχυση της όρασης σε ένα από τα δύο μάτια γίνεται με ένα είδος μονού διορθωτικού φακού, γνωστού ως μονόκλ. Ο φακός αυτός έχει σχήμα κυκλικό, πλαισιώνεται από σύρμα και ενώνεται με μία αλυσίδα. Η αλυσίδα συνδέεται με το ρούχο του ανθρώπου που το φορεί για να μη χαθεί ο φακός. Η χρήση του μονόκλ συνδέθηκε με την αριστοκρατία του δέκατου ένατου αιώνα. Οι αριστοκράτες της τότε εποχής συνήθιζαν να φορούν καπέλο, μακρύ παλτό και το χαρακτηριστικό μονόκλ ολοκλήρωνε την εμφάνισή τους. Επίσης, οι αξιωματικοί του στρατού συνήθιζαν, την ίδια εποχή, να κυκλοφορούν με ένα μονόκλ στο μάτι. Στις μέρες μας δε συνηθίζεται η χρήση του μονόκλ. Η σημαντική πρόοδος που σημειώθηκε στον τομέα της οπτομετρίας επιτρέπει πλέον την ακριβή καταγραφή της οπτικής λειτουργίας και, κατ’ επέκταση, τη δημιουργία γυαλιών και φακών επαφής με διαφορετικά χαρακτηριστικά για το κάθε μάτι."	6	"Were monocles often worn on a string?"	1	"Was the monocle associated with a stereotypical look?"	1	"Were monocles deemed obsolete because they went out of style?"	0	"Were monocles worn by the members of social and military elite?"	1	0
"Η γευσιγνωσία κρασιού αφορά την αισθητηριακή  αξιολόγησή του. Παρόλο που η πρακτική της γευσιγνωσίας είναι τόσο αρχαία όσο και η παραγωγή του κρασιού, ωστόσο μια πιο τυποποιημένη μεθοδολογία έχει καθιερωθεί σταδιακά από τα τέλη του μεσαίωνα και μετά. Οι σύγχρονοι δοκιμαστές κρασιού χρησιμοποιούν μια εξειδικευμένη ορολογία για να περιγράψουν το εύρος των γεύσεων, αρωμάτων και γενικών χαρακτηριστικών ενός κρασιού. Τα τελευταία χρόνια, ορισμένα ευρήματα αμφισβητούν την αξιοπιστία της γευσιγνωσίας του κρασιού τόσο από ειδικούς όσο και απλούς καταναλωτές. Για παράδειγμα, έρευνες δείχνουν ότι οι άνθρωποι αναμένουν ότι το ακριβότερο κρασί θα έχει πιο επιθυμητά χαρακτηριστικά σε σχέση με το φθηνότερο κρασί. Όταν προσφέρεται στους δοκιμαστές κρασί το οποίο έχει χαρακτηριστεί ως ακριβό ενώ δεν είναι, τότε το αξιολογούν ως γευστικά καλύτερο, συγκριτικά με την περίπτωση που χαρακτηρίζεται ως φθηνό. Άλλες μελέτες δείχνουν ότι η κρίση των γευσιγνωστών επηρεάζεται από τη γνώση των λεπτομερειών του κρασιού, όπως η γεωγραφική προέλευση, η φήμη ή άλλοι παράγοντες. Επομένως, η γευσιγνωσία κρασιού για να θεωρηθεί αντικειμενική απαιτεί τυφλή δοκιμασία – ο δοκιμαστής δεν πρέπει να δει την ετικέτα ή το σχήμα του μπουκαλιού. Η τυφλή δοκιμασία μπορεί επίσης να περιλαμβάνει το σερβίρισμα του κρασιού σε ποτήρι μαύρου χρώματος για να καλύπτεται το χρώμα του κρασιού."	7	"Are wine tasters reliable in their judgments of wine quality?"	0	"Are experienced wine tasters less prejudiced towards wine than a lay person?"	0	"Does blind-tasting ensure wine tasting to be less subjective?"	1	"Is wine served in a black glass to mask its color?"	1	1
"Ο χυμός πορτοκαλιού παράγεται με το στύψιμο πορτοκαλιών. Μπορεί να διατηρηθεί για μεγάλο χρονικό διάστημα, αν παστεριωθεί και αφαιρεθεί το οξυγόνο του. Η διαδικασία αυτή όμως αλλοιώνει τη γεύση του χυμού, με αποτέλεσμα να απαιτείται η προσθήκη τεχνητών βιταμινών με βάση το πορτοκάλι. Ορισμένοι χυμοί υπόκεινται σε περαιτέρω επεξεργασία όπως είναι η αποξήρανση που ακολουθείται από την προσθήκη νερού στο χυμό ή η συμπύκνωση που ακολουθείται από την προσθήκη νερού στο συμπυκνωμένο προϊόν. Οι απόψεις που αφορούν τη θρεπτική αξία του χυμού διίστανται: παρόλο που ο χυμός πορτοκαλιού είναι πλούσιος σε βιταμίνη Γ, εντούτοις συγκεντρώνει υψηλά ποσοστά σακχάρων, παρόμοια με εκείνα των αναψυκτικών. Ως αποτέλεσμα, σε ορισμένα κράτη οι επαγγελματίες που ασχολούνται με τη διατροφή προωθούν την κατανάλωση φυσικών φρούτων αντί χυμών, τα οποία χωνεύονται με πιο αργό ρυθμό, περιορίζοντας έτσι την ημερήσια κατανάλωση."	8	"Are there crucial health benefits to drinking orange juice?"	0	"Is commercial orange juice pasteurized in order to taste better?"	0	"Do companies remove oxygen from orange juice?"	1	"Is orange juice similar to soda in its sugar content?"	1	0
"μελισσοκομία αφορά τη συγκέντρωση μελισσών σε κυψέλες, ιδίως εκείνων που παράγουν μέλι. Ο μελισσοκόμος συγκεντρώνει τις μέλισσες για διάφορους λόγους όπως η συλλογή μελιού και των παραγόμενων από την κυψέλη προϊόντων (π.χ., κηρήθρα), η επικονίαση καλλιεργειών και η πώληση των μελισσών σε άλλους μελισσοκόμους. Η μελισσοκομία έχει αρκετά παλιά παράδοση, αφού απεικονίζεται σε ζωγραφικές παραστάσεις τεσσάρων χιλιάδων ετών που ανακαλύφθηκαν στην Αίγυπτο. Στα παλιά χρόνια, η συλλογή του μελιού γινόταν από φυσικές κυψέλες με τη βοήθεια του καπνού και το μέλι αποθηκευόταν σε δοχεία, μερικά από τα οποία βρέθηκαν στις πυραμίδες του Φαραώ. Μετά τον δέκατο όγδοο αιώνα, η μελέτη της βιολογίας των μελισσών οδήγησε στην εφεύρεση τεχνητών κυψελών στην Ευρώπη, οι οποίες επέτρεπαν τη συγκομιδή του μελιού χωρίς την καταστροφή ολόκληρης της αποικίας μελισσών. Στις μέρες μας, ορισμένοι μελισσοκόμοι υποστηρίζουν ότι αποκτούν ανοσία στα τσιμπήματα και ότι είναι σημαντικό για την ασφάλειά τους να δέχονται κάθε χρόνο ορισμένα τσιμπήματα από μέλισσες. Τα ευρήματα πρόσφατων ερευνών υποστηρίζουν ότι οι μελισσοκόμοι έχουν υψηλά επίπεδα αντισωμάτων, τα οποία μάλιστα αποτελούν και το αντίδοτο στο κεντρί της μέλισσας."	9	"Was beekeeping practiced in ancient Egypt?"	1	"Is beekeeping widely obsolete today?"	0	"Can beekeepers build up immunity to bee venom?"	1	"Is beekeeping only prosperous with the use of honey bees?"	0	0
