$paragraph	number	$q1	a1	$q2	a2	$q3	a3	$q4	a4
string	number	string	number	string	number	string	number	string	number
"A scribe is a person who writes books or documents by hand, and may help keep track of records for priests and government. The profession was previously found in all literate cultures in some form. The work could involve copying books, including sacred texts, or secretarial and administrative duties, such as taking of dictation and the keeping of business, judicial and, historical records for kings, nobles, temples, and cities. In ancient Egypt, scribes were considered part of the royal court, were not conscripted and did not have to pay taxes. Sons of scribes were brought up in the same scribal tradition, sent to school and, upon entering the civil service, inherited their fathers' positions. In modern times, however, the profession lost most of its importance and status with the advent of printing. But even today, in societies with low literacy rates, street-corner letter writers and readers may still be found providing a service."	0	"Were scribes typically hired because of their hand-writing?"	0	"In ancient Egypt, were scribes exempt from paying taxes?"	1	"Could the scribe’s position be inherited from the father?"	1	"Does the profession of a scribe exist today?"	1
"In ancient Roman religion and myth, Janus is the god of beginnings and gates. He has a double nature and is usually depicted as having two faces, since he looks to the future and to the past. Janus presided over the beginning and ending of conflict, and hence war and peace. The doors of his temple were open in times of war and closed during peacetime. As the god of gates, he was also associated with entering and exiting the\\ndoors of homes. Janus frequently symbolized change and transitions, such as the progress from one condition to another, from one vision to another, and the growth of young people into adulthood. Hence, Janus was worshipped at the beginning of the harvest and planting times, as well as at marriages, deaths, and other beginnings. \\nJanus had no specialized priest assigned to him, but the high priest himself carried out his ceremonies. \\nJanus represented the middle ground between barbarism and civilization, rural and urban space, youth \\nand adulthood. The ancient Greeks had no equivalent to Janus, whom the Romans claimed as distinctively their own."	1	"Was Janus a god of doors and passages?"	1	"Does Janus symbolize the night time?"	0	"Were the doors of Janus’ temple open in time of peace?"	0	"Is Janus a Greek god?"	0
"The shaka sign, sometimes known as "hang loose", is a gesture of friendly intent often associated with Hawaii and surf culture. The gesture is made by extending the thumb and smallest finger while holding the three middle fingers curled and gesturing in salutation while presenting the front or back of the hand; the hand may be rotated back and forth for emphasis. The shaka sign was adopted from local Hawaiian culture and customs by visiting surfers in the 1960s, and its use has spread around the world. It is primarily used as a greeting gesture or to express thanks, acknowledgement, or even praise from one individual to another. Residents of Hawaii use the shaka to convey the "Aloha Spirit": a concept of friendship, understanding, compassion, and solidarity among the various ethnic cultures that reside in Hawaii. While the exact origin of the sign is unclear, some have suggested its origin was derived from Spanish immigrants, who folded their middle fingers and took their thumbs to their lips as a friendly gesture to represent sharing a drink with the natives they met in Hawaii."	2	"Did Spanish immigrants adopt the shaka sign from Hawaiian residents?"	0	"Does the “Aloha Spirit” convey positive interpersonal relations?"	1	"Is the shaka sign used for teasing?"	0	"Has the shaka sign spread around the world in the 20th century?"	1
"In competitive sports, doping is the use of banned performance-enhancing drugs by athletic competitors. The term doping is widely used by organizations which regulate sporting competitions. The use of drugs to enhance performance is largely considered unethical, and is therefore prohibited by most international sports organizations, including the International Olympic Committee. Furthermore, athletes who take explicit measures to evade detection exacerbate the ethical violation with overt deception and cheating. Despite its prevalence in the headlines recently, doping is not a new phenomenon; in fact, it is as old as sport itself. From the use of substances in ancient chariot races to more recent controversies in baseball and cycling, popular views among athletes have varied widely over the years. In recent decades, authorities and sporting organizations have tried to strictly regulate the use of drugs in sport. The primary reasons for this ban are the health risks of performance-enhancing drugs, the equality of opportunity for athletes, and the positive example to the public set by drug-free sport. Anti-doping authorities have repeatedly emphasized that using performance-enhancing drugs goes against the "spirit of sport"."	3	"Can doping have adverse health effects?"	1	"Do athletes use doping to calm down before their competition?"	0	"Is doping an issue only in specific disciplines?"	0	"Was the use of doping first observed in ancient wrestling competitions?"	0
"The thylacine was the largest known carnivorous marsupial of modern times. It is commonly known as the Tasmanian tiger because of its striped lower back, or the Tasmanian wolf because of its canine-like appearance, traits and attributes. Native to continental Australia, Tasmania, and New Guinea, it is believed to have become extinct in the twentieth century. The thylacine was one of only two marsupials to have a pouch in both sexes. The male had a pouch that protected the external reproductive organs while running through thick brush. The thylacine has been described as a formidable predator because of its ability to survive and hunt prey in extremely sparsely populated areas. The thylacine had become extremely rare or extinct on the Australian mainland before British settlement of the continent, but it survived on the island of Tasmania. Intensive hunting encouraged by bounties is generally blamed for its extinction, but other contributing factors may have included disease, the introduction of dogs, and human encroachment into its habitat. Despite its official classification as extinct, sightings are still reported, though none have been conclusively proven."	4	"Do male thylacines have a pouch?"	1	"Did introduction of sheep contribute to extinction of thylacine?"	0	"Is the thylacine compared to a tiger because of its tail?"	0	"Did the thylacine live in Asia?"	0
"World Environment Day (WED) is celebrated on the fifth of June every year and is the United Nation's principal vehicle for encouraging awareness and action for the protection of the environment. First held in 1974, it has been a flagship campaign for raising awareness on emerging environmental issues from marine pollution, human overpopulation, and global warming. WED has grown to become a global platform for public outreach, with participation from over one hundred countries annually. Each year, WED chooses a new theme that major corporations, non-governmental organizations, communities, governments and celebrities worldwide adopt to advocate environmental causes. For example, the theme for 2018 is "Beat Plastic Pollution". The goal is to encourage people to change their everyday habits in ways which can reduce plastic pollution. Specifically, the campaign hopes to reduce the prevalence of single-use or disposable plastic items, as they have severe environmental consequences. In response to this campaign, the Indian government has pledged to eliminate all single-use plastic in India by 2022."	5	"Is the WED of 2018 focused on India eliminating plastic use?"	0	"Do governments get involved in the advocating of WED?"	1	"Is WED celebrated on a different date every year?"	0	"Is overpopulation of Earth one of common WED themes?"	1
"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. \\nThe other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with a long coat and a top hat, the monocle completed the costume of the stereotypical late nineteenth century capitalist. Monocles were also accessories of military officers from this period. Despite their prevalence in the late nineteenth century, monocles are rarely worn today. This is due in large part to advances in optometry, which allow for better measurement of refractive error, so that glasses and contact lenses can be prescribed with different strengths in each eye."	6	"Were monocles often worn on a string?"	1	"Was the monocle associated with a stereotypical look?"	1	"Were monocles deemed obsolete because they went out of style?"	0	"Were monocles worn by the members of social and military elite?"	1
"Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient as its production, a more formalized methodology has slowly become established from the late middle ages onwards. Modern, professional wine tasters use a constantly evolving specialized terminology which is used to describe the range of perceived flavors, aromas and general characteristics of a wine. In recent years, results challenging the reliability of wine tasting in both experts and consumers have surfaced. For example, studies showed that people expect more expensive wine to have more desirable characteristics than less expensive wine: When tasters are given wine that they are falsely told is expensive they virtually always report it as tasting better than the very same wine when they are told that it is inexpensive. Other studies show that tasters' judgment can be prejudiced by knowing details of a wine, such as geographic origin, reputation, or other considerations. Objective wine tasting therefore requires the wine to be served blind – that is, without the taster having seen the label or bottle shape. Blind tasting may also involve serving the wine from a black wine glass to mask the color of the wine."	7	"Are wine tasters reliable in their judgments of wine quality?"	0	"Are experienced wine tasters less prejudiced towards wine than a lay person?"	0	"Does blind-tasting ensure wine tasting to be less subjective?"	1	"Is wine served in a black glass to mask its color?"	1
"Orange juice is a liquid extract of the orange tree fruit, produced by squeezing oranges. Commercial orange juice with a long shelf life is made by pasteurizing the juice and removing the oxygen from it. This removes much of the taste, necessitating the later addition of a flavor pack, generally made from orange products. Additionally, some juice is further processed by drying and later rehydrating the juice, or by concentrating the juice and later adding water to the concentrate. The health value of orange juice is debatable: it has a high concentration of vitamin C, but also a very high concentration of simple sugars, comparable to soft drinks. As a result, some government nutritional advice has been adjusted to encourage substitution of orange juice with raw fruit, which is digested more slowly, and limit daily consumption."	8	"Are there crucial health benefits to drinking orange juice?"	0	"Is commercial orange juice pasteurized in order to taste better?"	0	"Do companies remove oxygen from orange juice?"	1	"Is orange juice similar to soda in its sugar content?"	1
