$paragraph	number	$q1	a1	$q2	a2	$q3	a3	$q4	a4	$parallel
string	number	string	number	string	number	string	number	string	number	number
"In ancient Roman religion and myth, <q1>Janus is the god of beginnings and gates</q1>. He has a double nature and is usually depicted as having two faces, since he looks to the <q2>future and to the past</q2>. Janus presided over the beginning and ending of conflict, and hence war and peace. The doors of his <q3>temple were open in times of war and closed during peacetime</q3>. As the god of gates, he was also associated with entering and exiting thedoors of homes. Janus frequently symbolized change and transitions, such as the progress from one condition to another, from one vision to another, and the growth of young people into adulthood. Hence, Janus was worshipped at the beginning of the harvest and planting times, as well as at marriages, deaths, and other beginnings. Janus had no specialized priest assigned to him, but the high priest himself carried out his ceremonies. Janus represented the middle ground between barbarism and civilization, rural and urban space, youth and adulthood. The ancient Greeks had no equivalent to Janus, whom the <q4>Romans claimed as distinctively their own</q4>."	1	"Was Janus a god of doors and passages?"	1	"Does Janus symbolize the night time?"	0	"Were the doors of Janus’ temple open in time of peace?"	0	"Is Janus a Greek god?"	0	0
"La señal de Shaka es un gesto típico de saludo que se suele asociar con Hawái y con la cultura del surf. Se hace extendiendo el pulgar y el dedo meñique mientras los demás dedos permanecen doblados levantando la mano como para saludar. En ocasiones, se agita la mano de un lado a otro para enfatizar el gesto. La señal es similar a la letra "Y" en la lengua de signos americana, en la que se hace un puño extendiendo sólo el pulgar y el meñique. Se desconoce el origen exacto, aunque algunos relacionan el origen de la señal con los inmigrantes españoles de Hawái, que plegaban sus dedos del medio y se llevaban sus pulgares a sus labios como un gesto amistoso que representaba compartir un trago con los nativos que encontraban allá. Otra teoría del origen del Shaka proviene de la historia de un surfista que fue atacado por un tiburón. En el ataque, éste perdió los tres dedos del medio, y al pedir auxilio solo se le veían los dos dedos que se utilizan para este saludo tan usado entre los deportistas extremos de todo el mundo."	2	"¿El saludo del Shaka sólo se utiliza en Hawái?"	0	"¿El origen del saludo está relacionado con un surfista español?"	0	"¿La señal es similar a una letra del alfabeto de señas americano?"	1	"¿El saludo se utiliza por otros deportistas además de los surfistas?"	1	0
"En deportes de competencia, dopaje es el uso de drogas prohibidas que mejoran el rendimiento por parte de los atletas competidores. El término dopaje es utilizado ampliamente por las organizaciones que regulan las competencias deportivas. El uso de drogas para mejorar el desempeño es mayormente considerado poco ético y, por lo tanto, es prohibido por la mayoría de las organizaciones deportivas, incluyendo el Comitée Olímpico Internacional. Además, los atletas que explícitamente toman medidas para evadir su detección exacerban la violación ética mediante el fraude y engaño evidentes. A pesar de su reciente prevalencia en los titulares, el dopaje no es un fenómeno nuevo – de hecho es tan antiguo como el deporte mismo. Desde el uso de sustancias en las carreras de cuadrigas de la antigüedad hasta las controversias más recientes en béisbol y ciclismo, las opiniones populares entre los atletas han variado ampliamente a lo largo de los años. En las décadas recientes, las autoridades y organizaciones deportivas han tratado de regular el uso de drogas en el deporte de manera estricta. Las principales razones para esta prohibición son los riesgos de las drogas que mejoran el rendimiento para la salud, la igualdad de oportunidades para los atletas, y el ejemplo positivo para el público aportado por el deporte libre de drogas. Las autoridades antidopaje han enfatizado de manera repetida que el uso de drogas para la mejora del rendimiento va en contra del 'espíritu del deporte'."	3	"¿El dopaje puede tener efectos adversos para la salud?"	1	"¿Los atletas usan el dopaje para calmarse antes de las competencias?"	0	"¿El dopaje es solo un problema en disciplinas específicas? "	0	"¿El dopaje fue observado por primera vez en las competencias de lucha antiguas?"	0	1
"El lobo marsupial o tilacino, también conocido como lobo de Tasmania, tigre de Tasmania o tilacín, fue un marsupial carnívoro originado en el Holoceno. Era nativo de Australia, Tasmania y Nueva Guinea y se cree que se extinguió en el siglo XX. Se trataba del último miembro viviente de su género, cuyos otros miembros vivieron en tiempos prehistóricos a partir de principios del Mioceno. El lobo marsupial se extinguió en la Australia continental miles de años antes de la llegada de los colonos europeos, pero sobrevivió en la isla de Tasmania junto con otras especies endémicas, como el diablo de Tasmania. Generalmente suele culparse de su extinción a la caza intensiva incentivada por recompensas, pero podrían haber contribuido otros factores, como por ejemplo las enfermedades, la introducción de los perros, o la ocupación de su hábitat por los humanos. A pesar de su clasificación oficial como extinto todavía se informan avistamientos, aunque ninguno ha sido probado de manera concluyente. Su pariente vivo más próximo es el diablo de Tasmania."	4	"¿El lobo marsupial es conocido con varios nombres distintos?"	1	"¿Se encuentran ejemplares vivos del lobo marsupial en la Australia continental?"	0	"¿El diablo de Tasmania es pariente del tilacín?"	1	"¿Se relaciona la desaparición del tilacín en Tasmania con la llegada de los europeos?"	1	0
"El Día Mundial del Medio Ambiente fue establecido por la Organización de las Naciones Unidas en diciembre de 1972. Se celebra desde 1974 el 5 de junio de cada año, fecha con la que se dio inicio a la Conferencia de Estocolmo en 1972, cuyo tema central fue el ambiente. La proclamación de este día es un vínculo por medio del cual la Organización de Naciones Unidas sensibiliza a la población mundial en relación a temas ambientales, intensificando la atención y la acción política. Los objetivos principales son: brindar un contexto humano, motivar a las personas para que se conviertan en agentes activos del desarrollo sustentable y equitativo; promover el papel fundamental de las comunidades en el cambio de actitud hacia temas ambientales, y fomentar la cooperación para que el medio ambiente sea sostenible, ya que ésta garantizará que todas las naciones y personas disfruten de un futuro más próspero y seguro. En muchos países esta celebración es una oportunidad de firmar o ratificar convenios internacionales y, algunas veces, establece estructuras gubernamentales permanentes relacionadas con el manejo ambiental y la planificación económica."	5	"¿El Día Mundial del Medioambiente se celebra desde 1972?"	0	"¿Se usa este día para sensibilizar a la población respecto de problemas ambientales?"	1	"¿Se utiliza este día para establecer y ratificar pactos entre los países?"	1	"¿En este día se busca recolectar dinero a favor del cuidado del medioambiente?"	0	0
"El monóculo es un tipo de lente correctiva usada para ajustar la visión en un solo ojo, que consiste en una luneta circular con aumento. En muchos casos está enmarcada en un anillo de alambre que posee una cadenilla o cordón que se sujeta a la ropa para evitar su pérdida. Si bien se conocen usuarios de monóculos desde el siglo dieciocho, este elemento no se convirtió en un artículo incorporado al vestuario masculino hasta entrado el siglo diecinueve. El monóculo estuvo generalmente asociado a hombres ricos pertenecientes a la clase alta. Combinado con un frac y un sombrero de copa, completaba el traje del estereotipo del capitalista de fines de ese siglo. Los monóculos estuvieron también asociados a los militares alemanes de ese periodo hasta la Primera Guerra mundial. Los monóculos no eran incómodos como a veces se cree. Adaptados en forma conveniente, se usaban sin esfuerzo. Por ello, las clases adineradas usaban monóculos hechos a medida y que necesitaban de ajustes a lo largo de su vida útil. La opinión popular era que un monóculo podía caerse fácilmente con una expresión facial inesperada. Ello fue sumamente explotado en las comedias: el elegante caballero que se asusta o asombra y su monóculo que cae al suelo o dentro de su copa."	6	"¿El monóculo comenzó a usarse como parte de la vestimenta en el siglo veinte?"	0	"¿El monóculo estaba asociado a la clase adinerada?"	1	"¿El monóculo tenía un cordón para evitar que se pediera?"	1	"¿El monóculo era incómodo?"	0	0
"La cata de vinos es un análisis sensorial y evaluación del vino. Mientras que la práctica de cata de vinos es tan antigua como su producción, una metodología más formalizada ha sido establecida desde fines de la Edad Media en adelante. Los catadores de vino profesionales de la modernidad usan terminología especializada que está en constante evolución para describir el rango de sabores, aromas y características del vino percibidos. En los últimos años, han emergido resultados que desafiaban la confiabilidad de la cata de vinos tanto en expertos como en consumidores. Por ejemplo, algunos estudios mostraron que la gente espera que los vinos más caros tengan más características deseables que los vinos menos caros: cuando a los catadores les dan vino y les dicen que es caro, ellos casi siempre reportan que sabe mejor que el mismo vino cuando les dicen que no es caro. Otros estudios muestran que el juicio de los catadores puede ser sesgado si conocen los detalles de un vino, como el origen geográfico, su reputación u otras consideraciones. La cata de vinos objetiva requiere, por lo tanto, que el vino sea servido a ciegas –esto es, sin que el catador haya visto la etiqueta o la forma de la botella. La cata a ciegas puede involucrar también que se sirva el vino en una copa de vino negra, para cubrir el color del vino."	7	"¿Los catadores de vino son confiables en sus juicios sobre la calidad del vino?"	0	"¿Los catadores de vino más experimentados tienen menos prejuicios hacia los vinos que una persona sin tanta experiencia?"	0	"¿La cata a ciegas asegura que la cata de vinos sea menos subjetiva?"	1	"¿El vino se sirve en una copa negra para cubrir su color? "	1	1
"El jugo de naranja es un jugo de frutas en forma de líquido obtenido de exprimir el interior de las naranjas, generalmente con un exprimidor. Sus usos culinarios son diversos, aunque principalmente se consume como refresco. Hoy en día puede adquirirse exprimido en casi cualquier supermercado, en sus versiones con y sin pulpa. Si bien ya contiene gran cantidad de vitamina C en su versión natural, algunas fábricas añaden ácido cítrico o vitamina C a sus productos, además de otros nutrientes como el calcio y la vitamina D. El jugo de naranja se utiliza en muchos desayunos del mundo; también se emplea en la elaboración de algunos tragos como el destornillador o la sangría. Por su carácter ácido, se emplea en la elaboración de salsas agridulces o en preparaciones como el cebiche o algunas vinagretas para ensaladas. A veces se utiliza en la preparación de alimentos como un ingrediente más, por ejemplo, en la preparación de tortas y postres."	8	"¿El jugo de naranja natural contiene gran cantidad de vitamina D?"	0	"¿El juego de naranja se utiliza mayormente en la preparación de postres?"	0	"¿La acidez del jugo de naranja hace que se utilice en la preparación de salsas?"	1	"¿El jugo de naranja puede conseguirse en casi todos los supermercados?"	1	0
"La apicultura es la actividad dedicada a la crianza de las abejas y a prestarles los cuidados necesarios con el objetivo de obtener y consumir los productos que son capaces de elaborar y recolectar. El principal producto que se obtiene de esta actividad es la miel. La obtención de la miel es doblemente beneficiosa para los seres humanos. Por un lado, este producto se consume de manera directa, y por otro lado, su producción facilita la polinización de plantas y flores. Durante muchos siglos, los apicultores gozaron de gran prestigio. Las diferentes culturas desde el Antiguo Egipto valoraban esta ocupación, ya que proveía el único edulcorante conocido hasta la Edad Media. Las actividades que desarrolla el apicultor son diversas. Durante la primavera y el verano normalmente trabaja con las abejas realizando trabajos de control de población y extracción de la miel. Durante el invierno o estación de receso, el trabajo consiste en la preparación del material de madera para la temporada que viene, en donde alojará a las nuevas familias. También debe advertir posibles enfermedades o plagas de las poblaciones de abejas para poder tratarlas a tiempo."	9	"¿La apicultura era valorada en las culturas antiguas?"	1	"¿El apicultor sólo desarrolla actividades durante los meses de calor?"	0	"¿El apicultor debe prevenir la aparición de enfermedades en las abejas?"	1	"¿La miel fue el único edulcorante hasta la Edad Media?"	1	0
