"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_os","subject_screen_width","subject_screen_height","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_name","webgazer_data","webgazer_targets","correct_answer","question_text"
"66848","
              <div class=""left-align"">
                <img src=""https://designguide.ku.dk/download/co-branding/ku_logo_uk_v.png"" alt=""KU Logo"" class=""ku-logo"">
                <h1>Welcome to <b>RU</b> Dev!</h1>
                <p>This mode is designed for the development of the experiment.</p>
                <p>When each experiment loads, an image is saved.</p>
                <p>The idea is then to save these images for the oficial experiment. At the final screen a file can be downloaded with the target locations.</p>
                <ul>Ribeiro, Tiago - Research Assistant - <a href = ""mailto: tiri@di.ku.dk"">tiri@di.ku.dk</a></ul>
                <p>Project Leaders:</p>
                <ul>Søgaard, Anders - Professor - <a href = ""mailto: soegaard@di.ku.dk"">soegaard@di.ku.dk</a></ul>
                <ul>Hollenstein, Nora - Assistant Professor - <a href = ""mailto: nora.hollenstein@hum.ku.dk"">nora.hollenstein@hum.ku.dk</a></ul>
              </div>
              ","0","html-button-response","0","66855","0.0-0.0","Win32","1280","720","","","","","","","","","","","","","","","",""
"","","","browser-check","1","69279","0.0-1.0","Win32","1280","720","1280","720","true","firefox","106.0.0","false","Windows 10","true","145.99","true","true","","","","",""
"37433","
<p class=""webgaze-experiment-compact"" id=""paragraph"">Регистрационный номер транспортного средства — это металлическая или пластиковая табличка, которая помещается на транспортное средство в целях идентификации. Все страны требуют регистрационных знаков для таких наземных транспортных средств, как легковые и грузовые автомобили, а также мотоциклы. <span id=""meco_para_12_qa_2"">Обязательны ли они для других видов транспорта, например, для велосипедов, лодок и тракторов, зависит от местных законов.</span> Регистрационный номер — это комбинация букв и цифр, которая позволяет однозначно идентифицировать владельца транспортного средства в реестре номеров соответствующей административной единицы. В некоторых странах номера регистрируются в едином реестре, <span id=""meco_para_12_qa_3"">в других реестры ведутся в отдельных штатах или областях.</span> <span id=""meco_para_12_qa_0"">Франция была первой страной, в которой ввели</span> регистрационные номера, — там это случилось в конце девятнадцатого века. Номерные знаки в начале двадцатого века настолько отличались размером и формой в разных административных единицах, что тому, кто переезжал, приходилось сверлить в автомобиле новые отверстия, чтобы прикрепить новый знак. <span id=""meco_para_12_qa_1"">Стандартизация знаков была введена в конце пятидесятых годов</span>, когда производители автомобилей пришли к соглашению с правительствами и международными организациями.</p>"," ","html-keyboard-response","2","106714","0.0-2.0","Win32","1280","720","","","","","","","","","","","","meco_para_12","[]","{""#paragraph"":{""x"":50,""y"":22,""width"":1180,""height"":708.7999877929688,""top"":22,""right"":1230,""bottom"":730.7999877929688,""left"":50},""#meco_para_12_qa_0"":{""x"":267.5333251953125,""y"":424.1000061035156,""width"":640.0333251953125,""height"":30,""top"":424.1000061035156,""right"":907.566650390625,""bottom"":454.1000061035156,""left"":267.5333251953125},""#meco_para_12_qa_1"":{""x"":70,""y"":591.2999877929688,""width"":1070.316650390625,""height"":71.80000305175781,""top"":591.2999877929688,""right"":1140.316650390625,""bottom"":663.0999908447266,""left"":70},""#meco_para_12_qa_2"":{""x"":70,""y"":173.3000030517578,""width"":1119.3499755859375,""height"":113.59999084472656,""top"":173.3000030517578,""right"":1189.3499755859375,""bottom"":286.8999938964844,""left"":70},""#meco_para_12_qa_3"":{""x"":70,""y"":382.29998779296875,""width"":1082.38330078125,""height"":71.80000305175781,""top"":382.29998779296875,""right"":1152.38330078125,""bottom"":454.09999084472656,""left"":70}}","",""
"1565","<p class=""webgaze-experiment"" id=""question"">Региональные власти в некоторых странах имеют право вводить собственные номерные знаки.  ","1","html-button-response","3","108280","0.0-3.0","Win32","1280","720","","","","","","","","","","","","meco_para_12_qa_3","[]","{""#question"":{""x"":50,""y"":249.3000030517578,""width"":1180,""height"":184,""top"":249.3000030517578,""right"":1230,""bottom"":433.3000030517578,""left"":50}}","False",""
"920","
<p class=""webgaze-experiment"" id=""paragraph"">Хотя сегодня поршневой паровой двигатель практически не используется в промышленных масштабах, некоторые компании изучают или задействуют его потенциал в качестве альтернативы двигателям внутреннего сгорания. Компания <span id=""a_Steamengine_3_qa_0"">Energiprojekt AB</span> из <span id=""a_Steamengine_3_qa_1"">Швеции</span> добилась успехов, применяя современные материалы для производства энергии из пара. КПД паровых двигателей Energiprojekt на машинах высокого давления достигает <span id=""a_Steamengine_3_qa_4"">27-30 %</span>. Это одноступенчатый <span id=""a_Steamengine_3_qa_2"">5</span>-цилиндровый двигатель (без компаунда), работающий на перегретом паре и потребляющий около 4 кг (<span id=""a_Steamengine_3_qa_3"">8,8</span> фунтов) пара на кВт. ч. [нет в источнике]</p>"," ","html-keyboard-response","4","109202","0.0-4.0","Win32","1280","720","","","","","","","","","","","","a_Steamengine_3","[]","{""#paragraph"":{""x"":50,""y"":28.5,""width"":1180,""height"":688,""top"":28.5,""right"":1230,""bottom"":716.5,""left"":50},""#a_Steamengine_3_qa_0"":{""x"":219.8333282470703,""y"":284,""width"":212.0166778564453,""height"":33,""top"":284,""right"":431.8500061035156,""bottom"":317,""left"":219.8333282470703},""#a_Steamengine_3_qa_1"":{""x"":521.1666870117188,""y"":284,""width"":97.54998779296875,""height"":33,""top"":284,""right"":618.7166748046875,""bottom"":317,""left"":521.1666870117188},""#a_Steamengine_3_qa_2"":{""x"":382.433349609375,""y"":500,""width"":13.716659545898438,""height"":33,""top"":500,""right"":396.15000915527344,""bottom"":533,""left"":382.433349609375},""#a_Steamengine_3_qa_3"":{""x"":853.38330078125,""y"":572,""width"":33.65000915527344,""height"":33,""top"":572,""right"":887.0333099365234,""bottom"":605,""left"":853.38330078125},""#a_Steamengine_3_qa_4"":{""x"":1046,""y"":428,""width"":113.64999389648438,""height"":33,""top"":428,""right"":1159.6499938964844,""bottom"":461,""left"":1046}}","",""
"1982","","{""Q0"":"" 1""}","survey-text","5","111188","0.0-5.0","Win32","1280","720","","","","","","","","","","","","a_Steamengine_3_qa_0","[]","{""#question"":{""x"":50,""y"":251.6999969482422,""width"":1180,""height"":184,""top"":251.6999969482422,""right"":1230,""bottom"":435.6999969482422,""left"":50}}","Energiprojekt AB","Какая современная компания занимается разработкой парового двигателя с применением современных материалов?"
"1038","
<p class=""webgaze-experiment"" id=""paragraph"">Гарвардская школа бизнеса и многие спортивные сооружения университета, в том числе Гарвардский стадион, расположены на кампусе площадью 358 акров (145 га) напротив кампуса Кембриджа в <span id=""a_HarvardUniversity_1_qa_0"">Оллстоне</span>. <span id=""a_HarvardUniversity_1_qa_1"">Мост ""Джон В. Викс""</span> является пешеходным мостом через реку Чарльз, соединяющим оба кампуса. Гарвардская медицинская школа, Гарвардская школа стоматологии и Гарвардская школа общественного здравоохранения расположены на кампусе площадью 21 акр (8,5 га) в <span id=""a_HarvardUniversity_1_qa_2"">Медицинской и академической части Лонгвуда</span> примерно в 3,3 милях (5,3 км) к  юго-западу от центра Бостона и в 3,3 милях (5,3 км) к югу от кампуса Кембриджа.</p>"," ","html-keyboard-response","6","112227","0.0-6.0","Win32","1280","720","","","","","","","","","","","","a_HarvardUniversity_1","[]","{""#paragraph"":{""x"":50,""y"":28.5,""width"":1180,""height"":688,""top"":28.5,""right"":1230,""bottom"":716.5,""left"":50},""#a_HarvardUniversity_1_qa_0"":{""x"":792.6500244140625,""y"":212,""width"":112.03334045410156,""height"":33,""top"":212,""right"":904.6833648681641,""bottom"":245,""left"":792.6500244140625},""#a_HarvardUniversity_1_qa_1"":{""x"":70,""y"":212,""width"":1088.5333251953125,""height"":105,""top"":212,""right"":1158.5333251953125,""bottom"":317,""left"":70},""#a_HarvardUniversity_1_qa_2"":{""x"":536.2999877929688,""y"":500,""width"":659.9000244140625,""height"":33,""top"":500,""right"":1196.2000122070312,""bottom"":533,""left"":536.2999877929688}}","",""
"1144","","{""Q0"":""1""}","survey-text","7","113373","0.0-7.0","Win32","1280","720","","","","","","","","","","","","a_HarvardUniversity_1_qa_0","[]","{""#question"":{""x"":208.8000030517578,""y"":287.70001220703125,""width"":862.4000244140625,""height"":112,""top"":287.70001220703125,""right"":1071.2000274658203,""bottom"":399.70001220703125,""left"":208.8000030517578}}","Оллстоне","Где находится Гарвардский стадион?"
"758","
<p class=""webgaze-experiment"" id=""paragraph"">где  — площадь поперечного сечения, соответствующая объему, для которого рассчитывается тензор напряжений. Приведенные <span id=""a_Force_4_qa_3"">формулы</span> включают в себя <span id=""a_Force_4_qa_1""><span id=""a_Force_4_qa_2"">компоненты давления</span></span>, вызванного силами, действующими перпендикулярно к площади поперечного сечения (диагональные элементы матрицы тензора), а также компоненты сдвига, вызванного силами, действующими параллельно площади поперечного сечения (недиагональные элементы). <span id=""a_Force_4_qa_0"">Тензор напряжений</span> учитывает силы, вызывающие все напряжения (деформации), в том числе напряжения растяжения и сжатия.:133-134:38-1‑38-11</p>"," ","html-keyboard-response","8","114132","0.0-8.0","Win32","1280","720","","","","","","","","","","","","a_Force_4","[]","{""#paragraph"":{""x"":50,""y"":64.5,""width"":1180,""height"":616,""top"":64.5,""right"":1230,""bottom"":680.5,""left"":50},""#a_Force_4_qa_0"":{""x"":919.566650390625,""y"":464,""width"":262,""height"":33,""top"":464,""right"":1181.566650390625,""bottom"":497,""left"":919.566650390625},""#a_Force_4_qa_1"":{""x"":70,""y"":248,""width"":290.41668701171875,""height"":33,""top"":248,""right"":360.41668701171875,""bottom"":281,""left"":70},""#a_Force_4_qa_2"":{""x"":70,""y"":248,""width"":290.41668701171875,""height"":33,""top"":248,""right"":360.41668701171875,""bottom"":281,""left"":70},""#a_Force_4_qa_3"":{""x"":781.566650390625,""y"":176,""width"":108.06666564941406,""height"":33,""top"":176,""right"":889.6333160400391,""bottom"":209,""left"":781.566650390625}}","",""
"2035","","{""Q0"":""1""}","survey-text","9","116169","0.0-9.0","Win32","1280","720","","","","","","","","","","","","a_Force_4_qa_0","[]","{""#question"":{""x"":208.8000030517578,""y"":287.70001220703125,""width"":862.4000244140625,""height"":112,""top"":287.70001220703125,""right"":1071.2000274658203,""bottom"":399.70001220703125,""left"":208.8000030517578}}","Тензор напряжений","Что вызывает напряжение в конструкциях?"
