,stimulus,trial_name,task_type,correct_answer,lang
2,"Şarap tadımı, şarabın duyumsal olarak incelenmesi ve değerlendirilmesidir. Şarap tadım pratiği şarap üretimi kadar antikken, daha biçimsel bir metodoloji orta çağların sonlarından günümüze yavaşça oluşmaktadır. Modern, profesyonel şarap tadımcıları şarabın algılanan lezzet çeşitlerini, aromasını ve genel karakteristiğini tarif etmek için kullanılan sürekli olarak gelişen özelleşmiş terminolojiyi kullanırlar. Son yıllarda hem uzmanlarda hem de tüketicilerde şarap tadımı güvenilirliğini zorlayan sonuçlar ortaya çıktı. Örneğin, araştırmalar insanların daha pahalı şarabın daha ucuz şaraba göre daha fazla arzulanan karakteristiğe sahip olmasını beklediklerini göstermiştir: Tadımcılar verilen şarabın gerçek olmayan bir şekilde pahalı olduğu söylendiğinde, neredeyse her zaman aynı şarap onlara ucuz olduğu söylendiğinden daha lezzetli olduğunu belirttiler. Başka çalışmalar gösteriyor ki tadımcıların kararları coğrafi köken, itibar veya diğer etkenlerin bilinmesiyle etki altında kalabiliyor. Objektif şarap tadımı bu yüzen şarabın kör tadımını gerektirir- bu tadımcının şarabın etiketini veya şişenin şeklini görmemesidir. Kör tadım ayrıca şarabın siyah şarap bardağında şarabın rengini maskeleyecek şekilde servis edilmesini de içerir.",meco_para_7,NR,,TR
3,Tecrübeli şarap tadımcıları meslekten olmayan kişilerden daha az önyargılı mı?,meco_para_7_qa_1,NR,False,TR
4,"Fresno'nun Batı Yakası, başka bir deyişle Güneybatı Fresno, şehirdeki en eski mahallelerden biridir. Mahalle, (onu Fresno Merkezi'nden ayıran) 99 otobanının güneybatısında, 41 otobanının batısında ve Nielsen Bulvarı'nın (ya da yeni inşa edilen 180 otobanının) güneyinde yer alır ve batı ve güneye doğru şehir sınırlarına kadar devam eder. Mahalle, geleneksel olarak Fresno'nun Afrikalı-Amerikalı topluluğunun merkezi kabul edilir. Kültürel olarak çeşitliliğe sahiptir ve aynı zamanda önemli oranda Meksikalı-Amerikalı ve Asyalı-Amerikalı (öncelikli olarak Hmong veya Laoslu) nüfusuna da sahiptir.",a_FresnoCalifornia_0,NR,,TR
5,Fresno'nun batı yakası mahallesi 99 otobanının hangi yönünde yer almaktadır?,a_FresnoCalifornia_0_qa_1,NR,güneybatısında,TR
6,Dış ve iç kloroplast zarları ile ilgili bazı yaygın yanlış kanılar bulunmaktadır. Kloroplastların çift bir zarla çevrelendiği gerçeği sıklıkla onların endosimbiyotik siyanobakterinin soyundan geldiğinin kanıtı olarak gösterilir. Bu durum sıklıkla dış kloroplast zarının ata siyanobakteriyi çevrelemek amacıyla bir vezikül oluşturacak şekilde katlanan konak hücre zarının ürünü anlamına geldiği şeklinde yorumlanır—ki bu yanlıştır—iki kloroplast zarı da siyanobakterinin orijinal çift zarıyla homologdur.,a_Chloroplast_4,NR,,TR
7,Kloroplastların endosimbiyotik siyanobakterinin soyundan geldiğinin kanıtı nedir?,a_Chloroplast_4_qa_0,NR,çift bir zarla çevrelendiği,TR
8,"2007 seçimi sonrasıyla ilgili hem Başkan Kenyatta hem de Başkan Yardımcısı William Ruto için Uluslararası Ceza Mahkemesi dava tarihleri 2013'de iken, 2013 ortası Afrika turu sırasında ABD Başkanı Barack Obama ülkeyi ziyaret etmemeyi tercih etti. Sonrasında yazın, Kenyatta başkan olarak ABD'yi ziyaret etmemişken, Rusya'ya bir uğradıktan sonra Başkan Xi Jinping'in davetiyle Çin'i ziyaret etti. Temmuz 2015 tarihinde, görevdeyken ülkeyi ziyaret eden ilk Amerikan başkanı olarak Obama Kenya'yı ziyaret etti.",a_Kenya_2,NR,,TR
9,Obama sonunda ne zaman Kenya'yı ziyaret etti?,a_Kenya_2_qa_3,NR,Temmuz 2015,TR
10,"Gelir eşitsizliği ve büyüme üzerine yapılan çalışmalar, bazen ekonomik gelişme ile birlikte,  eşitsizliğin önce arttığını, sonra azaldığını ifade eden Kuznets'in eğri hipotezini doğrulayan kanıtlar buldu. Ekonomist Thomas Piketty, 1914'ten 1945'e kadar savaşların ve “şiddetli ekonomik ve politik şokların” eşitsizliği azalttığını iddia ederek bu görüşe meydan okuyor. Dahası, Piketty, uzun vadede ekonomik büyümenin dengelenmesi üzerinde durmasıyla ""büyülü"" Kuznets eğrisi hipotezinin 1970'lerden bu yana gelişmiş dünyadaki ekonomik eşitsizlikteki önemli artışı hesaba katamayacağını savunuyor.",a_Economicinequality_2,NR,,TR
11,Thomas Piketty'nin işi nedir?,a_Economicinequality_2_qa_3,NR,Ekonomist,TR
12,"Peyton Manning,iki farklı takımı birden fazla Super Bowls'a gitmesinde önderlik eden ilk kilit oyuncu oldu. Ayrıca, 39 yaşında bir Super Bowl'da oynayan en eski oyun kurucu oldu. Geçmiş rekor, Broncos'u 38 yaşında Super Bowl XXXIII'te galibiyete götüren ve şu anda Denver'ın Futbol Operasyonları Başkan Yardımcısı ve Genel Müdür'ü olan John Elway'in ellerindeydi.",a_SuperBowl50_2,IS,,TR
13,Manning Super Bowl 50'de oynadığı zaman kaç yaşındaydı?,q_after_a_SuperBowl50_2_qa_15,IS,39,TR
14,"Plugs-out testi 27 Ocak 1967 sabahı başladı ve derhal sorunlarla karşı karşıya kalındı. İlk önce mürettebat uzay giysilerinde garip bir koku fark etti ve bu da geçitin kapatılmasını geciktirdi. Ardından, iletişim sorunları astronotlara engel oldu ve simüle edilen geri sayımı beklemeye zorladı. Bu bekletme sırasında, kabinde elektrik yangını başladı ve yüksek basınçlı %100 oksijen ortamında hızla yayıldı. Yangından kaynaklanan basınç kabini patlatacak kadar yükseldi ve yangın rampa alanına püskürerek mürettebatı kurtarma çalışmalarını boşa çıkardı. Kapak açılana kadar astronotlar oksijensiz kalarak boğuldu.",a_Apolloprogram_3,IS,,TR
15,Ne tür bir ortam kabin içindeki yangını körüklemeye yardımcı oldu?,q_after_a_Apolloprogram_3_qa_4,IS,%100 oksijen,TR
16,"Kara Ölüm, İslam dünyasının çoğunu vurdu. Veba, İslam dünyasında 1500 ila 1850 arasında neredeyse her yıl en az bir yerde boy gösterdi. Veba defalarca Kuzey Afrika şehirlerini vurdu. Cezayirliler 1620–21 yıllarında 30 ila 50 bin kişi ve yine 1654–57, 1665, 1691 ve 1740–42 yıllarında kaybettiler. Veba, Osmanlı toplumunda  19. yüzyılın ikinci çeyreğine kadar önemli bir olay olarak kaldı. 1701 ile 1750 arasında Konstantinopolis'te otuz yedi daha büyük ve daha küçük salgınlar ve 1751-1800 arasında ek otuz bir tane daha kaydedildi. Bağdat, veba felaketlerinden ciddi bir şekilde acı çekti ve bazen nüfusunun üçte ikisi yok oldu.",a_BlackDeath_4,IS,,TR
17,Cezayir'de 1620-21 yıllarında kaç kişi kaybedilmiştir?,q_after_a_BlackDeath_4_qa_1,IS,30 ila 50 bin,TR
18,"Birçok kromalveolat soyundaki kayıp kloroplastları endosimbiyotik gen transferi yoluyla bilebiliyoruz. Bir kloroplast sonunda kaybolsa bile, eski konağın çekirdeğine bağışladığı genler varlığını sürdürür ve kayıp kloroplastın varlığı konusunda kanıt sağlar. Örneğin, diatomlar (bir heterokontofit) şu an kırmızı alg kökenli kloroplast sahibiyken, diatom çekirdeğindeki birçok yeşil alg geni diatom atasının (muhtemelen tüm kromalveolatların da atası) bir noktada yeşil alg kökenli kloroplast sahibi olduğu ve yerine sonradan kırmızı kloroplastın geçtiği konusunda kanıt sağlar.",a_Chloroplast_3,IS,,TR
19,Diatomlar ne çeşit bir kloroplasta sahiptir?,q_after_a_Chloroplast_3_qa_2,IS,kırmızı alg kökenli kloroplast,TR
20,"Siyanobakteri bir ataya izi sürülebilen bu kloroplastlar birincil plastidler olarak bilinir (bu bağlamda ""plastid"" kloroplast ile neredeyse aynı şey demektir). Tüm birincil kloroplastlar, üç kloroplast soyundan birine aittir—glokofit kloroplast soyu, rodofit, veya kırmızı alg kloroplast soyu, veya kloroplastidan, veya yeşil kloroplast soyu. İkinci ikili en büyükleridir ve yeşil kloroplast soyu kara bitkilerini içeren soydur.",a_Chloroplast_1,IS,,TR
21,'Plastid' ne anlama gelmektedir?,q_after_a_Chloroplast_1_qa_0,IS,kloroplast,TR
