,stimulus,trial_name,task_type,correct_answer,lang
2,"Şarap tadımı, şarabın duyumsal olarak incelenmesi ve değerlendirilmesidir. Şarap tadım pratiği şarap üretimi kadar antikken, daha biçimsel bir metodoloji orta çağların sonlarından günümüze yavaşça oluşmaktadır. Modern, profesyonel şarap tadımcıları şarabın algılanan lezzet çeşitlerini, aromasını ve genel karakteristiğini tarif etmek için kullanılan sürekli olarak gelişen özelleşmiş terminolojiyi kullanırlar. Son yıllarda hem uzmanlarda hem de tüketicilerde şarap tadımı güvenilirliğini zorlayan sonuçlar ortaya çıktı. Örneğin, araştırmalar insanların daha pahalı şarabın daha ucuz şaraba göre daha fazla arzulanan karakteristiğe sahip olmasını beklediklerini göstermiştir: Tadımcılar verilen şarabın gerçek olmayan bir şekilde pahalı olduğu söylendiğinde, neredeyse her zaman aynı şarap onlara ucuz olduğu söylendiğinden daha lezzetli olduğunu belirttiler. Başka çalışmalar gösteriyor ki tadımcıların kararları coğrafi köken, itibar veya diğer etkenlerin bilinmesiyle etki altında kalabiliyor. Objektif şarap tadımı bu yüzen şarabın kör tadımını gerektirir- bu tadımcının şarabın etiketini veya şişenin şeklini görmemesidir. Kör tadım ayrıca şarabın siyah şarap bardağında şarabın rengini maskeleyecek şekilde servis edilmesini de içerir.",meco_para_7,NR,,TR
3,"Şarap, rengini maskelemek için siyah bir bardakta mı servis edilir?",meco_para_7_qa_3,NR,True,TR
4,"Koreli ekonomist Hoesung Lee, yeni IPCC Büro seçimlerini takiben 8 Ekim 2015'den beri IPCC başkanıdır. Bu seçimden önce IPCC, Rajendra K. Pachauri'nin Şubat 2015 tarihinde istifasından sonra kararlaştırılmış vekil Başkan olan IPCC başkan yardımcısı İsmail El Gizouli tarafından yönetiliyordu. Önceki başkanlar, Mayıs 2002'de seçilen Rajendra K. Pachauri; 1997'de seçilen Robert Watson ve 1988'de seçilen Bert Bolin idi. Başkan, başkan yardımcıları, çalışma grubu eş başkanları ve bir sekreterin olduğu seçilmiş bir büro tarafından desteklenir.",a_IntergovernmentalPanelonClimateChange_0,NR,,TR
5,Pachauri IPCC başkanlığından ne zaman istifa etmiştir?,a_IntergovernmentalPanelonClimateChange_0_qa_4,NR,Şubat 2015,TR
6,"Yerel rakipleri Polonya Varşova, daha az destekçiye sahip ancak 2000 yılında Ekstraklasa Şampiyonasını kazanmayı başardılar. Ayrıca 1946'da ülke şampiyonluğunu kazandı ve ayrıca kupayı iki kez kazandı. Polonya'nın sahası Konwiktorska Caddesi'nde, Eski Kent'e 10 dakikalık yürüme mesafesinde yer almaktadır. Polonya, feci finansal durumları nedeniyle ülkenin en üst liginden 2013'te çekildi. Şu anda Ulusal - Polonya Futbol Federasyonu (PZPN) yapısındaki en alt profesyonel lig olan 4. ligde (Polonya'da 5. seviye) oynuyorlar.",a_Warsaw_1,NR,,TR
7,Polonya 2013 yılında ülkenin en üst liginden neden küme düşürülmüştür?,a_Warsaw_1_qa_4,NR,feci finansal durumları,TR
8,"﻿1620'lerde tekrarlanan dini savaş, yenilgilerinin ardından Fransız Protestanlarının siyasi ve askeri ayrıcalıklarının kaldırılmasına neden oldu. Fransa'daki Protestanlığın yasal olarak tanınmasını tamamen kaldıran ve Fransız Protestanları dönüşmeye zorlayan Fontainebleau Fermanı’nı (1685) yayınlayana kadar, zulmünü giderek arttıran XIV. Louis yönetimine kadar, Nantes Fermanı'nın dini hükümlerini muhafaza ettiler. Neredeyse dörtte üçü sonunda öldürülür veya boyun eğerken, kabaca 500.000 Fransız Protestanı 18. yüzyılın başlarında Fransa'dan kaçtı [kaynak belirtilmeli].",a_Huguenot_0,NR,,TR
9,Bu bildirimi hangi soydan Fransızlar yayımladı?,a_Huguenot_0_qa_2,NR,XIV. Louis,TR
10,"1980'lerin, sonlarında Güney Afrika hareketinden ayrılırken, öğrenci aktivistleri Harvard Yard'da sembolik bir ""gecekondu mahallesi"" kurdular ve Güney Afrika Başkonsolos Yardımcısı Duke Kent-Brown tarafından verilen  konuşmayı engellediler. Harvard Yönetim Şirketi defalarca elden çıkarmayı ""işletme  giderleri finansal olarak gerçekçi olmayan kısıtlamalara tabi olmamalıdır,  deneyimsiz veya özel çıkar grupları tarafından karşılanmamalıdır” diyerek reddetti. Bununla birlikte, üniversite nihayetinde baskıya cevaben Güney  Afrika'daki varlıklarını 400 milyon dolardan 230 milyon dolara düşürdü.",a_HarvardUniversity_2,NR,,TR
11,Güney Afrika hareketinden yoksun bırakma ne zamandı?,a_HarvardUniversity_2_qa_0,NR,1980'lerin,TR
