,stimulus,trial_name,task_type,correct_answer,lang
2,"La patente de un vehículo es una placa de metal o plástico fijada al vehículo con el propósito de identificación oficial. Todos los países requieren patentes para vehículos como autos, camiones y motocicletas. Su requerimiento para otros vehículos como bicicletas, botes o tractores puede variar por jurisdicción. El identificador de registro es una serie de letras o números que identifican únicamente al dueño de un vehículo dentro de la región del registro del vehículo. En algunos países, el identificador es único en todo el país, mientras que, en otros, es único dentro de un estado o provincia. Francia fue el primer país en introducir la patente, a fines del siglo diecinueve. Las patentes de principios de siglo veinte variaban en tamaño y forma de una jurisdicción a otra, de manera que, si una persona se mudaba, se necesitaba hacer nuevos agujeros en el auto para sostener la nueva patente. La estandarización de patentes llegó a fines de los años cincuenta, cuando los fabricantes de automóviles llegaron a un acuerdo con los distintos gobiernos y organizaciones internacionales.",meco_para_12,NR,,ES
3,La primera patente fue introducida en Francia.,meco_para_12_qa_0,NR,True,ES
4,"Se sospecha, aunque no ha sido demostrado, que muchas clases de complejidad conocidas pueden ser desiguales. Por ejemplo: P ⊆ NP ⊆ PP ⊆ PSPACE, aunque es posible que P = PSPACE. En el caso de que P no sea igual a NP, entonces P tampoco será igual a PSPACE. Dada la existencia de tantas clases de complejidad conocidas entre P y PSPACE como RP, BPP, PP, BQP, MA, PH, etc. es posible que todas estas clases converjan en una sola. Conseguir probar que alguna de estas clases es desigual supondría un gran descubrimiento en la teoría de la complejidad.",a_Computationalcomplexitytheory_4,NR,,ES
5,"¿En dónde pueden ubicarse las clases de complejidad RP, BPP, PP, BQP, MA y PH?",a_Computationalcomplexitytheory_4_qa_2,NR,entre P y PSPACE,ES
6,"Aunque la máquina de vapor de pistón ya no es de uso comercial generalizado, varias empresas están explorando o explotando el potencial de la máquina como alternativa a las máquinas de combustión interna. La empresa Energiprojekt AB en Suecia ha progresado en el uso de materiales modernos para aprovechar la potencia del vapor. La eficiencia de la máquina de vapor de Energiprojekt alcanza un 27-30 % en motores de alta presión. Es un motor de un solo paso y 5 cilindros (sin compuesto) con vapor sobrecalentado y consume aproximadamente 4 kg (8,8 libras) de vapor por kWh.[no se proporciona cita]",a_Steamengine_3,NR,,ES
7,¿Cuántos cilindros tiene el motor Energiprojekt AB?,a_Steamengine_3_qa_2,NR,5,ES
8,"Los escritos de Lutero se difundieron ampliamente y llegaron a Francia, Inglaterra e Italia ya en 1519. Los estudiantes acudían en masa a Wittenberg para escuchar hablar a Lutero. Este publicó un breve comentario sobre los gálatas y su obra sobre los Salmos. Esta parte temprana de la carrera de Lutero fue una de las más creativas y productivas. Tres de sus obras más conocidas se publicaron en 1520: «A la nobleza cristiana de la nación alemana», «El cautiverio babilónico de la Iglesia» y «Sobre la libertad del cristiano».",a_MartinLuther_0,NR,,ES
9,¿Quién fue a Wittenberg para escuchar hablar a Lutero?,a_MartinLuther_0_qa_1,NR,Los estudiantes,ES
10,"Determinados acontecimientos de la vida de Lutero y la Reforma que tuvo lugar evocaban con frecuencia los himnos de Lutero. Esta conducta comenzó cuando se enteró de la ejecución de Johann Esch y Heinrich Voes, las primeras personas martirizadas por la Iglesia Católica Romana por tener opiniones luteranas, lo cual motivó a Lutero a escribir el himno «Ein neues Lied wir heben an» («Una nueva canción que elevamos»), que generalmente se conoce en inglés por la traducción de John C. Messenger del título y el primer verso «Flung to the Heedless Winds», cantado por Maria C. Tiddeman con la música que compuso Ibstone en 1875.",a_MartinLuther_3,NR,,ES
11,¿Quién es el traductor inglés de ese himno?,a_MartinLuther_3_qa_3,NR,John C. Messenger,ES
12,"Entre 1402 y 1405, el noble normando Jean de Bethencourt y el francés Gadifer de la Salle lideraron la expedición que conquistó las islas canarias de Lanzarote, Fuerteventura y El Hierro en la costa atlántica de África. Sus tropas se agruparon en Normandía, Gascuña y más tarde se vieron reforzadas por los colonos castellanos.",a_Normans_4,IS,,ES
13,¿Enfrente a las costas de qué continente se encuentran las islas Canarias?,q_after_a_Normans_4_qa_0,IS,África,ES
14,"Kenia ocupa un puesto bajo en el Índice de Percepción de la Corrupción (IPC) de Transparencia Internacional, una medida que intenta medir la prevalencia de corrupción del sector público en varios países. En 2012, la nación la colocó en el puesto número 139 de 176 países en total en el IPC, con una puntuación de 27/100. Sin embargo, hay varios desarrollos bastante significativos con respecto a frenar la corrupción del gobierno de Kenia, por ejemplo, el establecimiento de una nueva e independiente Comisión de Ética y Anticorrupción (EACC).",a_Kenya_0,IS,,ES
15,¿Qué mide la escala del IPC?,q_after_a_Kenya_0_qa_1,IS,corrupción del sector público,ES
16,"La Royal Geographical Society de Londres y otras sociedades geográficas de Europa tuvieron gran influencia y pudieron financiar a los viajeros que regresaban con historias de sus descubrimientos. Estas sociedades también sirvieron como un espacio para que los viajeros compartieran estas historias. Geógrafos políticos como Friedrich Ratzel de Alemania y Halford Mackinder de Gran Bretaña también apoyaron al imperialismo. Ratzel creía que la expansión era necesaria para la supervivencia de un estado, mientras que Mackinder apoyaba la expansión imperial de Gran Bretaña; estos dos argumentos dominaron la disciplina durante décadas.",a_Imperialism_0,IS,,ES
17,¿Dónde nació Halford Mackinder?,q_after_a_Imperialism_0_qa_1,IS,Gran Bretaña,ES
18,"Los ambientalistas están preocupados por la pérdida de biodiversidad que se producirá como resultado de la destrucción del bosque, y también por la liberación del carbono contenido en la vegetación, que podría acelerar el calentamiento global. Los bosques perennes amazónicos representan alrededor del 10 % de la productividad primaria terrestre mundial y el 10 % de los depósitos de carbono en los ecosistemas, del orden de 1,1 × 1011 toneladas métricas de carbono. Se estima que los bosques amazónicos han acumulado 0,62 ± 0,37 toneladas de carbono por hectárea y año entre 1975 y 1996.",a_Amazonrainforest_3,IS,,ES
19,"¿De qué se deriva la pérdida de biodiversidad, según los ambientalistas?",q_after_a_Amazonrainforest_3_qa_1,IS,destrucción del bosque,ES
