,stimulus,trial_name,task_type,correct_answer,lang
2,"In der alten römischen Religion und Mythologie ist Janus der Gott des Anfangs und der Tore. Er hat eine doppelte Natur und wird gewöhnlich mit zwei Gesichtern dargestellt, da er in die Zukunft und in die Vergangenheit blickt. Janus überwachte den Beginn und das Ende von Konflikten und damit auch Krieg und Frieden. Die Türen seines Tempels waren in Kriegszeiten geöffnet und geschlossen in Zeiten des Friedens. Als Gott der Tore wurde er außerdem mit dem Betreten und Verlassen von Haustüren in Verbindung gebracht. Janus symbolisierte häufig Veränderungen und Übergänge, wie den Wechsel von einer Bedingung zur anderen, von einer Perspektive zur anderen und das Heranwachsen junger Menschen zum Erwachsenenalter. Deswegen wurde Janus zu Beginn der Saat-und Erntezeit verehrt, genauso wie zu Hochzeiten, Todesfällen und anderen Übergänge. Für Janus war kein spezieller Priester zuständig, sondern der höchste Priester leitete die Zeremonien selbst. Janus stellte den Mittelweg zwischen Barbarei und Zivilisation, ländlichem und urbanem Leben, Jugend und Erwachsenenalter dar. Die alten Griechen hatten kein Äquivalent zu Janus, den die Römer ganz für sich beanspruchten.",meco_para_1,NR,,DE
3,War Janus ein Gott der Türen und Übergänge? ,meco_para_1_qa_0,NR,True,DE
4,"Die Vereinbarungen enthalten feste jährliche Sendegebühren in Höhe von 30 Mio. GBP für die Kanäle, wobei beide Kanalanbieter zusätzliche Zahlungen mit Obergrenzen sichern konnten, wenn ihre Kanäle bestimmte leistungsbezogene Ziele erfüllen. Derzeit gibt es keine Angaben dazu, ob die neue Vereinbarung die zusätzlichen Video-On-Demand- und High-Definition-Inhalte umfasst, die zuvor von BSkyB angeboten wurden. Im Rahmen des Abkommens einigten sich BSkyB und Virgin Media darauf, alle Verfahren gegeneinander vor dem Obersten Gerichtshof in Bezug auf das Angebot der jeweiligen Basiskanäle einzustellen.",a_SkyUnitedKingdom_4,NR,,DE
5,Worum ging es in den Gerichtsverfahren?,a_SkyUnitedKingdom_4_qa_4,NR,Basiskanäle,DE
6,In den Jahren nach diesen Gerüchten gewannen weder Tesla noch Edison den Nobelpreis (obwohl Edison 1915 eine von 38 möglichen Nominierungen erhielt und Tesla 1937 eine von 38 möglichen Nominierungen).,a_NikolaTesla_3,NR,,DE
7,Wie viele mögliche Nominierungen für den Preis gab es 1915?,a_NikolaTesla_3_qa_0,NR,38,DE
8,"Im Hinduismus werden spirituelle Lehrer/innen Guru genannt und in vielen Traditionen des Hinduismus - insbesondere in den im Westen verbreiteten - liegt ein extrem großer Schwerpunkt auf der spirituellen Betreuung, in dessen Rahmen Gurus oft ein großes Maß an Kontrolle über das Leben ihrer Schüler/innen ausüben.",a_Teacher_3,NR,,DE
9,Wen kontrollieren Gurus?,a_Teacher_3_qa_2,NR,ihrer Schüler/innen,DE
10,"Durch Fresno verläuft die California State Route 99. Sie ist die wichtigste Nord-Süd-Autobahn, die die großen Ballungszentren des California Central Valley verbindet. Die State Route 168, der Sierra Freeway, führt nach Osten in die Stadt Clovis und nach Huntington Lake. Die State Route 41 (Yosemite Freeway/Eisenhower Freeway) führt von Atascadero im Süden nach Fresno und verläuft dann nach Norden nach Yosemite. Die State Route 180 (Kings Canyon Freeway) beginnt im Westen, führt über Mendota und endet im Kings Canyon Nationalpark in Richtung Reedley.",a_FresnoCalifornia_3,NR,,DE
11,Aus welcher Richtung verläuft die State Route 180 über Mendota?,a_FresnoCalifornia_3_qa_3,NR,Westen,DE
12,"Wo ist die relevante Querschnittsfläche für das Volumen, für das der Spannungstensor berechnet wird. Dieser Formalismus beinhaltet Druckkräfte, die mit Kräften verbunden sind, die normal zur Querschnittsfläche wirken (die Matrixdiagonalen des Tensors), sowie Scherkräfte, die mit Kräften verbunden sind, die parallel zur Querschnittsfläche wirken (die nicht-diagonalen Elemente). Der Spannungstensor berücksichtigt Kräfte, die alle Dehnungen (Verformungen) einschließlich der Zugbelastungen und Kompressionen verursachen.:133–134:38-1–38-11",a_Force_4,IS,,DE
13,Was beinhaltet Druckkräfte bei der Berechnung der Fläche im Volumen?,q_after_a_Force_4_qa_3,IS,Formalismus,DE
14,"Umweltschützer zeigen sich besorgt über den Verlust der Biodiversität, die sich aus der Zerstörung des Waldes ergeben wird, und auch über die Freisetzung des in der Vegetation enthaltenen Kohlenstoffs, der die globale Erwärmung beschleunigen könnte. Die immergrünen Wälder des Amazonasgebietes machen etwa 10% der weltweiten terrestrischen Primärproduktion und 10% der Kohlenstoffspeicher der Ökosysteme aus - dies entspricht einer Menge von 1,1 × 1011 Tonnen Kohlenstoff. Schätzungen zufolge haben die Wälder des Amazonas zwischen 1975 und 1996 0,62 ± 0,37 Tonnen Kohlenstoff pro Hektar und Jahr angesammelt.",a_Amazonrainforest_3,IS,,DE
15,Was wird laut Befürchtungen der Umweltschützer im Amazonaswald verloren gehen?,q_after_a_Amazonrainforest_3_qa_0,IS,Biodiversität,DE
