,stimulus,trial_name,task_type,correct_answer,lang
2,"In der alten römischen Religion und Mythologie ist Janus der Gott des Anfangs und der Tore. Er hat eine doppelte Natur und wird gewöhnlich mit zwei Gesichtern dargestellt, da er in die Zukunft und in die Vergangenheit blickt. Janus überwachte den Beginn und das Ende von Konflikten und damit auch Krieg und Frieden. Die Türen seines Tempels waren in Kriegszeiten geöffnet und geschlossen in Zeiten des Friedens. Als Gott der Tore wurde er außerdem mit dem Betreten und Verlassen von Haustüren in Verbindung gebracht. Janus symbolisierte häufig Veränderungen und Übergänge, wie den Wechsel von einer Bedingung zur anderen, von einer Perspektive zur anderen und das Heranwachsen junger Menschen zum Erwachsenenalter. Deswegen wurde Janus zu Beginn der Saat-und Erntezeit verehrt, genauso wie zu Hochzeiten, Todesfällen und anderen Übergänge. Für Janus war kein spezieller Priester zuständig, sondern der höchste Priester leitete die Zeremonien selbst. Janus stellte den Mittelweg zwischen Barbarei und Zivilisation, ländlichem und urbanem Leben, Jugend und Erwachsenenalter dar. Die alten Griechen hatten kein Äquivalent zu Janus, den die Römer ganz für sich beanspruchten.",meco_para_1,NR,,DE
3,War Janus ein Gott der Türen und Übergänge? ,meco_para_1_qa_0,NR,True,DE
4,"Die Komplexitätstheorie ist ein Zweig der Berechnungstheorie in der theoretischen Informatik, der sich darauf konzentriert, Rechenprobleme nach ihrer inhärenten Schwierigkeit zu klassifizieren und diese Klassen miteinander in Beziehung zu setzen. Unter einem Rechenproblem versteht man eine Aufgabe, die grundsätzlich von einem Computer gelöst werden kann. Dies ist gleichbedeutend mit der Aussage, dass das Problem durch die mechanische Anwendung mathematischer Schritte, beispielsweise durch einen Algorithmus, gelöst werden kann.",a_Computationalcomplexitytheory_0,NR,,DE
5,Nach welchem Hauptattribut werden Rechenprobleme unter Verwendung der Komplexitätstheorie klassifiziert? ,a_Computationalcomplexitytheory_0_qa_1,NR,nach ihrer inhärenten Schwierigkeit,DE
6,"Von vielen bekannten Komplexitätsklassen wird vermutet, sie seien ungleich. Dies ist jedoch nicht bewiesen. Zum Beispiel ist P ⊆ NP ⊆ PP ⊆ PSPACE, aber es ist möglich, dass P = PSPACE ist. Wenn P nicht gleich NP ist, dann ist auch P nicht gleich PSPACE. Da es viele bekannte Komplexitätsklassen, wie z.B. RP, BPP, PP, BQP, MA, PH, etc. gibt, die zwischen P und PSPACE liegen, ist es möglich, dass alle diese Komplexitätsklassen in eine Klasse zerfallen. Der Nachweis, dass eine dieser Klassen ungleich ist, wäre ein großer Durchbruch in der Komplexitätstheorie.",a_Computationalcomplexitytheory_4,NR,,DE
7,"Was ist ein Ausdruck, der verwendet werden kann, um die vermutete Ungleichheit von Komplexitätsklassen zu veranschaulichen?",a_Computationalcomplexitytheory_4_qa_1,NR,P ⊆ NP ⊆ PP ⊆ PSPACE,DE
8,"Die Harvard Business School und viele der Sportanlagen der Universität, inklusive dem Harvard Stadium, liegen auf einem 358 Acker (145 ha) großen Campus gegenüber vom Cambridge-Campus in Allston. Die John W. Weeks Bridge ist eine Fußgängerbrücke über den Charles River, welche die beiden Campus verbindet. Die Harvard Medical School, Harvard School of Dental Medicine und Harvard School of Public Health liegen auf einem 21 Acker (8,5 ha) großen Campus in der Longwood Medical and Academic Area, ungefähr 3,3 Meilen (5,3 km) südwestlich der Innenstadt von Boston und 3,3 Meilen (5,3 km) südlich des Cambridge-Campus.",a_HarvardUniversity_1,NR,,DE
9,Wo liegt das Harvard Stadium?,a_HarvardUniversity_1_qa_0,NR,Allston,DE
10,"Zu den professionellen Sportmannschaften in Südkalifornien gehören Mannschaften in der NFL (Los Angeles Rams, San Diego Chargers), NBA (Los Angeles Lakers, Los Angeles Clippers), MLB (Los Angeles Dodgers, Los Angeles Angels of Anaheim, San Diego Padres), NHL (Los Angeles Kings, Anaheim Ducks) und MLS (LA Galaxy).",a_SouthernCalifornia_3,NR,,DE
11,Die Los Angeles Rams sind ein Beispiel für welche Art von Sportmannschaft?,a_SouthernCalifornia_3_qa_0,NR,NFL,DE
12,"Luthers Schriften waren weit verbreitet und erreichten bereits 1519 Frankreich, England und Italien. Studenten strömten nach Wittenberg, um Luther sprechen zu hören. Er veröffentlichte einen kurzen Kommentar über die Galater und sein Werk über die Psalmen. Dieser frühe Abschnitt von Luthers Karriere war einer seiner kreativsten und produktivsten. Drei seiner bekanntesten Werke wurden im Jahr 1520 veröffentlicht: An den christlichen Adel deutscher Nation, Von der babylonischen Gefangenschaft der Kirche und Von der Freiheit eines Christenmenschen.",a_MartinLuther_0,IS,,DE
13,Welcher Abschnitt von Luthers Karriere war einer seiner produktivsten?,q_after_a_MartinLuther_0_qa_2,IS,frühe,DE
14,"Später wurde ein Stück Papier entdeckt, auf dem Luther seine letzte Schrift verfasst hatte. Der Text war in Lateinisch geschrieben, abgesehen von den Worten „Wir sind Bettler”, welche er auf Deutsch niederschrieb.",a_MartinLuther_4,IS,,DE
15,In welcher Sprache war der größte Teil der Erklärung verfasst?,q_after_a_MartinLuther_4_qa_1,IS,Lateinisch,DE
