,stimulus,trial_name,task_type,correct_answer,lang
2,"Η Διεθνής Ένωση Προστασίας της Φύσης εργάζεται για την προστασία της φύσης και της ορθής χρήσης των φυσικών πόρων. Δραστηριοποιείται στους τομείς της συλλογής και ανάλυσης δεδομένων, της έρευνας, των κατά τόπους έργων, της νομικής προστασίας και της εκπαίδευσης. Αποστολή της είναι να «επηρεάσει, να ενθαρρύνει και να βοηθήσει τις κοινωνίες σε όλο τον κόσμο να προστατεύσουν τη φύση και να διασφαλίσουν ότι η χρήση των φυσικών πόρων είναι δίκαιη και οικολογικά βιώσιμη». Τις τελευταίες δεκαετίες, η οργάνωση έχει διευρύνει τους τομείς δράσης της ενσωματώνοντας στα προγράμματά της, πέρα από θέματα προστασίας της φύσης, θέματα αειφόρου ανάπτυξης. Σε αντίθεση με πολλές άλλες διεθνείς περιβαλλοντικές οργανώσεις, δεν αποσκοπεί στην κινητοποίηση του κοινού. Αντιθέτως, προσπαθεί να επηρεάσει τις δράσεις κυβερνήσεων, επιχειρήσεων και άλλων εμπλεκομένων με την παροχή πληροφοριών, συμβουλών και την ανάπτυξη συνεργασιών. Η οργάνωση  είναι γνωστή στο ευρύτερο κοινό για τη σύνταξη και δημοσίευση της «Κόκκινης Λίστας Απειλούμενων Ειδών», η οποία αποτελεί ευρετήριο για την κατάσταση απειλούμενων ειδών φυτών και ζώων σε όλο τον κόσμο. Σήμερα, στην οργάνωση απασχολούνται με καθεστώς πλήρους απασχόλησης περίπου χίλια άτομα σε περισσότερες από πενήντα χώρες.",meco_para_11,NR,,GR
3,Η οργάνωση δημοσιεύει την κόκκινη λίστα απειλούμενων ειδών,meco_para_11_qa_3,NR,True,GR
4,"﻿O νέος θρησκευτικός πόλεμος του 1620 προκάλεσε την κατάργηση των πολιτικών και στρατιωτικών προνομίων των Ουγενότων μετά την ήττα τους. Διατήρησαν τις θρησκευτικές διατάξεις του διατάγματος της Νάντης μέχρι την εξουσία του Λουδοβίκου ΙΔ΄, ο οποίος σταδιακά ενίσχυσε τη δίωξή τους μέχρι να εκδώσει το Διάταγμα του Φονταινεμπλώ (1685 ), που κατήργησε κάθε νόμιμη αναγνώριση του Προτεσταντισμού στη Γαλλία και ανάγκασε τους Ουγενότους να αλλαξοπιστήσουν. Ενώ σχεδόν τα τρία τέταρτα τελικά σκοτώθηκαν ή υποτάχθηκαν, περίπου 500.000 Ουγενότοι είχαν εγκαταλείψει τη Γαλλία από τις αρχές του 18ου αιώνα [απαιτείται παραπομπή].",a_Huguenot_0,NR,,GR
5,Ποιος Γάλλος ευγενής εξέδωσε αυτή τη δήλωση;,a_Huguenot_0_qa_2,NR,Λουδοβίκου ΙΔ΄,GR
6,"Το Fresno εξυπηρετείται από το State Route 99, τον κύριο αυτοκινητόδρομο Βορρά / Νότου που συνδέει τα μεγάλα κέντρα πληθυσμού της Κεντρικής Κοιλάδας της Καλιφόρνια. Το State Route 168, το Sierra Freeway, κατευθύνεται ανατολικά προς την πόλη Clovis και τη λίμνη Huntington. Το State Route 41 (Yosemite Freeway/Eisenhower Freeway) φτάνει στο Φρέσνο από το Atascadero στον νότο, και στη συνέχεια κατευθύνεται βόρεια προς Yosemite. Το State Route 180,(Kings Canyon Freeway) έρχεται προς τα δυτικά μέσω Mendota και από τα ανατολικά στο εθνικό πάρκο Kings Canyon και πηγαίνει προς την πόλη Reedley.",a_FresnoCalifornia_3,NR,,GR
7,Ποιος δρόμος συνδέει το Φρέσνο με την Κεντρική Κοιλάδα της Καλιφόρνια;,a_FresnoCalifornia_3_qa_0,NR,State Route 99,GR
8,"Τα γραπτά του Λούθερ κυκλοφόρησαν ευρέως, φθάνοντας στη Γαλλία, την Αγγλία και την Ιταλία ήδη από το 1519. Οι μαθητές μαζεύτηκαν στο Wittenberg για να ακούσουν τον Λούθερ να μιλάει. Δημοσίευσε έναν σύντομο σχολιασμό για τους Γαλάτες και το έργο του με θέμα τους Ψαλμούς. Αυτό το πρώιμο μέρος της καριέρας του Λούθερ ήταν ένα από τα πιο δημιουργικά και παραγωγικά του. Τρία από τα πιο γνωστά έργα του δημοσιεύθηκαν το 1520: Για τη χριστιανική αριστοκρατία του γερμανικού έθνους, για την αιχμαλωσία της εκκλησίας της Βαβυλώνας, και για την ελευθερία ενός χριστιανού.",a_MartinLuther_0,NR,,GR
9,Πότε δημοσιεύθηκαν κάποια από τα πιο γνωστά έργα του Λούθερ;,a_MartinLuther_0_qa_3,NR,1520,GR
10,"Οι περιβαλλοντολόγοι ανησυχούν για την απώλεια της βιοποικιλότητας που θα προκύψει ως αποτέλεσμα της καταστροφής του δάσους, καθώς και για την απελευθέρωση άνθρακα που εμπεριέχεται στη βλάστηση, η οποία θα μπορούσε να επιταχύνει την παγκόσμια υπερθέρμανση. Τα αειθαλή δάση του Αμαζονίου αντιπροσωπεύουν περίπου το 10% της παγκόσμιας πρωτογενούς παραγωγικότητας και 10% των αποθεμάτων άνθρακα σε οικοσυστήματα - της τάξης 1,1 × 1011 μετρικοί τόνοι άνθρακα. Στα δάση του Αμαζονίου εκτιμάται ότι συσσωρεύτηκαν 0,62 ± 0,37 τόνοι άνθρακα ανά εκτάριο κάθε χρόνο, μεταξύ του 1975 και του 1996.",a_Amazonrainforest_3,NR,,GR
11,Πόσοι μετρικοί τόνοι άνθρακα πιστεύεται ότι είναι αποθηκευμένοι στο δάσος του Αμαζονίου;,a_Amazonrainforest_3_qa_4,NR,"1,1 × 1011",GR
12,"Αυτοί οι χλωροπλάστες, οι οποίοι μπορούν να ανιχνευθούν κατευθείαν σε έναν κυανοβακτηριακό πρόγονο, είναι γνωστοί ως πρωτογενείς πλαστίδες («πλαστίδιο» σε αυτό το πλαίσιο σημαίνει σχεδόν το ίδιο πράγμα με τον χλωροπλάστη). Όλοι οι πρωτογενείς χλωροπλάστες ανήκουν σε μία από τις τρεις γενεαλογικές σειρές χλωροπλάστη, τη γενεαλογική σειρά των χλωροπλάστων γλαυκωφωτών, τη ροδοφυτική ή τη γενεαλογική σειρά χλωροπλάστου κόκκινου φυλλώματος ή τη χλωροπλαστιδάνη ή τη γενεαλογική σειρά πράσινου χλωροπλάστη. Τα δεύτερα είναι τα μεγαλύτερα, και η γενεαλογική σειρά πράσινου χλωροπλάστη είναι εκείνη που περιέχει τα φυτά γης.",a_Chloroplast_1,IS,,GR
13,Τι σημαίνει χλωροπλαστιδά;,q_after_a_Chloroplast_1_qa_3,IS,γενεαλογική σειρά πράσινου χλωροπλάστη,GR
14,"Η Victoria έχει ένα γραπτό σύνταγμα που θεσπίστηκε το 1975, αλλά με βάση το αποικιακό σύνταγμα του 1855, που εγκρίθηκε από το βρετανικό κοινοβούλιο ως Νομοθεσία της Victoria 1855, που θεσπίζει το Κοινοβούλιο ως νομοθέτη του κράτους για θέματα που εμπίπτουν στην αρμοδιότητα του κράτους. Το Βικτοριανό Σύνταγμα μπορεί να τροποποιηθεί από τη Βουλή της Victoria, με εξαίρεση ορισμένες «καθιερωμένες» διατάξεις οι οποίες απαιτούν απόλυτη πλειοψηφία και στα δύο κοινοβούλια, με πλειοψηφία τριών πέμπτων και στα δύο κοινοβούλια, ή την έγκριση του βικτωριανού λαού με δημοψήφισμα, ανάλογα με τη διάταξη.",a_VictoriaAustralia_1,IS,,GR
15,Πότε έλαβε η Victoria το σύνταγμά της;,q_after_a_VictoriaAustralia_1_qa_0,IS,1975,GR
16,"Οι ύμνοι του Λούθερ είχαν πολλές φορές εμπνευστεί από συγκεκριμένα γεγονότα στη ζωή του και την Μεταρρύθμιση που εξελίσσονταν. Αυτή η συμπεριφορά ξεκίνησε με την εκμάθηση της εκτέλεσης του Johann Esch και του Heinrich Voes, των πρώτων ατόμων που έγιναν μάρτυρες από τη Ρωμαιοκαθολική Εκκλησία για τις Λουθηρανικές απόψεις, παρακινώντας τον Λούθερ να γράψει τον ύμνο «Ein neues Lied wir heben a», ο οποίος είναι γενικά γνωστός στα αγγλικά με την μετάφραση του John C. Messenger με τον τίτλο και την πρώτη γραμμή «Πέταξα στους αδιάφορους ανέμους» και τραγουδούσε το τραγούδι Ibstone που συνέθεσε το 1875 η Maria C. Tiddeman.",a_MartinLuther_3,IS,,GR
17,Γιατί ο Johann Esch και ο Heinrich Voes εκτελέστηκαν από την Καθολική Εκκλησία;,q_after_a_MartinLuther_3_qa_1,IS,για τις Λουθηρανικές απόψεις,GR
18,"Κατασκευή είναι η διαδικασία κατασκευής ενός κτιρίου ή υποδομής. Η κατασκευή διαφέρει από την παραγωγή στο ότι η παραγωγή συνήθως περιλαμβάνει τη μαζική παραγωγή παρόμοιων αντικειμένων χωρίς προκαθορισμένο αγοραστή, ενώ η κατασκευή συνήθως πραγματοποιείται επιτόπου για έναν γνωστό πελάτη. Η κατασκευή ως βιομηχανία αποτελεί το έξι έως εννέα τοις εκατό του ακαθάριστου εγχώριου προϊόντος των ανεπτυγμένων χωρών. Η κατασκευή αρχίζει με προγραμματισμό, σχεδιασμό και χρηματοδότηση και συνεχίζεται μέχρι να κατασκευαστεί το έργο και να είναι έτοιμο προς χρήση.",a_Construction_0,IS,,GR
19,Τι ποσοστό του ακαθάριστου εγχώριου προϊόντος αντιπροσωπεύει η κατασκευή;,q_after_a_Construction_0_qa_2,IS,έξι έως εννέα τοις εκατό,GR
