,stimulus,trial_name,task_type,correct_answer,lang
2,"Регистрационный номер транспортного средства — это металлическая или пластиковая табличка, которая помещается на транспортное средство в целях идентификации. Все страны требуют регистрационных знаков для таких наземных транспортных средств, как легковые и грузовые автомобили, а также мотоциклы. Обязательны ли они для других видов транспорта, например, для велосипедов, лодок и тракторов, зависит от местных законов. Регистрационный номер — это комбинация букв и цифр, которая позволяет однозначно идентифицировать владельца транспортного средства в реестре номеров соответствующей административной единицы. В некоторых странах номера регистрируются в едином реестре, в других реестры ведутся в отдельных штатах или областях. Франция была первой страной, в которой ввели регистрационные номера, — там это случилось в конце девятнадцатого века. Номерные знаки в начале двадцатого века настолько отличались размером и формой в разных административных единицах, что тому, кто переезжал, приходилось сверлить в автомобиле новые отверстия, чтобы прикрепить новый знак. Стандартизация знаков была введена в конце пятидесятых годов, когда производители автомобилей пришли к соглашению с правительствами и международными организациями.",meco_para_12,NR,,RU
3,Региональные власти в некоторых странах имеют право вводить собственные номерные знаки.,meco_para_12_qa_3,NR,False,RU
4,"Хотя сегодня поршневой паровой двигатель практически не используется в промышленных масштабах, некоторые компании изучают или задействуют его потенциал в качестве альтернативы двигателям внутреннего сгорания. Компания Energiprojekt AB из Швеции добилась успехов, применяя современные материалы для производства энергии из пара. КПД паровых двигателей Energiprojekt на машинах высокого давления достигает 27-30 %. Это одноступенчатый 5-цилиндровый двигатель (без компаунда), работающий на перегретом паре и потребляющий около 4 кг (8,8 фунтов) пара на кВт. ч. [нет в источнике]",a_Steamengine_3,NR,,RU
5,Какая современная компания занимается разработкой парового двигателя с применением современных материалов?,a_Steamengine_3_qa_0,NR,Energiprojekt AB,RU
6,"Гарвардская школа бизнеса и многие спортивные сооружения университета, в том числе Гарвардский стадион, расположены на кампусе площадью 358 акров (145 га) напротив кампуса Кембриджа в Оллстоне. Мост ""Джон В. Викс"" является пешеходным мостом через реку Чарльз, соединяющим оба кампуса. Гарвардская медицинская школа, Гарвардская школа стоматологии и Гарвардская школа общественного здравоохранения расположены на кампусе площадью 21 акр (8,5 га) в Медицинской и академической части Лонгвуда примерно в 3,3 милях (5,3 км) к  юго-западу от центра Бостона и в 3,3 милях (5,3 км) к югу от кампуса Кембриджа.",a_HarvardUniversity_1,NR,,RU
7,Где находится Гарвардский стадион?,a_HarvardUniversity_1_qa_0,NR,Оллстоне,RU
8,"где  — площадь поперечного сечения, соответствующая объему, для которого рассчитывается тензор напряжений. Приведенные формулы включают в себя компоненты давления, вызванного силами, действующими перпендикулярно к площади поперечного сечения (диагональные элементы матрицы тензора), а также компоненты сдвига, вызванного силами, действующими параллельно площади поперечного сечения (недиагональные элементы). Тензор напряжений учитывает силы, вызывающие все напряжения (деформации), в том числе напряжения растяжения и сжатия.:133-134:38-1‑38-11",a_Force_4,NR,,RU
9,Что вызывает напряжение в конструкциях?,a_Force_4_qa_0,NR,Тензор напряжений,RU
10,"В тибетском буддизме тибетские преподаватели Дхармы обычно называются ламами. Лама, прошедший практики пховы и сиддхи и сознательно обрекающий себя на перерождение, зачастую много раз, чтобы продолжить обет Бодхисаттвы, называется Тулку.",a_Teacher_4,NR,,RU
11,Что предначертано ламе?,a_Teacher_4_qa_1,NR,перерождение,RU
