,stimulus,trial_name,task_type,correct_answer,lang
2,"The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved in data gathering and analysis, research, field projects, advocacy, and education. Its mission is to 'influence, encourage and assist societies throughout the world to conserve nature and to ensure that any use of natural resources is equitable and ecologically sustainable'. Over the past decades, the organization has widened its focus beyond conservation ecology and now incorporates issues related to sustainable development in its projects. Unlike many other international environmental organizations, it does not aim to mobilize the public in support of nature conservation. Instead, the organization tries to influence the actions of governments, business and other stakeholders by providing information and advice, and through building partnerships. The organization is best known to the wider public for compiling and publishing the Red List of Threatened Species, which assesses the conservation status of species worldwide. Today, the organization employs approximately one thousand full-time staff in more than fifty countries.",meco_para_11,NR,,EN
3,This organization publishes the Red List of Threatened Species.,meco_para_11_qa_3,NR,True,EN
4,"The agreements include fixed annual carriage fees of £30m for the channels with both channel suppliers able to secure additional capped payments if their channels meet certain performance-related targets. Currently there is no indication as to whether the new deal includes the additional Video On Demand and High Definition content which had previously been offered by BSkyB. As part of the agreements, both BSkyB and Virgin Media agreed to terminate all High Court proceedings against each other relating to the carriage of their respective basic channels.",a_SkyUnitedKingdom_4,NR,,EN
5,What company agreed to terminate high court proceedings with BSkyB?,a_SkyUnitedKingdom_4_qa_2,NR,Virgin Media,EN
6,"With a budget of $230,000, the surviving original lunar broadcast data from Apollo 11 was compiled by Nafzger and assigned to Lowry Digital for restoration. The video was processed to remove random noise and camera shake without destroying historical legitimacy. The images were from tapes in Australia, the CBS News archive, and kinescope recordings made at Johnson Space Center. The restored video, remaining in black and white, contains conservative digital enhancements and did not include sound quality improvements.",a_Apolloprogram_4,NR,,EN
7,Were the restored tapes able to have color added to them to enhance the picture or did they remain black and white?,a_Apolloprogram_4_qa_4,NR,black and white,EN
8,"In 1891 Scottish chemist James Dewar was able to produce enough liquid oxygen to study. The first commercially viable process for producing liquid oxygen was independently developed in 1895 by German engineer Carl von Linde and British engineer William Hampson. Both men lowered the temperature of air until it liquefied and then distilled the component gases by boiling them off one at a time and capturing them. Later, in 1901, oxyacetylene welding was demonstrated for the first time by burning a mixture of acetylene and compressed O2. This method of welding and cutting metal later became common.",a_Oxygen_1,NR,,EN
9,What chemist managed to make enough liquid oxygen to use for study?,a_Oxygen_1_qa_0,NR,James Dewar,EN
10,"Published at a time of rising demand for German-language publications, Luther's version quickly became a popular and influential Bible translation. As such, it made a significant contribution to the evolution of the German language and literature. Furnished with notes and prefaces by Luther, and with woodcuts by Lucas Cranach that contained anti-papal imagery, it played a major role in the spread of Luther's doctrine throughout Germany. The Luther Bible influenced other vernacular translations, such as William Tyndale's English Bible (1525 forward), a precursor of the King James Bible.",a_MartinLuther_2,NR,,EN
11,What did the popularity of Luther's translation contribute to?,a_MartinLuther_2_qa_2,NR,evolution of the German language and literature,EN
12,"In the laboratory, stratigraphers analyze samples of stratigraphic sections that can be returned from the field, such as those from drill cores. Stratigraphers also analyze data from geophysical surveys that show the locations of stratigraphic units in the subsurface. Geophysical data and well logs can be combined to produce a better view of the subsurface, and stratigraphers often use computer programs to do this in three dimensions. Stratigraphers can then use these data to reconstruct ancient processes occurring on the surface of the Earth, interpret past environments, and locate areas for water, coal, and hydrocarbon extraction.",a_Geology_2,IS,,EN
13,What can be combined with geophysical data to produce a better view of the subsurface?,q_after_a_Geology_2_qa_2,IS,well logs,EN
14,"Professional sports teams in Southern California include teams from the NFL (Los Angeles Rams, San Diego Chargers); NBA (Los Angeles Lakers, Los Angeles Clippers); MLB (Los Angeles Dodgers, Los Angeles Angels of Anaheim, San Diego Padres); NHL (Los Angeles Kings, Anaheim Ducks); and MLS (LA Galaxy).",a_SouthernCalifornia_3,IS,,EN
15,What is the lone MLS team that belongs to southern California?,q_after_a_SouthernCalifornia_3_qa_4,IS,LA Galaxy,EN
16,"Kenya ranks low on Transparency International's Corruption Perception Index (CPI), a metric which attempts to gauge the prevalence of public sector corruption in various countries. In 2012, the nation placed 139th out of 176 total countries in the CPI, with a score of 27/100. However, there are several rather significant developments with regards to curbing corruption from the Kenyan government, for instance, the establishment of a new and independent Ethics and Anti-Corruption Commission (EACC).",a_Kenya_0,IS,,EN
17,Where does Kenya rank on the CPI scale?,q_after_a_Kenya_0_qa_0,IS,low,EN
18,"In the years after these rumors, neither Tesla nor Edison won the prize (although Edison did receive one of 38 possible bids in 1915 and Tesla did receive one of 38 possible bids in 1937).",a_NikolaTesla_3,IS,,EN
19,Who received a bid in 1915?,q_after_a_NikolaTesla_3_qa_1,IS,Edison,EN
20,"Peyton Manning became the first quarterback ever to lead two different teams to multiple Super Bowls. He is also the oldest quarterback ever to play in a Super Bowl at age 39. The past record was held by John Elway, who led the Broncos to victory in Super Bowl XXXIII at age 38 and is currently Denver's Executive Vice President of Football Operations and General Manager.",a_SuperBowl50_2,IS,,EN
21,Who did John Elway play for in Super Bowl XXXIII?,q_after_a_SuperBowl50_2_qa_4,IS,Broncos,EN
