,stimulus,trial_name,task_type,correct_answer,lang
2,"Ein Fahrzeugkennzeichen ist ein Metall- oder Kunststoffschild, das zur amtlichen Identifizierung an einem Fahrzeug angebracht ist. In allen Ländern sind solche Kennzeichen für Straßenfahrzeuge wie Autos, Lastwagen und Motorräder erforderlich. Ob sie für andere Fahrzeuge wie Fahrräder, Boote oder Traktoren erforderlich sind, kann je nach Rechtssprechung variieren. Die Registrierungskennung besteht aus einer Reihe von Buchstaben und Ziffern, die den Fahrzeughalter eindeutig im Fahrzeugregister der ausstellenden Behörde identifiziert. In einigen Ländern ist die Kennung innerhalb des gesamten Landes einzigartig, während sie dies in anderen Ländern nur innerhalb eines Staates oder einer Provinz ist. Frankreich war das erste Land, das Ende des 19. Jahrhunderts das Kennzeichen einführte. Die Kennzeichen des frühen zwanzigsten Jahrhunderts variierten in Größe und Form je nach regionaler Rechtssprechung, so dass bei einem Umzug zusätzliche Löcher in das Auto gebohrt werden mussten, um das neue Kennzeichen anbringen zu können. Die Standardisierung der Platten erfolgte erst Ende der fünfziger Jahre, als sich die Automobilhersteller mit Regierungen und internationalen Organisationen einigten.",meco_para_12,NR,,DE
3,"Besteht eine Fahrzeugkennung aus Buchstaben, Ziffern und Symbolen?",meco_para_12_qa_3,NR,False,DE
4,"Lehrkräfte in Wales können registrierte Mitglieder von Gewerkschaften wie ATL, NUT oder NASUWT sein. Berichten zufolge fällt in den letzten Jahren in Wales das Durchschnittsalter der Lehrkräfte. Die Lehrkräfte sind also jünger als in der Vergangenheit. Ein wachsender Grund zur Sorge sind Angriffe auf Lehrkräfte an walisischen Schulen, die zwischen 2005 und 2010 ein Allzeithoch erreichten.",a_Teacher_1,NR,,DE
5,Was ist die NASUWT?,a_Teacher_1_qa_3,NR,Gewerkschaften,DE
6,"Diese Vorhersage war in der abschließenden Zusammenfassung für politische Entscheidungsträger nicht enthalten. Das IPCC hat seither zugegeben, dass die Zeitangabe unrichtig ist, aber nochmals bekräftigt, dass die Schlussfolgerung in der abschließenden Zusammenfassung solide sei. Es drückte sein Bedauern über „die mangelhafte Anwendung gängiger IPCC-Verfahren in diesem Fall“ aus. Die Zeitangabe 2035 wurde vom IPCC korrekt aus dem WWF-Bericht zitiert, welcher seine eigene Quelle, einen ICSI-Bericht  „Variations of Snow and Ice in the past and at present on a Global and Regional Scale“, falsch zitiert hat.",a_IntergovernmentalPanelonClimateChange_2,NR,,DE
7,Was war die Fehlerquelle?,a_IntergovernmentalPanelonClimateChange_2_qa_2,NR,dem WWF-Bericht,DE
8,"Der koreanische Wirtschaftswissenschaftler Hoesung Lee ist seit der Wahl des neuen IPCC-Vorstandes am 8. Oktober 2015 der Vorsitzende des IPCC. Vor dieser Wahl wurde das IPCC von seinem stellvertretenden Vorsitzenden Ismail El Gizouli geleitet, der nach dem Rücktritt von Rajendra K. Pachauri im Februar 2015 zum amtierenden Vorsitzenden ernannt wurde. Die früheren Vorsitzenden waren Rajendra K. Pachauri, gewählt im Mai 2002, Robert Watson 1997 und Bert Bolin 1988. Dem Vorsitzenden assistiert ein gewählter Vorstand, zu dem ein stellvertretender Vorsitzender, Co-Vorsitzende der Arbeitsgruppen und ein Sekretariat zählen.",a_IntergovernmentalPanelonClimateChange_0,NR,,DE
9,Welche Nationalität hat Hoesung Lee?,a_IntergovernmentalPanelonClimateChange_0_qa_1,NR,Der koreanische,DE
10,"Der Bau ist der Prozess der Errichtung eines Gebäudes oder einer Infrastruktur. Der Bau unterscheidet sich von der Fertigung darin, dass bei der Fertigung in der Regel ohne einen bestimmten Käufer ähnliche Artikel in Massenproduktion hergestellt werden, während ein Bau in der Regel vor Ort für einen bekannten Kunden erfolgt. Das Baugewerbe macht sechs bis neun Prozent des Bruttoinlandsprodukts der Industrieländer aus. Der Bau beginnt mit der Planung, [Quellenangabe erforderlich] dem Design und der Finanzierung und dauert an, bis das Projekt fertig und nutzungsbereit ist.",a_Construction_0,NR,,DE
11,Wie viel Prozent des Bruttoinlandsprodukts bestehen aus dem Baugewerbe?,a_Construction_0_qa_2,NR,sechs bis neun Prozent,DE
12,"Der Historiker Frederick W. Mote schrieb, das die Verwendung des Begriffs „soziale Klassen“ für dieses System irreführend ist und dass die Position der Personen innerhalb des Vierklassensystems kein Hinweis auf ihren tatsächlichen sozialen Einfluss und Reichtum war, sondern nur „Grade von Privilegien“ enthielt, die ihnen institutionell und rechtlich zustanden. Der Status einer Person innerhalb der Klassen war also keine Garantie ihrer Stellung, da es reiche und sozial hochstehende Chinesen gab, während es weniger reiche Mongolen und Semu als Mongolen und Semu gab, die in Armut lebten und geschunden wurden.",a_Yuandynasty_4,IS,,DE
13,Es gab viele Chinesen mit welchem unerwarteten Status?,q_after_a_Yuandynasty_4_qa_2,IS,reiche und sozial hochstehende,DE
14,"Die sechs-malige Grammy-Gewinnerin und Oscar-Nominierte Lady Gaga führte die Nationalhymne auf, während die Oscar-Gewinnerin Marlee Matlin in die Amerikanische Gebärdensprache (ASL) übersetzte.",a_SuperBowl50_3,IS,,DE
15,Was übersetzte Marlee Matlin?,q_after_a_SuperBowl50_3_qa_3,IS,die Nationalhymne,DE
16,"Das Rhein-Maas- Delta, die wichtigste Naturregion der Niederlande, beginnt bei Millingen aan de Rijn, nahe der deutsch-niederländischen Grenze an der Teilung des Rheins in Waal und Nederrijn. Da der Rhein den größten Teil des Wassers beiträgt, wird häufig die kürzere Bezeichnung Rheindelta verwendet. Dieser Name wird aber auch für das Flussdelta verwendet, in dem der Rhein in den Bodensee mündet, so dass es deutlicher ist, das größere der beiden Rhein-Maas-Delta oder auch Rhein-Maas-Schelde-Delta zu nennen, da die Schelde im gleichen Delta endet.",a_Rhine_1,IS,,DE
17,Wie lautet der Spitzname für das Delta in den Niederlanden?,q_after_a_Rhine_1_qa_2,IS,Rheindelta,DE
18,"Von 2005 bis 2014 gab es zwei Major League Soccer-Teams in Los Angeles ‐ LA Galaxy und Chivas USA ‐, die beide im StubHub Center spielten und lokale Rivalen waren. Allerdings wurden Chivas nach der MLS-Saison 2014 gesperrt und ab 2018 soll es wieder ein zweites MLS-Team geben.",a_SouthernCalifornia_4,IS,,DE
19,Für welches Jahr ist die Rückkehr der gesperrten Mannschaft geplant?,q_after_a_SouthernCalifornia_4_qa_4,IS,2018,DE
20,"In der Vergangenheit war Victoria die Heimat von Werken der großen Automarken Ford, Toyota und Holden. Allerdings werden die Schließungsankündigungen aller drei Unternehmen im 21. Jahrhundert dazu führen, dass Australien nicht länger eine Basis der weltweiten Automobilindustrie sein wird. Toyotas Erklärung vom Februar 2014 sieht als Schließungsjahr 2017 vor. Holdens Ankündigung erfolgte im Mai 2013, gefolgt von Fords Entscheidung im Dezember desselben Jahres (Fords Werke in Broadmeadows und Geelong in Victoria werden im Oktober 2016 schließen).",a_VictoriaAustralia_2,IS,,DE
21,Wann wird Toyota laut Ankündigung das Werk in Victoria schließen?,q_after_a_VictoriaAustralia_2_qa_1,IS,2017,DE
