,stimulus,trial_name,task_type,correct_answer,lang
2,"    A vehicle registration plate is a metal or plastic plate attached to a vehicle for officialidentification purposes. All countries require registration plates for road vehicles such as cars, trucks,and motorcycles. Whether they are required for other vehicles, such as bicycles, boats, or tractors, may vary by jurisdiction. The registration identifier is a series of letters and digits that uniquely identifies the vehicle owner within the issuing region's vehicle register. In some countries, the identifier is unique within the entire country, while in others it is unique within a state or province. France was the first country to introduce the registration plate, in the late nineteenth century. Early twentieth century plates varied in size and shape from one jurisdiction to the next, such that if a person moved, new holes would need to be drilled into the automobile to support the new plate. Standardization of plates came in the late fifties, when automobile manufacturers came to an agreement with governments and international organizations.",meco_para_12,NR,,EN
3,The size of plates was standardized before World War II. ,meco_para_12_qa_1,NR,False,EN
4,"It is tempting to think that the notion of function problems is much richer than the notion of decision problems. However, this is not really the case, since function problems can be recast as decision problems. For example, the multiplication of two integers can be expressed as the set of triples (a, b, c) such that the relation a × b = c holds. Deciding whether a given triple is a member of this set corresponds to solving the problem of multiplying two numbers.",a_Computationalcomplexitytheory_2,NR,,EN
5,"If two integers are multiplied and output a value, what is this expression set called?",a_Computationalcomplexitytheory_2_qa_1,NR,set of triples,EN
6,"The Harvard Business School and many of the university's athletics facilities, including Harvard Stadium, are located on a 358-acre (145 ha) campus opposite the Cambridge campus in Allston. The John W. Weeks Bridge is a pedestrian bridge over the Charles River connecting both campuses. The Harvard Medical School, Harvard School of Dental Medicine, and the Harvard School of Public Health are located on a 21-acre (8.5 ha) campus in the Longwood Medical and Academic Area approximately 3.3 miles (5.3 km) southwest of downtown Boston and 3.3 miles (5.3 km) south of the Cambridge campus.",a_HarvardUniversity_1,NR,,EN
7,What is the name of the bridge that joins parts of the campus of the Charles River?,a_HarvardUniversity_1_qa_1,NR,John W. Weeks Bridge,EN
8,"The energy crisis led to greater interest in renewable energy, nuclear power and domestic fossil fuels. There is criticism that American energy policies since the crisis have been dominated by crisis-mentality thinking, promoting expensive quick fixes and single-shot solutions that ignore market and technology realities. Instead of providing stable rules that support basic research while leaving plenty of scope for entrepreneurship and innovation, congresses and presidents have repeatedly backed policies which promise solutions that are politically expedient, but whose prospects are doubtful.",a_1973oilcrisis_3,NR,,EN
9,What was the catalyst that created greater interest in renewable resources?,a_1973oilcrisis_3_qa_0,NR,energy crisis,EN
10,"The costume collection is the most comprehensive in Britain, containing over 14,000 outfits plus accessories, mainly dating from 1600 to the present. Costume sketches, design notebooks, and other works on paper are typically held by the Word and Image department. Because everyday clothing from previous eras has not generally survived, the collection is dominated by fashionable clothes made for special occasions. One of the first significant gifts of costume came in 1913 when the V&A received the Talbot Hughes collection containing 1,442 costumes and items as a gift from Harrods following its display at the nearby department store.",a_VictoriaandAlbertMuseum_2,NR,,EN
11,Approximately how many items are in the costume collection of the V&A?,a_VictoriaandAlbertMuseum_2_qa_0,NR,"over 14,000",EN
12,"Islamism is a controversial concept not just because it posits a political role for Islam but also because its supporters believe their views merely reflect Islam, while the contrary idea that Islam is, or can be, apolitical is an error. Scholars and observers who do not believe that Islam is merely a political ideology include Fred Halliday, John Esposito and Muslim intellectuals like Javed Ahmad Ghamidi. Hayri Abaza argues the failure to distinguish between Islam and Islamism leads many in the West to support illiberal Islamic regimes, to the detriment of progressive moderates who seek to separate religion from politics.",a_Islamism_0,IS,,EN
13,What does the inability to separate Islam from Islamism lead many in the West to support?,q_after_a_Islamism_0_qa_3,IS,illiberal Islamic regimes,EN
14,"However, his religious views remain uncertain due to other statements that he made. For example, in his article, ""A Machine to End War"", published in 1937, Tesla stated:",a_NikolaTesla_4,IS,,EN
15,What article was published in 1937?,q_after_a_NikolaTesla_4_qa_0,IS,A Machine to End War,EN
16,"Six-time Grammy winner and Academy Award nominee Lady Gaga performed the national anthem, while Academy Award winner Marlee Matlin provided American Sign Language (ASL) translation.",a_SuperBowl50_3,IS,,EN
17,What actor did sign language for the National Anthem at Superbowl 50?,q_after_a_SuperBowl50_3_qa_8,IS,Marlee Matlin,EN
18,"In the laboratory, stratigraphers analyze samples of stratigraphic sections that can be returned from the field, such as those from drill cores. Stratigraphers also analyze data from geophysical surveys that show the locations of stratigraphic units in the subsurface. Geophysical data and well logs can be combined to produce a better view of the subsurface, and stratigraphers often use computer programs to do this in three dimensions. Stratigraphers can then use these data to reconstruct ancient processes occurring on the surface of the Earth, interpret past environments, and locate areas for water, coal, and hydrocarbon extraction.",a_Geology_2,IS,,EN
19,What tool do stratigraphers use to see their data in three dimensions?,q_after_a_Geology_2_qa_3,IS,computer programs,EN
20,"With a budget of $230,000, the surviving original lunar broadcast data from Apollo 11 was compiled by Nafzger and assigned to Lowry Digital for restoration. The video was processed to remove random noise and camera shake without destroying historical legitimacy. The images were from tapes in Australia, the CBS News archive, and kinescope recordings made at Johnson Space Center. The restored video, remaining in black and white, contains conservative digital enhancements and did not include sound quality improvements.",a_Apolloprogram_4,IS,,EN
21,Were the restored tapes able to have color added to them to enhance the picture or did they remain black and white?,q_after_a_Apolloprogram_4_qa_4,IS,black and white,EN
