,stimulus,trial_name,task_type,correct_answer,lang
2,"La patente de un vehículo es una placa de metal o plástico fijada al vehículo con el propósito de identificación oficial. Todos los países requieren patentes para vehículos como autos, camiones y motocicletas. Su requerimiento para otros vehículos como bicicletas, botes o tractores puede variar por jurisdicción. El identificador de registro es una serie de letras o números que identifican únicamente al dueño de un vehículo dentro de la región del registro del vehículo. En algunos países, el identificador es único en todo el país, mientras que, en otros, es único dentro de un estado o provincia. Francia fue el primer país en introducir la patente, a fines del siglo diecinueve. Las patentes de principios de siglo veinte variaban en tamaño y forma de una jurisdicción a otra, de manera que, si una persona se mudaba, se necesitaba hacer nuevos agujeros en el auto para sostener la nueva patente. La estandarización de patentes llegó a fines de los años cincuenta, cuando los fabricantes de automóviles llegaron a un acuerdo con los distintos gobiernos y organizaciones internacionales.",meco_para_12,NR,,ES
3,La primera patente fue introducida en Francia.,meco_para_12_qa_0,NR,True,ES
4,"En Europa, el escenario norteamericano de la Guerra de los Siete Años no suele recibir un nombre distinto. Todo el conflicto internacional se conoce como la Guerra de los Siete Años. ""Siete años"" se refiere a los acontecimientos en Europa, desde la declaración oficial de guerra en 1756 hasta la firma del tratado de paz en 1763. Estas fechas no se corresponden con las luchas en el continente norteamericano, donde la contienda entre las dos potencias coloniales concluyó en gran medida en seis años, desde la Batalla de Jumonville Glen en 1754 hasta la captura de Montreal en 1760.",a_FrenchandIndianWar_0,NR,,ES
5,¿Cuál fue la primera batalla en 1754?,a_FrenchandIndianWar_0_qa_3,NR,Batalla de Jumonville Glen,ES
6,"James Hutton a menudo se considera el primer geólogo moderno. En 1785 presentó un documento titulado Teoría de la Tierra a la Sociedad Real de Edimburgo. En su artículo, explicó su teoría de que la Tierra debe ser mucho más antigua de lo que se suponía para que hubiera tiempo suficiente para que las montañas se erosionaran y los sedimentos formaran nuevas rocas en el fondo del mar, que a su vez se elevaron para convertirse en tierra seca. Hutton publicó una versión en dos volúmenes de sus ideas en 1795 (Vol. 1, Vol. 2).",a_Geology_4,NR,,ES
7,¿Cuál fue la idea principal del artículo de James Hutton?,a_Geology_4_qa_3,NR,debe ser mucho más antigua de lo que se suponía,ES
8,"Los ambientalistas están preocupados por la pérdida de biodiversidad que se producirá como resultado de la destrucción del bosque, y también por la liberación del carbono contenido en la vegetación, que podría acelerar el calentamiento global. Los bosques perennes amazónicos representan alrededor del 10 % de la productividad primaria terrestre mundial y el 10 % de los depósitos de carbono en los ecosistemas, del orden de 1,1 × 1011 toneladas métricas de carbono. Se estima que los bosques amazónicos han acumulado 0,62 ± 0,37 toneladas de carbono por hectárea y año entre 1975 y 1996.",a_Amazonrainforest_3,NR,,ES
9,"¿De qué se deriva la pérdida de biodiversidad, según los ambientalistas?",a_Amazonrainforest_3_qa_1,NR,destrucción del bosque,ES
10,"Durante muchos años, Sudán tuvo un régimen islamista bajo el liderazgo de Hassan al-Turabi. Su Frente Nacional Islámico ganó influencia por primera vez cuando el General Gaafar al-Nimeiry invitó a miembros a formar parte de su gobierno en 1979. Turabi construyó una poderosa base económica con el dinero de sistemas bancarios islamistas extranjeros, especialmente los vinculados con Arabia Saudita. También reclutó y construyó un cuadro de leales influyentes al colocar estudiantes simpatizantes en la universidad y academia militar mientras se desempeñaba como ministro de educación.",a_Islamism_3,NR,,ES
11,¿Quién era el líder del régimen islamista en Sudán?,a_Islamism_3_qa_1,NR,Hassan al-Turabi,ES
12,"Los Broncos vencieron a los Pittsburgh Steelers en la ronda divisional por 23 a 16 al conseguir anotar 11 puntos en los últimos tres minutos del partido. Posteriormente, en el Campeonato de la AFC, batieron al defensor del título de la Super Bowl XLIX, los New England Patriots por 20 a 18. Cuando quedaban tan solo 17 segundos en el marcador, lograron interceptar un pase en un intento de conversión de 2 puntos de los New England. A pesar de los problemas de Manning con las intercepciones la temporada pasada, este no decepcionó en ninguno de sus dos partidos de eliminatoria.",a_SuperBowl50_1,IS,,ES
13,¿Quién ganó la Super Bowl XLIX?,q_after_a_SuperBowl50_1_qa_2,IS,New England Patriots,ES
14,"Peyton Manning se convirtió en el primer mariscal de campo de la historia en llevar a dos equipos diferentes a participar en múltiples Super Bowls. Ademas, es con 39 años, el mariscal de campo más longevo de la historia en jugar ese partido. El récord anterior estaba en manos de John Elway ―mánager general y actual vicepresidente ejecutivo para operaciones futbolísticas de Denver― que condujo a los Broncos a la victoria en la Super Bowl XXXIII a los 38 años de edad.",a_SuperBowl50_2,IS,,ES
15,¿Para quién jugaba John Elway en la Super Bowl XXXIII?,q_after_a_SuperBowl50_2_qa_4,IS,Broncos,ES
16,"En 1973, Nixon nombró a William E. Simon primer Administrador de la Oficina Federal de Energía, una organización a corto plazo creada para coordinar la respuesta al embargo. Simon asignó a los estados la misma cantidad de petróleo nacional para 1974 que cada uno había consumido en 1972, lo que funcionó para los estados cuyas poblaciones no estaban aumentando. En otros estados, las colas en las gasolineras eran frecuentes. La Asociación Americana del Automóvil informó que en la última semana de febrero de 1974, el 20 % de las gasolineras estadounidenses no tenían combustible.",a_1973oilcrisis_2,IS,,ES
17,¿Quién es el primer administrador de la Oficina Federal de Energía?,q_after_a_1973oilcrisis_2_qa_0,IS,William E. Simon,ES
18,"El ""West Side"" de Fresno, también llamado ""Southwest Fresno"", es uno de los barrios más antiguos de la ciudad. El vecindario se encuentra al suroeste de la autopista 99 (que lo divide desde el centro de Fresno), al oeste de la autopista 41 y al sur de la Avenida Nielsen (o la recién construida Autopista 180) y se extiende hasta los límites de la ciudad hacia el oeste y el sur. El barrio se considera tradicionalmente el centro de la comunidad afroamericana de Fresno. Es culturalmente diversa y también incluye importantes poblaciones mexicano-americanas y asiático-americanas (principalmente Hmong o Laotian).",a_FresnoCalifornia_0,IS,,ES
19,¿Cuál es otro nombre para el West Side de Fresno?,q_after_a_FresnoCalifornia_0_qa_0,IS,Southwest Fresno,ES
