,stimulus,trial_name,task_type,correct_answer,lang,set_name
0,"Ein Fahrzeugkennzeichen ist ein Metall- oder Kunststoffschild, das zur amtlichen Identifizierung an einem Fahrzeug angebracht ist. In allen Ländern sind solche Kennzeichen für Straßenfahrzeuge wie Autos, Lastwagen und Motorräder erforderlich. Ob sie für andere Fahrzeuge wie Fahrräder, Boote oder Traktoren erforderlich sind, kann je nach Rechtssprechung variieren. Die Registrierungskennung besteht aus einer Reihe von Buchstaben und Ziffern, die den Fahrzeughalter eindeutig im Fahrzeugregister der ausstellenden Behörde identifiziert. In einigen Ländern ist die Kennung innerhalb des gesamten Landes einzigartig, während sie dies in anderen Ländern nur innerhalb eines Staates oder einer Provinz ist. Frankreich war das erste Land, das Ende des 19. Jahrhunderts das Kennzeichen einführte. Die Kennzeichen des frühen zwanzigsten Jahrhunderts variierten in Größe und Form je nach regionaler Rechtssprechung, so dass bei einem Umzug zusätzliche Löcher in das Auto gebohrt werden mussten, um das neue Kennzeichen anbringen zu können. Die Standardisierung der Platten erfolgte erst Ende der fünfziger Jahre, als sich die Automobilhersteller mit Regierungen und internationalen Organisationen einigten.",meco_para_12,NR,,DE,mturk_DE_v01
1,"Besteht eine Fahrzeugkennung aus Buchstaben, Ziffern und Symbolen?",meco_para_12_qa_3,NR,False,DE,mturk_DE_v01
2,"Lehrkräfte in Wales können registrierte Mitglieder von Gewerkschaften wie ATL, NUT oder NASUWT sein. Berichten zufolge fällt in den letzten Jahren in Wales das Durchschnittsalter der Lehrkräfte. Die Lehrkräfte sind also jünger als in der Vergangenheit. Ein wachsender Grund zur Sorge sind Angriffe auf Lehrkräfte an walisischen Schulen, die zwischen 2005 und 2010 ein Allzeithoch erreichten.",a_Teacher_1,NR,,DE,mturk_DE_v01
3,Was ist die NASUWT?,a_Teacher_1_qa_3,NR,Gewerkschaften,DE,mturk_DE_v01
4,"Diese Vorhersage war in der abschließenden Zusammenfassung für politische Entscheidungsträger nicht enthalten. Das IPCC hat seither zugegeben, dass die Zeitangabe unrichtig ist, aber nochmals bekräftigt, dass die Schlussfolgerung in der abschließenden Zusammenfassung solide sei. Es drückte sein Bedauern über „die mangelhafte Anwendung gängiger IPCC-Verfahren in diesem Fall“ aus. Die Zeitangabe 2035 wurde vom IPCC korrekt aus dem WWF-Bericht zitiert, welcher seine eigene Quelle, einen ICSI-Bericht  „Variations of Snow and Ice in the past and at present on a Global and Regional Scale“, falsch zitiert hat.",a_IntergovernmentalPanelonClimateChange_2,NR,,DE,mturk_DE_v01
5,Was war die Fehlerquelle?,a_IntergovernmentalPanelonClimateChange_2_qa_2,NR,dem WWF-Bericht,DE,mturk_DE_v01
6,"Der koreanische Wirtschaftswissenschaftler Hoesung Lee ist seit der Wahl des neuen IPCC-Vorstandes am 8. Oktober 2015 der Vorsitzende des IPCC. Vor dieser Wahl wurde das IPCC von seinem stellvertretenden Vorsitzenden Ismail El Gizouli geleitet, der nach dem Rücktritt von Rajendra K. Pachauri im Februar 2015 zum amtierenden Vorsitzenden ernannt wurde. Die früheren Vorsitzenden waren Rajendra K. Pachauri, gewählt im Mai 2002, Robert Watson 1997 und Bert Bolin 1988. Dem Vorsitzenden assistiert ein gewählter Vorstand, zu dem ein stellvertretender Vorsitzender, Co-Vorsitzende der Arbeitsgruppen und ein Sekretariat zählen.",a_IntergovernmentalPanelonClimateChange_0,NR,,DE,mturk_DE_v01
7,Welche Nationalität hat Hoesung Lee?,a_IntergovernmentalPanelonClimateChange_0_qa_1,NR,Der koreanische,DE,mturk_DE_v01
8,"Der Bau ist der Prozess der Errichtung eines Gebäudes oder einer Infrastruktur. Der Bau unterscheidet sich von der Fertigung darin, dass bei der Fertigung in der Regel ohne einen bestimmten Käufer ähnliche Artikel in Massenproduktion hergestellt werden, während ein Bau in der Regel vor Ort für einen bekannten Kunden erfolgt. Das Baugewerbe macht sechs bis neun Prozent des Bruttoinlandsprodukts der Industrieländer aus. Der Bau beginnt mit der Planung, [Quellenangabe erforderlich] dem Design und der Finanzierung und dauert an, bis das Projekt fertig und nutzungsbereit ist.",a_Construction_0,NR,,DE,mturk_DE_v01
9,Wie viel Prozent des Bruttoinlandsprodukts bestehen aus dem Baugewerbe?,a_Construction_0_qa_2,NR,sechs bis neun Prozent,DE,mturk_DE_v01
