"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_os","subject_screen_width","subject_screen_height","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_name","webgazer_data","webgazer_targets","correct_answer","question_text"
"4294","
              <div class=""left-align"">
                <img src=""https://designguide.ku.dk/download/co-branding/ku_logo_uk_v.png"" alt=""KU Logo"" class=""ku-logo"">
                <h1>Welcome to <b>TR</b> Dev!</h1>
                <p>This mode is designed for the development of the experiment.</p>
                <p>When each experiment loads, an image is saved.</p>
                <p>The idea is then to save these images for the oficial experiment. At the final screen a file can be downloaded with the target locations.</p>
                <ul>Ribeiro, Tiago - Research Assistant - <a href = ""mailto: tiri@di.ku.dk"">tiri@di.ku.dk</a></ul>
                <p>Project Leaders:</p>
                <ul>Søgaard, Anders - Professor - <a href = ""mailto: soegaard@di.ku.dk"">soegaard@di.ku.dk</a></ul>
                <ul>Hollenstein, Nora - Assistant Professor - <a href = ""mailto: nora.hollenstein@hum.ku.dk"">nora.hollenstein@hum.ku.dk</a></ul>
              </div>
              ","0","html-button-response","0","4299","0.0-0.0","Win32","1280","720","","","","","","","","","","","","","","","",""
"","","","browser-check","1","7293","0.0-1.0","Win32","1280","720","1280","720","true","firefox","107.0.0","false","Windows 10","true","60.67","true","true","","","","",""
"3241","
<p class=""webgaze-experiment-compact"" id=""paragraph"">Şarap tadımı, şarabın duyumsal olarak incelenmesi ve değerlendirilmesidir. Şarap tadım pratiği şarap üretimi kadar antikken, daha biçimsel bir metodoloji orta çağların sonlarından günümüze yavaşça oluşmaktadır. Modern, profesyonel şarap tadımcıları şarabın algılanan lezzet çeşitlerini, aromasını ve genel karakteristiğini tarif etmek <span id=""meco_para_7_qa_1"">için kullanılan sürekli olarak gelişen özelleşmiş terminolojiyi kullanırlar.</span> Son yıllarda hem <span id=""meco_para_7_qa_0"">uzmanlarda hem de tüketicilerde şarap tadımı güvenilirliğini zorlayan</span> sonuçlar ortaya çıktı. Örneğin, araştırmalar insanların daha pahalı şarabın daha ucuz şaraba göre daha fazla arzulanan karakteristiğe sahip olmasını beklediklerini göstermiştir: Tadımcılar verilen şarabın gerçek olmayan bir şekilde pahalı olduğu söylendiğinde, neredeyse her zaman aynı şarap onlara ucuz olduğu söylendiğinden daha lezzetli olduğunu belirttiler. Başka çalışmalar gösteriyor ki tadımcıların kararları coğrafi köken, itibar veya diğer etkenlerin bilinmesiyle etki altında kalabiliyor. <span id=""meco_para_7_qa_2"">Objektif şarap tadımı bu yüzen şarabın kör tadımını gerektirir</span>- bu tadımcının şarabın etiketini veya şişenin şeklini görmemesidir. Kör tadım ayrıca şarabın <span id=""meco_para_7_qa_3"">siyah şarap bardağında şarabın rengini maskeleyecek şekilde servis edilmesini de içerir</span>.</p>"," ","html-keyboard-response","2","10535","0.0-2.0","Win32","1280","720","","","","","","","","","","","","meco_para_7","[]","{""#paragraph"":{""x"":50,""y"":38,""width"":1180,""height"":667,""top"":38,""right"":1230,""bottom"":705,""left"":50},""#meco_para_7_qa_0"":{""x"":70,""y"":272.8999938964844,""width"":882.5999755859375,""height"":30,""top"":272.8999938964844,""right"":952.5999755859375,""bottom"":302.8999938964844,""left"":70},""#meco_para_7_qa_1"":{""x"":70,""y"":189.3000030517578,""width"":1114.300048828125,""height"":71.80000305175781,""top"":189.3000030517578,""right"":1184.300048828125,""bottom"":261.1000061035156,""left"":70},""#meco_para_7_qa_2"":{""x"":70,""y"":523.7000122070312,""width"":1118.6666259765625,""height"":71.80000305175781,""top"":523.7000122070312,""right"":1188.6666259765625,""bottom"":595.5000152587891,""left"":70},""#meco_para_7_qa_3"":{""x"":70,""y"":607.2999877929688,""width"":1034.7333984375,""height"":71.80000305175781,""top"":607.2999877929688,""right"":1104.7333984375,""bottom"":679.0999908447266,""left"":70}}","",""
"2088","<p class=""webgaze-experiment"" id=""question"">Şarap tadımcıları, şarap kalitesi kararlarında güvenilir midir? ","1","html-button-response","3","12624","0.0-3.0","Win32","1280","720","","","","","","","","","","","","meco_para_7_qa_0","[]","{""#question"":{""x"":211.01666259765625,""y"":285.29998779296875,""width"":857.9666748046875,""height"":112,""top"":285.29998779296875,""right"":1068.9833374023438,""bottom"":397.29998779296875,""left"":211.01666259765625}}","False",""
"576","
<p class=""webgaze-experiment"" id=""paragraph"">Harvard Business School ve Harvard Stadyumu da dahil olmak üzere üniversitenin atletizm tesislerinin çoğu, <span id=""a_HarvardUniversity_1_qa_0"">Allston'daki</span> Cambridge kampüsünün karşısındaki 358 dönümlük (145 hektar) kampüste yer almaktadır. <span id=""a_HarvardUniversity_1_qa_1"">John W. Weeks Köprüsü</span>, her iki kampüsü birbirine bağlayan Charles Nehri üzerindeki yaya köprüsüdür. Harvard Tıp Okulu, Harvard Diş Hekimliği Okulu ve Harvard Halk Sağlığı Okulu, Boston şehir merkezinin yaklaşık 3,3 mil (5.3 km) güneybatısında ve Cambridge kampüsünün 3,3 mil (5,3 km) güneyinde, <span id=""a_HarvardUniversity_1_qa_2"">Longwood Tıp ve Akademik Alanında</span> 21 dönümlük (8,5 hektarlık) bir kampüste konumlanmaktadır.</p>"," ","html-keyboard-response","4","13201","0.0-4.0","Win32","1280","720","","","","","","","","","","","","a_HarvardUniversity_1","[]","{""#paragraph"":{""x"":50,""y"":28.5,""width"":1180,""height"":688,""top"":28.5,""right"":1230,""bottom"":716.5,""left"":50},""#a_HarvardUniversity_1_qa_0"":{""x"":612.066650390625,""y"":140,""width"":128.4166717529297,""height"":33,""top"":140,""right"":740.4833221435547,""bottom"":173,""left"":612.066650390625},""#a_HarvardUniversity_1_qa_1"":{""x"":70,""y"":212,""width"":1047.88330078125,""height"":105,""top"":212,""right"":1117.88330078125,""bottom"":317,""left"":70},""#a_HarvardUniversity_1_qa_2"":{""x"":70,""y"":500,""width"":1138.3499755859375,""height"":105,""top"":500,""right"":1208.3499755859375,""bottom"":605,""left"":70}}","",""
"1237","","{""Q0"":""1""}","survey-text","5","14442","0.0-5.0","Win32","1280","720","","","","","","","","","","","","a_HarvardUniversity_1_qa_0","[]","{""#question"":{""x"":208.8000030517578,""y"":287.70001220703125,""width"":862.4000244140625,""height"":112,""top"":287.70001220703125,""right"":1071.2000274658203,""bottom"":399.70001220703125,""left"":208.8000030517578}}","Allston'daki","Harvard Stadyumu nerededir?"
"931","
<p class=""webgaze-experiment"" id=""paragraph"">Kuzeybatı Avrupa <span id=""a_Rhine_3_qa_0"">22.000 yıl önce</span> yavaşça ısınmaya başladı, donmuş alt topraklar ve genleşen alpin buzulları <span id=""a_Rhine_3_qa_1"">erimeye</span> başladı ve sonbahar-kış kar örtüleri baharda erimeye başladı. Ortaya çıkan suyun çoğu <span id=""a_Rhine_3_qa_2"">Ren</span> Nehri ve aşağı akım uzantısına yöneldi. Hızlı ısınma ve bitki örtüsü değişiklikleri ve ormanlar <span id=""a_Rhine_3_qa_3"">13.000 yıl</span> önce oluşmaya başladı. <span id=""a_Rhine_3_qa_4"">9000 yıl</span> öncesi itibarıyla Avrupa tamamen ağaçlandırılmış haldeydi. Küresel olarak çekilen buz örtüsüyle birlikte, okyanus su seviyeleri yükseldi, Manş Denizi ve Kuzey Denizi tekrar su ile kaplandı. Erime suyu, okyanusa ve toprak çökmesine katkıda bulunarak, Avrupa’nın önceki sahillerini sular altında bıraktı. </p>"," ","html-keyboard-response","6","15375","0.0-6.0","Win32","1280","720","","","","","","","","","","","","a_Rhine_3","[]","{""#paragraph"":{""x"":50,""y"":28.5,""width"":1180,""height"":688,""top"":28.5,""right"":1230,""bottom"":716.5,""left"":50},""#a_Rhine_3_qa_0"":{""x"":320.98333740234375,""y"":68,""width"":215.63333129882812,""height"":33,""top"":68,""right"":536.6166687011719,""bottom"":101,""left"":320.98333740234375},""#a_Rhine_3_qa_1"":{""x"":606.2833251953125,""y"":140,""width"":90.56666564941406,""height"":33,""top"":140,""right"":696.8499908447266,""bottom"":173,""left"":606.2833251953125},""#a_Rhine_3_qa_2"":{""x"":928.4166870117188,""y"":212,""width"":43.01666259765625,""height"":33,""top"":212,""right"":971.433349609375,""bottom"":245,""left"":928.4166870117188},""#a_Rhine_3_qa_3"":{""x"":70,""y"":356,""width"":130.26666259765625,""height"":33,""top"":356,""right"":200.26666259765625,""bottom"":389,""left"":70},""#a_Rhine_3_qa_4"":{""x"":572.7833251953125,""y"":356,""width"":110.25,""height"":33,""top"":356,""right"":683.0333251953125,""bottom"":389,""left"":572.7833251953125}}","",""
"1911","","{""Q0"":""1""}","survey-text","7","17288","0.0-7.0","Win32","1280","720","","","","","","","","","","","","a_Rhine_3_qa_0","[]","{""#question"":{""x"":131.93333435058594,""y"":287.70001220703125,""width"":1016.13330078125,""height"":112,""top"":287.70001220703125,""right"":1148.066635131836,""bottom"":399.70001220703125,""left"":131.93333435058594}}","22.000 yıl önce","Son Buzul Çağı’nda Avrupa ne zaman yavaş yavaş ısınmaya başladı?"
"1073","
<p class=""webgaze-experiment"" id=""paragraph"">Bilinen birçok karmaşıklık sınıfının <span id=""a_Computationalcomplexitytheory_4_qa_0"">eşit olmadığından şüphelenilmektedir</span>, ancak bu kanıtlanmamıştır. Örneğin <span id=""a_Computationalcomplexitytheory_4_qa_1"">P ⊆ NP ⊆ PP ⊆ PSPACE</span>, ancak P = PSPACE olabilir. P, NP'ye eşit değilse, P de PSPACE'e eşit değildir. <span id=""a_Computationalcomplexitytheory_4_qa_2"">P ve PSPACE arasında</span> RP, BPP, PP, BQP, MA, PH, vb. gibi bilinen birçok karmaşıklık sınıfı olduğundan, tüm bu karmaşıklık sınıflarını bir sınıfa daraltması mümkündür. <span id=""a_Computationalcomplexitytheory_4_qa_3"">Bu sınıfların herhangi birinin eşit olmadığını kanıtlamak</span>, karmaşıklık teorisinde önemli bir atılım olacaktır.</p>"," ","html-keyboard-response","8","18362","0.0-8.0","Win32","1280","720","","","","","","","","","","","","a_Computationalcomplexitytheory_4","[]","{""#paragraph"":{""x"":50,""y"":100.5,""width"":1180,""height"":544,""top"":100.5,""right"":1230,""bottom"":644.5,""left"":50},""#a_Computationalcomplexitytheory_4_qa_0"":{""x"":554.7666625976562,""y"":140,""width"":471.70001220703125,""height"":33,""top"":140,""right"":1026.4666748046875,""bottom"":173,""left"":554.7666625976562},""#a_Computationalcomplexitytheory_4_qa_1"":{""x"":418.3666687011719,""y"":212,""width"":400.41668701171875,""height"":33,""top"":212,""right"":818.7833557128906,""bottom"":245,""left"":418.3666687011719},""#a_Computationalcomplexitytheory_4_qa_2"":{""x"":70,""y"":284,""width"":1067.86669921875,""height"":105,""top"":284,""right"":1137.86669921875,""bottom"":389,""left"":70},""#a_Computationalcomplexitytheory_4_qa_3"":{""x"":70,""y"":428,""width"":1111.9166259765625,""height"":105,""top"":428,""right"":1181.9166259765625,""bottom"":533,""left"":70}}","",""
"2912","","{""Q0"":""1""}","survey-text","9","21277","0.0-9.0","Win32","1280","720","","","","","","","","","","","","a_Computationalcomplexitytheory_4_qa_3","[]","{""#question"":{""x"":50,""y"":251.6999969482422,""width"":1180,""height"":184,""top"":251.6999969482422,""right"":1230,""bottom"":435.6999969482422,""left"":50}}","Bu sınıfların herhangi birinin eşit olmadığını kanıtlamak","Karmaşıklık sınıfları arasındaki ve içindeki hangi kanıtlar, karmaşıklık teorisi için teorik bir havzayı işaret edecektir?"
