"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_os","subject_screen_width","subject_screen_height","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_name","webgazer_data","webgazer_targets","correct_answer","question_text"
"1259","
                  <div class=""left-align"">
                    <img src=""https://designguide.ku.dk/download/co-branding/ku_logo_uk_v.png"" alt=""KU Logo"" class=""ku-logo"">
                    <h1>Welcome <b>EN</b> Dev!</h1>
                    <p>This mode is designed for the development of the experiment.</p>
                    <p>When each experiment loads, an image is saved.</p>
                    <p>The idea is then to save these images for the oficial experiment. At the final screen a file can be downloaded with the target locations.</p>
                    <ul>Ribeiro, Tiago - Research Assistant - <a href = ""mailto: tiri@di.ku.dk"">tiri@di.ku.dk</a></ul>
                    <p>Project Leaders:</p>
                    <ul>Søgaard, Anders - Professor - <a href = ""mailto: soegaard@di.ku.dk"">soegaard@di.ku.dk</a></ul>
                    <ul>Hollenstein, Nora - Assistant Professor - <a href = ""mailto: nora.hollenstein@hum.ku.dk"">nora.hollenstein@hum.ku.dk</a></ul>
                  </div>
                  ","0","html-button-response","0","1262","0.0-0.0","Win32","1280","720","","","","","","","","","","","","","","","",""
"","","","browser-check","1","3685","0.0-1.0","Win32","1280","720","1280","720","true","firefox","105.0.0","false","Windows 10","true","144.23","true","true","","","","",""
"902","
    <p class=""webgaze-experiment-compact"" id=""paragraph"">The International Union for Conservation of Nature is <span id=""meco_para_11_qa_0"">an international organization</span> working in the field of nature conservation and the sustainable use of natural resources. It is involved in data gathering and analysis, research, field projects, advocacy, and education. Its mission is to 'influence, encourage and assist societies throughout the <span id=""meco_para_11_qa_2"">world to conserve nature and to ensure that any use of natural resources is equitable and ecologically sustainable'</span>. Over the past decades, the organization has widened its focus beyond conservation ecology and now incorporates issues related to sustainable development in its projects. Unlike many other international environmental organizations, it does not aim to mobilize the public in support of nature conservation. Instead, the organization tries to influence the actions of governments, business and other stakeholders by providing information and advice, and through building partnerships. The organization is best known to the wider public for <span id=""meco_para_11_qa_3"">compiling and publishing the Red List of Threatened Species</span>, which assesses the conservation status of species worldwide. Today, <span id=""meco_para_11_qa_1"">the organization employs approximately one thousand full-time staff</span> in more than fifty countries.</p>"," ","html-keyboard-response","2","4587","0.0-2.0","Win32","1280","720","","","","","","","","","","","","meco_para_11","[]","{""#paragraph"":{""x"":50,""y"":38,""width"":1180,""height"":667,""top"":38,""right"":1230,""bottom"":705,""left"":50},""#meco_para_11_qa_0"":{""x"":821.4500122070312,""y"":63.899993896484375,""width"":347.1000061035156,""height"":30,""top"":63.899993896484375,""right"":1168.5500183105469,""bottom"":93.89999389648438,""left"":821.4500122070312},""#meco_para_11_qa_1"":{""x"":70,""y"":607.2999877929688,""width"":1123.0166015625,""height"":71.80000305175781,""top"":607.2999877929688,""right"":1193.0166015625,""bottom"":679.0999908447266,""left"":70},""#meco_para_11_qa_2"":{""x"":70,""y"":231.10000610351562,""width"":1130.6666259765625,""height"":71.79998779296875,""top"":231.10000610351562,""right"":1200.6666259765625,""bottom"":302.8999938964844,""left"":70},""#meco_para_11_qa_3"":{""x"":375.6499938964844,""y"":565.5,""width"":815.7166748046875,""height"":30,""top"":565.5,""right"":1191.3666687011719,""bottom"":595.5,""left"":375.6499938964844}}","",""
"854","<p class=""webgaze-experiment"" id=""question"">The International Union for Conservation of Nature is different from Green Peace. ","0","html-button-response","3","5442","0.0-3.0","Win32","1280","720","","","","","","","","","","","","meco_para_11_qa_0","[]","{""#question"":{""x"":50,""y"":249.3000030517578,""width"":1180,""height"":184,""top"":249.3000030517578,""right"":1230,""bottom"":433.3000030517578,""left"":50}}","True",""
"734","
<p class=""webgaze-experiment"" id=""paragraph""><span id=""a_1973oilcrisis_1_qa_0"">The embargo</span> had a negative influence on the US economy by causing immediate demands to address the threats to U.S. energy security. On an international level, the price increases changed competitive positions in many industries, such as <span id=""a_1973oilcrisis_1_qa_1"">automobiles</span>. <span id=""a_1973oilcrisis_1_qa_2"">Macroeconomic</span> problems consisted of both inflationary and deflationary impacts. The embargo left oil companies searching for new ways to increase oil supplies, even in rugged terrain such as the <span id=""a_1973oilcrisis_1_qa_3"">Arctic</span>. Finding oil and developing new fields usually required <span id=""a_1973oilcrisis_1_qa_4"">five to ten years</span> before significant production.</p>"," ","html-keyboard-response","4","6177","0.0-4.0","Win32","1280","720","","","","","","","","","","","","a_1973oilcrisis_1","[]","{""#paragraph"":{""x"":50,""y"":64.5,""width"":1180,""height"":616,""top"":64.5,""right"":1230,""bottom"":680.5,""left"":50},""#a_1973oilcrisis_1_qa_0"":{""x"":70,""y"":104,""width"":173.64999389648438,""height"":33,""top"":104,""right"":243.64999389648438,""bottom"":137,""left"":70},""#a_1973oilcrisis_1_qa_1"":{""x"":358.01666259765625,""y"":320,""width"":139.4166717529297,""height"":33,""top"":320,""right"":497.43333435058594,""bottom"":353,""left"":358.01666259765625},""#a_1973oilcrisis_1_qa_2"":{""x"":534.9666748046875,""y"":320,""width"":179.0166778564453,""height"":33,""top"":320,""right"":713.9833526611328,""bottom"":353,""left"":534.9666748046875},""#a_1973oilcrisis_1_qa_3"":{""x"":70,""y"":536,""width"":62.616668701171875,""height"":33,""top"":536,""right"":132.61666870117188,""bottom"":569,""left"":70},""#a_1973oilcrisis_1_qa_4"":{""x"":70,""y"":536,""width"":1067.11669921875,""height"":105,""top"":536,""right"":1137.11669921875,""bottom"":641,""left"":70}}","",""
"811","","{""Q0"":""1""}","survey-text","5","6990","0.0-5.0","Win32","1280","720","","","","","","","","","","","","a_1973oilcrisis_1_qa_4","[]","{""#question"":{""x"":79.23333740234375,""y"":287.70001220703125,""width"":1121.5166015625,""height"":112,""top"":287.70001220703125,""right"":1200.7499389648438,""bottom"":399.70001220703125,""left"":79.23333740234375}}","five to ten years","How long does it take for new areas to have significant oil production?"
"695","
<p class=""webgaze-experiment"" id=""paragraph"">On <span id=""a_Kenya_1_qa_0"">28 February 2008</span>, Kibaki and Odinga signed an agreement on the formation of a coalition government in which Odinga would become Kenya's second <span id=""a_Kenya_1_qa_1"">Prime Minister</span>. Under the deal, the president would appoint cabinet ministers from both <span id=""a_Kenya_1_qa_2"">PNU and ODM camps</span> depending on <span id=""a_Kenya_1_qa_3"">each party's strength in Parliament</span>. The agreement stipulated that the cabinet would include a vice-president and two deputy Prime Ministers. After debates, it was passed by Parliament, the coalition would hold <span id=""a_Kenya_1_qa_4"">until the end of the current Parliament or if either of the parties withdraws from the deal before then</span>.</p>"," ","html-keyboard-response","6","7684","0.0-6.0","Win32","1280","720","","","","","","","","","","","","a_Kenya_1","[]","{""#paragraph"":{""x"":50,""y"":28.5,""width"":1180,""height"":688,""top"":28.5,""right"":1230,""bottom"":716.5,""left"":50},""#a_Kenya_1_qa_0"":{""x"":134.61666870117188,""y"":68,""width"":245.01666259765625,""height"":33,""top"":68,""right"":379.6333312988281,""bottom"":101,""left"":134.61666870117188},""#a_Kenya_1_qa_1"":{""x"":181.48333740234375,""y"":212,""width"":188.96665954589844,""height"":33,""top"":212,""right"":370.4499969482422,""bottom"":245,""left"":181.48333740234375},""#a_Kenya_1_qa_2"":{""x"":374.3999938964844,""y"":284,""width"":317.26666259765625,""height"":33,""top"":284,""right"":691.6666564941406,""bottom"":317,""left"":374.3999938964844},""#a_Kenya_1_qa_3"":{""x"":70,""y"":284,""width"":1023.433349609375,""height"":105,""top"":284,""right"":1093.433349609375,""bottom"":389,""left"":70},""#a_Kenya_1_qa_4"":{""x"":70,""y"":500,""width"":1091.4666748046875,""height"":177,""top"":500,""right"":1161.4666748046875,""bottom"":677,""left"":70}}","",""
"573","","{""Q0"":""1""}","survey-text","7","8260","0.0-7.0","Win32","1280","720","","","","","","","","","","","","a_Kenya_1_qa_2","[]","{""#question"":{""x"":208.8000030517578,""y"":287.70001220703125,""width"":862.4000244140625,""height"":112,""top"":287.70001220703125,""right"":1071.2000274658203,""bottom"":399.70001220703125,""left"":208.8000030517578}}","PNU and ODM camps","Where did the president appoint cabinet members from?"
"380","
<p class=""webgaze-experiment"" id=""paragraph"">Victoria has a written constitution enacted in <span id=""a_VictoriaAustralia_1_qa_0"">1975</span>, but based on the <span id=""a_VictoriaAustralia_1_qa_1"">1855 colonial constitution</span>, passed by the United Kingdom Parliament as the <span id=""a_VictoriaAustralia_1_qa_4"">Victoria Constitution Act 1855</span>, which establishes the Parliament as the state's law-making body for matters coming under state responsibility. The Victorian Constitution can be amended by the <span id=""a_VictoriaAustralia_1_qa_2"">Parliament of Victoria</span>, except for certain <span id=""a_VictoriaAustralia_1_qa_3"">""entrenched"" provisions</span> that require either an absolute majority in both houses, a three-fifths majority in both houses, or the approval of the Victorian people in a referendum, depending on the provision.</p>"," ","html-keyboard-response","8","8641","0.0-8.0","Win32","1280","720","","","","","","","","","","","","a_VictoriaAustralia_1","[]","{""#paragraph"":{""x"":50,""y"":64.5,""width"":1180,""height"":616,""top"":64.5,""right"":1230,""bottom"":680.5,""left"":50},""#a_VictoriaAustralia_1_qa_0"":{""x"":749.5833129882812,""y"":104,""width"":54.866668701171875,""height"":33,""top"":104,""right"":804.4499816894531,""bottom"":137,""left"":749.5833129882812},""#a_VictoriaAustralia_1_qa_1"":{""x"":70,""y"":104,""width"":1123.1666259765625,""height"":105,""top"":104,""right"":1193.1666259765625,""bottom"":209,""left"":70},""#a_VictoriaAustralia_1_qa_2"":{""x"":632.5166625976562,""y"":392,""width"":291.066650390625,""height"":33,""top"":392,""right"":923.5833129882812,""bottom"":425,""left"":632.5166625976562},""#a_VictoriaAustralia_1_qa_3"":{""x"":70,""y"":464,""width"":294.58331298828125,""height"":33,""top"":464,""right"":364.58331298828125,""bottom"":497,""left"":70},""#a_VictoriaAustralia_1_qa_4"":{""x"":70,""y"":176,""width"":1123.86669921875,""height"":105,""top"":176,""right"":1193.86669921875,""bottom"":281,""left"":70}}","",""
"593","","{""Q0"":""1""}","survey-text","9","9238","0.0-9.0","Win32","1280","720","","","","","","","","","","","","a_VictoriaAustralia_1_qa_1","[]","{""#question"":{""x"":208.8000030517578,""y"":287.70001220703125,""width"":862.4000244140625,""height"":112,""top"":287.70001220703125,""right"":1071.2000274658203,""bottom"":399.70001220703125,""left"":208.8000030517578}}","1855 colonial constitution","On what is Victoria's constitution based ?"
