,word_id_orig,TRT,FixCount,scanPath,Span_word_is_in,text_id,countFix,word_id,sentence_id,word_length,correct_answer,target_to_fixation_ratio,task_type,relFix
0,Sarap_0,279.0,3,"[256, 298, 818]",,meco_para_7,3,Sarap,1,5,True,0.049738219895287955,NR,0.016148636916131272
1,"tadimi,_0",376.0,5,"[528, 552, 1090, 1092, 1115]",,meco_para_7,5,"tadimi,",1,7,True,0.049738219895287955,NR,0.021763037564391966
2,sarabin_0,527.0,7,"[212, 343, 1012, 1039, 1040, 1053, 1091]",,meco_para_7,7,sarabin,1,7,True,0.049738219895287955,NR,0.030502980841581293
3, duyumsal_0,1264.0,12,"[114, 117, 238, 640, 659, 697, 745, 913, 990, 1014, 1015, 1065]",,meco_para_7,12, duyumsal,1,9,True,0.049738219895287955,NR,0.07316084968455172
4,olarak_0,2257.0,22,"[26, 161, 361, 405, 413, 493, 592, 609, 629, 651, 662, 744, 763, 764, 912, 930, 934, 972, 1019, 1042, 1043, 1064]",,meco_para_7,22,olarak,1,6,True,0.049738219895287955,NR,0.13063610580540602
5,incelenmesi_0,4132.0,40,"[29, 30, 36, 55, 74, 122, 123, 132, 136, 138, 140, 157, 188, 201, 203, 306, 363, 366, 367, 494, 591, 595, 663, 664, 682, 699, 721, 728, 729, 737, 761, 767, 815, 908, 915, 917, 936, 945, 984, 1045]",,meco_para_7,40,incelenmesi,1,11,True,0.049738219895287955,NR,0.2391618915320947
6,ve_0,2152.0,14,"[167, 169, 187, 205, 412, 480, 481, 602, 630, 736, 748, 754, 770, 959]",,meco_para_7,14,ve,1,2,True,0.049738219895287955,NR,0.12455866180471147
7,degerlendirilmesidir._0,6290.0,54,"[14, 39, 40, 65, 71, 76, 82, 89, 125, 146, 148, 149, 170, 174, 175, 185, 192, 210, 211, 313, 316, 317, 318, 319, 355, 368, 369, 371, 377, 381, 382, 429, 430, 431, 432, 470, 482, 483, 485, 507, 510, 599, 631, 632, 668, 738, 755, 889, 900, 901, 938, 944, 1005, 1088]",,meco_para_7,54,degerlendirilmesidir.,1,21,True,0.049738219895287955,NR,0.36406783585113156
8,Sarap_1,782.0,6,"[68, 86, 90, 321, 322, 670]",,meco_para_7,6,Sarap,2,5,True,0.049738219895287955,NR,0.032510185416147
9,tadim_0,91.0,1,[72],,meco_para_7,1,tadim,2,5,True,0.049738219895287955,NR,0.0037831545688866717
10,pratigi_0,62.0,1,[817],,meco_para_7,1,pratigi,2,7,True,0.049738219895287955,NR,0.0025775338820986115
11,sarap_2,104.0,1,[869],,meco_para_7,1,sarap,2,5,True,0.049738219895287955,NR,0.004323605221584767
12,Uretimi_0,389.0,5,"[832, 833, 834, 1037, 1116]",,meco_para_7,5,Uretimi,2,7,True,0.049738219895287955,NR,0.016171946453812255
13,kadar_0,685.0,8,"[113, 116, 214, 607, 758, 988, 1011, 1054]",,meco_para_7,8,kadar,2,5,True,0.049738219895287955,NR,0.028477592084476595
14,"antikken,_0",2891.0,27,"[51, 118, 119, 131, 197, 198, 327, 345, 434, 456, 489, 492, 617, 628, 646, 648, 661, 696, 759, 905, 914, 928, 929, 951, 1016, 1077, 1096]",,meco_para_7,27,"antikken,",2,9,True,0.049738219895287955,NR,0.12018791053463042
15,daha_0,3057.0,23,"[56, 120, 137, 156, 158, 159, 328, 346, 348, 362, 364, 417, 615, 636, 637, 649, 650, 720, 765, 911, 946, 1067, 1075]",,meco_para_7,23,daha,2,4,True,0.049738219895287955,NR,0.1270890496383138
16,bicimsel_0,5651.0,45,"[75, 95, 121, 124, 139, 183, 202, 206, 222, 227, 329, 330, 349, 350, 351, 354, 357, 422, 437, 465, 477, 596, 604, 605, 635, 665, 700, 705, 706, 711, 722, 730, 734, 766, 814, 816, 916, 947, 948, 957, 958, 960, 961, 996, 1079]",,meco_para_7,45,bicimsel,2,8,True,0.049738219895287955,NR,0.23492974141514925
17,bir_0,2418.0,22,"[17, 33, 37, 61, 142, 168, 190, 230, 352, 398, 411, 484, 594, 603, 666, 735, 749, 751, 801, 892, 937, 941]",,meco_para_7,22,bir,2,3,True,0.049738219895287955,NR,0.10052382140184585
18,metodoloji_0,2351.0,26,"[62, 63, 126, 191, 209, 235, 338, 353, 378, 428, 467, 506, 508, 633, 776, 777, 779, 830, 890, 891, 899, 920, 922, 923, 1004, 1007]",,meco_para_7,26,metodoloji,2,10,True,0.049738219895287955,NR,0.09773842188409412
19,orta_0,650.0,6,"[83, 88, 147, 902, 903, 1006]",,meco_para_7,6,orta,2,4,True,0.049738219895287955,NR,0.027022532634904797
20, caglarin_0,390.0,3,"[41, 91, 807]",,meco_para_7,3, caglarin,2,9,True,0.049738219895287955,NR,0.01621351958094288
21,sonlarindan_0,97.0,1,[453],,meco_para_7,1,sonlarindan,2,11,True,0.049738219895287955,NR,0.004032593331670408
22, glnUmUuze_0,377.0,5,"[454, 553, 568, 569, 870]",,meco_para_7,5, glnUmUuze,2,10,True,0.049738219895287955,NR,0.01567306892824478
23,yavasca__0,1338.0,13,"[23, 111, 129, 194, 215, 449, 529, 606, 810, 820, 835, 1041, 1055]",,meco_para_7,13,yavasca,2,7,True,0.049738219895287955,NR,0.05562484410077326
24,olusmaktadir._0,2721.0,30,"[45, 46, 47, 199, 216, 219, 239, 242, 347, 416, 435, 457, 463, 490, 613, 638, 639, 647, 695, 813, 894, 907, 952, 954, 973, 991, 1068, 1095, 1120, 1121]",,meco_para_7,30,olusmaktadir.,2,13,True,0.049738219895287955,NR,0.11312047892242455
25,"Modern,_0",3734.0,35,"[16, 57, 59, 93, 189, 220, 224, 225, 226, 365, 392, 418, 421, 424, 438, 495, 560, 593, 624, 712, 713, 719, 733, 855, 918, 919, 935, 956, 974, 992, 995, 1030, 1044, 1074, 1078]",,meco_para_7,35,"Modern,",3,7,True,0.049738219895287955,NR,0.10474934777120094
26,profesyonel_0,7026.0,51,"[35, 96, 97, 105, 141, 208, 228, 233, 331, 332, 356, 379, 380, 399, 402, 403, 409, 410, 425, 426, 427, 448, 466, 478, 486, 496, 503, 505, 519, 634, 684, 707, 714, 723, 731, 750, 921, 924, 925, 942, 943, 962, 963, 966, 982, 994, 997, 1031, 1047, 1080, 1083]",,meco_para_7,51,profesyonel,3,11,True,0.049738219895287955,NR,0.19709933514741773
27,sarap_3,1049.0,9,"[79, 103, 104, 236, 385, 471, 526, 775, 778]",,meco_para_7,9,sarap,3,5,True,0.049738219895287955,NR,0.029427441299408084
28,—_0,708.0,7,"[236, 339, 372, 471, 526, 710, 778]",,meco_para_7,7,—,3,1,True,0.049738219895287955,NR,0.01986141891323253
29,tadimcilari_0,1419.0,10,"[21, 22, 42, 43, 339, 372, 433, 710, 806, 884]",,meco_para_7,10,tadimcilari,3,11,True,0.049738219895287955,NR,0.039806996381182146
30,sarabin_1,,0,[],meco_para_7_qa_1 ,meco_para_7,0,sarabin,3,7,True,0.049738219895287955,NR,
31,algilanan_0,,0,[],meco_para_7_qa_1 ,meco_para_7,0,algilanan,3,9,True,0.049738219895287955,NR,
32,lezzet_0,268.0,3,"[257, 570, 692]",meco_para_7_qa_1 ,meco_para_7,3,lezzet,3,6,True,0.049738219895287955,NR,0.007518164221393104
33," cesitlerini,_0",1292.0,14,"[112, 130, 218, 240, 530, 618, 693, 694, 811, 821, 906, 986, 1076, 1099]",meco_para_7_qa_1 ,meco_para_7,14," cesitlerini,",3,13,True,0.049738219895287955,NR,0.03624428423149213
34,aromasini_0,1892.0,15,"[15, 173, 221, 243, 374, 436, 704, 784, 788, 808, 809, 812, 822, 837, 955]",meco_para_7_qa_1 ,meco_para_7,15,aromasini,3,9,True,0.049738219895287955,NR,0.05307599517490953
35,ve_1,1083.0,12,"[98, 439, 498, 558, 559, 703, 787, 823, 838, 975, 1009, 1021]",meco_para_7_qa_1 ,meco_para_7,12,ve,3,2,True,0.049738219895287955,NR,0.030381238252868405
36, genel__0,2038.0,22,"[34, 58, 94, 207, 229, 395, 397, 420, 499, 516, 718, 772, 789, 803, 824, 852, 854, 863, 964, 993, 1023, 1024]",meco_para_7_qa_1 ,meco_para_7,22, genel,3,6,True,0.049738219895287955,NR,0.05717171150447443
37,karakteristigini_0,4453.0,42,"[77, 110, 333, 335, 337, 358, 384, 386, 401, 408, 441, 468, 472, 474, 500, 504, 517, 518, 520, 525, 708, 709, 717, 774, 800, 802, 804, 839, 965, 967, 981, 983, 998, 1002, 1032, 1046, 1048, 1081, 1082, 1084, 1085, 1086]",meco_para_7_qa_1 ,meco_para_7,42,karakteristigini,3,16,True,0.049738219895287955,NR,0.12491934805172945
38,tarif_0,682.0,4,"[102, 447, 527, 1052]",meco_para_7_qa_1 ,meco_para_7,4,tarif,3,5,True,0.049738219895287955,NR,0.01913204477235111
39,etmek_0,380.0,4,"[389, 390, 868, 885]",meco_para_7_qa_1 ,meco_para_7,4,etmek,3,5,True,0.049738219895287955,NR,0.010660083597497686
40,icin_0,108.0,1,[829],meco_para_7_qa_1 ,meco_para_7,1,icin,3,4,True,0.049738219895287955,NR,0.003029707969815132
41,kullanilan_0,125.0,2,"[280, 1136]",meco_para_7_qa_1 ,meco_para_7,2,kullanilan,3,10,True,0.049738219895287955,NR,0.0035066064465452914
42,stirekli_0,70.0,1,[281],meco_para_7_qa_1 ,meco_para_7,1,stirekli,3,8,True,0.049738219895287955,NR,0.001963699610065363
43,olarak_1,239.0,3,"[258, 299, 588]",meco_para_7_qa_1 ,meco_para_7,3,olarak,3,6,True,0.049738219895287955,NR,0.006704631525794597
44,gelisen_0,938.0,7,"[217, 261, 554, 849, 850, 985, 1093]",meco_para_7_qa_1 ,meco_para_7,7,gelisen,3,7,True,0.049738219895287955,NR,0.026313574774875868
45,6zellesmis_—_0,1330.0,12,"[48, 241, 262, 291, 373, 462, 491, 533, 786, 836, 851, 1097]",meco_para_7_qa_1 ,meco_para_7,12,6zellesmis,3,10,True,0.049738219895287955,NR,0.0373102925912419
46,terminolojiyi_0,3205.0,30,"[99, 223, 244, 376, 393, 394, 396, 406, 423, 440, 551, 557, 561, 701, 732, 785, 790, 853, 864, 878, 897, 898, 976, 978, 979, 999, 1022, 1025, 1071, 1105]",meco_para_7_qa_1 ,meco_para_7,30,terminolojiyi,3,13,True,0.049738219895287955,NR,0.08990938928942127
47,kullanirlar._0,3608.0,26,"[232, 334, 336, 359, 383, 400, 469, 501, 502, 537, 715, 716, 773, 795, 796, 799, 840, 856, 857, 879, 880, 968, 980, 1001, 1008, 1049]",meco_para_7_qa_1 ,meco_para_7,26,kullanirlar.,3,12,True,0.049738219895287955,NR,0.10121468847308329
48,Son_0,529.0,7,"[101, 387, 473, 797, 969, 1003, 1087]",meco_para_7_qa_1 ,meco_para_7,7,Son,4,3,True,0.049738219895287955,NR,0.06829331267751097
49,yillarda_0,573.0,5,"[388, 844, 867, 883, 1033]",meco_para_7_qa_1 ,meco_para_7,5,yillarda,4,8,True,0.049738219895287955,NR,0.07397366382649109
50,hem_0,128.0,1,[391],meco_para_7_qa_1 ,meco_para_7,1,hem,4,3,True,0.049738219895287955,NR,0.016524657887942162
51,uzmanlarda_0,,0,[],meco_para_7_qa_0 ,meco_para_7,0,uzmanlarda,4,10,True,0.049738219895287955,NR,
52,hem_1,74.0,1,[308],meco_para_7_qa_0 ,meco_para_7,1,hem,4,3,True,0.049738219895287955,NR,0.009553317841466564
53,de__0,859.0,4,"[50, 282, 571, 620]",meco_para_7_qa_0 ,meco_para_7,4,de,4,2,True,0.049738219895287955,NR,0.11089594629486187
54,tiketicilerde_0,344.0,5,"[259, 260, 573, 1094, 1100]",meco_para_7_qa_0 ,meco_para_7,5,tiketicilerde,4,13,True,0.049738219895287955,NR,0.044410018073844565
55,sarap_4,196.0,3,"[292, 461, 1098]",meco_para_7_qa_0 ,meco_para_7,3,sarap,4,5,True,0.049738219895287955,NR,0.025303382390911438
56,tadimi__0,1134.0,12,"[511, 513, 532, 534, 555, 783, 877, 977, 1028, 1056, 1073, 1106]",meco_para_7_qa_0 ,meco_para_7,12,tadimi,4,6,True,0.049738219895287955,NR,0.1463981409759876
57,guvenilirligini_0,1856.0,20,"[294, 375, 407, 515, 536, 562, 584, 702, 791, 794, 825, 858, 1000, 1026, 1027, 1057, 1060, 1061, 1070, 1072]",meco_para_7_qa_0 ,meco_para_7,20,guvenilirligini,4,15,True,0.049738219895287955,NR,0.23960753937516138
58,zorlayan_0,1056.0,11,"[100, 253, 443, 444, 690, 798, 805, 841, 881, 882, 1051]",meco_para_7_qa_0 ,meco_para_7,11,zorlayan,4,8,True,0.049738219895287955,NR,0.13632842757552285
59, sonuclar_0,614.0,4,"[445, 549, 550, 1034]",,meco_para_7,4, sonuclar,4,9,True,0.049738219895287955,NR,0.07926671830622256
60, ortaya_0,383.0,4,"[254, 450, 846, 848]",,meco_para_7,4, ortaya,4,7,True,0.049738219895287955,NR,0.04944487477407694
61,ciktl._0,,0,[],,meco_para_7,0,ciktl.,4,6,True,0.049738219895287955,NR,
62,"Ornegin,_0",,0,[],,meco_para_7,0,"Ornegin,",5,8,True,0.049738219895287955,NR,
63,arastirmalar_0,175.0,2,"[283, 300]",,meco_para_7,2,arastirmalar,5,12,True,0.049738219895287955,NR,0.011237398060746162
64,insanlarin_0,477.0,3,"[263, 266, 531]",,meco_para_7,3,insanlarin,5,10,True,0.049738219895287955,NR,0.030629936428433827
65,daha_1,536.0,6,"[264, 459, 575, 895, 1101, 1104]",,meco_para_7,6,daha,5,4,True,0.049738219895287955,NR,0.03441854491748539
66,pahali_0,1501.0,11,"[2, 458, 512, 514, 535, 556, 683, 896, 1102, 1103, 1123]",,meco_para_7,11,pahali,5,6,True,0.049738219895287955,NR,0.09638476850959996
67,sarabin_2,1097.0,10,"[246, 247, 295, 538, 563, 578, 583, 686, 793, 1058]",,meco_para_7,10,sarabin,5,7,True,0.049738219895287955,NR,0.07044243241507737
68,daha_2,705.0,7,"[109, 251, 541, 581, 842, 859, 861]",,meco_para_7,7,daha,5,4,True,0.049738219895287955,NR,0.04527066075900597
69,ucuz_0,458.0,5,"[521, 547, 860, 865, 1127]",,meco_para_7,5,ucuz,5,4,True,0.049738219895287955,NR,0.029409876067552815
70,saraba__0,382.0,4,"[548, 845, 866, 1035]",,meco_para_7,4,saraba,5,6,True,0.049738219895287955,NR,0.024529634624028768
71,gore_0,100.0,1,[847],,meco_para_7,1,gore,5,4,True,0.049738219895287955,NR,0.006421370320426379
72,daha_3,,0,[],,meco_para_7,0,daha,5,4,True,0.049738219895287955,NR,
73,fazla_0,,0,[],,meco_para_7,0,fazla,5,5,True,0.049738219895287955,NR,
74, arzulanan__0,,0,[],,meco_para_7,0, arzulanan,5,10,True,0.049738219895287955,NR,
75,karakteristige_0,347.0,3,"[301, 303, 572]",,meco_para_7,3,karakteristige,5,14,True,0.049738219895287955,NR,0.022282155011879533
76,sahip_0,931.0,5,"[265, 574, 876, 1119, 1139]",,meco_para_7,5,sahip,5,5,True,0.049738219895287955,NR,0.05978295768316959
77,olmasini_0,1014.0,11,"[1, 3, 4, 5, 290, 577, 1059, 1107, 1118, 1122, 1124]",,meco_para_7,11,olmasini,5,8,True,0.049738219895287955,NR,0.06511269504912348
78,beklediklerini_0,2040.0,16,"[107, 252, 277, 278, 296, 539, 543, 545, 579, 582, 687, 688, 862, 1062, 1063, 1108]",,meco_para_7,16,beklediklerini,5,14,True,0.049738219895287955,NR,0.13099595453669813
79,gostermistir:_0,617.0,7,"[297, 522, 524, 544, 580, 689, 1129]",,meco_para_7,7,gostermistir:,5,13,True,0.049738219895287955,NR,0.03961985487703076
80,|_0,64.0,1,[1036],,meco_para_7,1,|,5,1,True,0.049738219895287955,NR,0.004109677005072882
81,Tadimcilar_0,64.0,1,[1036],,meco_para_7,1,Tadimcilar,5,10,True,0.049738219895287955,NR,0.004109677005072882
82,verilen_0,,0,[],,meco_para_7,0,verilen,5,7,True,0.049738219895287955,NR,
83, sarabin_0,,0,[],,meco_para_7,0, sarabin,5,8,True,0.049738219895287955,NR,
84,gercek_0,,0,[],,meco_para_7,0,gercek,5,6,True,0.049738219895287955,NR,
85,olmayan’_0,462.0,4,"[248, 284, 302, 304]",,meco_para_7,4,olmayan’,5,8,True,0.049738219895287955,NR,0.02966673088036987
86,bir_1,230.0,3,"[267, 285, 875]",,meco_para_7,3,bir,5,3,True,0.049738219895287955,NR,0.014769151736980672
