,word_id_orig,TRT,FixCount,Scan_path,Span_word_is_in,text_id,worker_id,countFix,word_id,sentence_id,word_length,correct_answer,target_to_fixation_ratio,task_type,relFix
0,Sarap_0,70.0,1,[351],,meco_para_7,A22ITCZHSWJJ25,1,Sarap,1,5,True,0.018970189701897018,NR,0.10869565217391304
1,"tadimi,_0",,0,[],,meco_para_7,A22ITCZHSWJJ25,0,"tadimi,",1,7,True,0.018970189701897018,NR,
2,sarabin_0,,0,[],,meco_para_7,A22ITCZHSWJJ25,0,sarabin,1,7,True,0.018970189701897018,NR,
3, duyumsal_0,71.0,1,[5],,meco_para_7,A22ITCZHSWJJ25,1, duyumsal,1,9,True,0.018970189701897018,NR,0.11024844720496894
4,olarak_0,95.0,1,[4],,meco_para_7,A22ITCZHSWJJ25,1,olarak,1,6,True,0.018970189701897018,NR,0.14751552795031056
5,incelenmesi_0,,0,[],,meco_para_7,A22ITCZHSWJJ25,0,incelenmesi,1,11,True,0.018970189701897018,NR,
6,ve_0,199.0,3,"[7, 9, 368]",,meco_para_7,A22ITCZHSWJJ25,3,ve,1,2,True,0.018970189701897018,NR,0.3090062111801242
7,degerlendirilmesidir._0,209.0,3,"[361, 362, 363]",,meco_para_7,A22ITCZHSWJJ25,3,degerlendirilmesidir.,1,21,True,0.018970189701897018,NR,0.3245341614906832
8,Sarap_1,157.0,2,"[52, 54]",,meco_para_7,A22ITCZHSWJJ25,2,Sarap,2,5,True,0.018970189701897018,NR,0.1034937376400791
9,tadim_0,,0,[],,meco_para_7,A22ITCZHSWJJ25,0,tadim,2,5,True,0.018970189701897018,NR,
10,pratigi_0,67.0,1,[155],,meco_para_7,A22ITCZHSWJJ25,1,pratigi,2,7,True,0.018970189701897018,NR,0.044166117336849046
11,sarap_2,,0,[],,meco_para_7,A22ITCZHSWJJ25,0,sarap,2,5,True,0.018970189701897018,NR,
12,Uretimi_0,65.0,1,[352],,meco_para_7,A22ITCZHSWJJ25,1,Uretimi,2,7,True,0.018970189701897018,NR,0.04284772577455504
13,kadar_0,105.0,1,[353],,meco_para_7,A22ITCZHSWJJ25,1,kadar,2,5,True,0.018970189701897018,NR,0.06921555702043507
14,"antikken,_0",,0,[],,meco_para_7,A22ITCZHSWJJ25,0,"antikken,",2,9,True,0.018970189701897018,NR,
15,daha_0,69.0,1,[364],,meco_para_7,A22ITCZHSWJJ25,1,daha,2,4,True,0.018970189701897018,NR,0.045484508899143045
16,bicimsel_0,66.0,1,[366],,meco_para_7,A22ITCZHSWJJ25,1,bicimsel,2,8,True,0.018970189701897018,NR,0.043506921555702044
17,bir_0,71.0,1,[367],,meco_para_7,A22ITCZHSWJJ25,1,bir,2,3,True,0.018970189701897018,NR,0.04680290046143705
18,metodoloji_0,206.0,2,"[347, 348]",,meco_para_7,A22ITCZHSWJJ25,2,metodoloji,2,10,True,0.018970189701897018,NR,0.13579433091628212
19,orta_0,446.0,6,"[8, 50, 67, 350, 359, 360]",,meco_para_7,A22ITCZHSWJJ25,6,orta,2,4,True,0.018970189701897018,NR,0.2940013183915623
20, caglarin_0,161.0,2,"[47, 55]",,meco_para_7,A22ITCZHSWJJ25,2, caglarin,2,9,True,0.018970189701897018,NR,0.1061305207646671
21,sonlarindan_0,,0,[],,meco_para_7,A22ITCZHSWJJ25,0,sonlarindan,2,11,True,0.018970189701897018,NR,
22, glnUmUuze_0,,0,[],,meco_para_7,A22ITCZHSWJJ25,0, glnUmUuze,2,10,True,0.018970189701897018,NR,
23,yavasca__0,104.0,1,[35],,meco_para_7,A22ITCZHSWJJ25,1,yavasca,2,7,True,0.018970189701897018,NR,0.06855636123928807
24,olusmaktadir._0,,0,[],,meco_para_7,A22ITCZHSWJJ25,0,olusmaktadir.,2,13,True,0.018970189701897018,NR,
25,"Modern,_0",,0,[],,meco_para_7,A22ITCZHSWJJ25,0,"Modern,",3,7,True,0.018970189701897018,NR,
26,profesyonel_0,333.0,4,"[10, 19, 40, 365]",,meco_para_7,A22ITCZHSWJJ25,4,profesyonel,3,11,True,0.018970189701897018,NR,0.13416599516518937
27,sarap_3,177.0,2,"[23, 49]",,meco_para_7,A22ITCZHSWJJ25,2,sarap,3,5,True,0.018970189701897018,NR,0.07131345688960515
28,—_0,137.0,2,"[22, 49]",,meco_para_7,A22ITCZHSWJJ25,2,—,3,1,True,0.018970189701897018,NR,0.055197421434327154
29,tadimcilari_0,384.0,5,"[14, 21, 31, 48, 358]",,meco_para_7,A22ITCZHSWJJ25,5,tadimcilari,3,11,True,0.018970189701897018,NR,0.15471394037066882
30,sarabin_1,,0,[],meco_para_7_qa_1 ,meco_para_7,A22ITCZHSWJJ25,0,sarabin,3,7,True,0.018970189701897018,NR,
31,algilanan_0,,0,[],meco_para_7_qa_1 ,meco_para_7,A22ITCZHSWJJ25,0,algilanan,3,9,True,0.018970189701897018,NR,
32,lezzet_0,,0,[],meco_para_7_qa_1 ,meco_para_7,A22ITCZHSWJJ25,0,lezzet,3,6,True,0.018970189701897018,NR,
33," cesitlerini,_0",,0,[],meco_para_7_qa_1 ,meco_para_7,A22ITCZHSWJJ25,0," cesitlerini,",3,13,True,0.018970189701897018,NR,
34,aromasini_0,66.0,1,[77],meco_para_7_qa_1 ,meco_para_7,A22ITCZHSWJJ25,1,aromasini,3,9,True,0.018970189701897018,NR,0.0265914585012087
35,ve_1,,0,[],meco_para_7_qa_1 ,meco_para_7,A22ITCZHSWJJ25,0,ve,3,2,True,0.018970189701897018,NR,
36, genel__0,,0,[],meco_para_7_qa_1 ,meco_para_7,A22ITCZHSWJJ25,0, genel,3,6,True,0.018970189701897018,NR,
37,karakteristigini_0,576.0,7,"[20, 28, 39, 41, 83, 86, 356]",meco_para_7_qa_1 ,meco_para_7,A22ITCZHSWJJ25,7,karakteristigini,3,16,True,0.018970189701897018,NR,0.23207091055600323
38,tarif_0,134.0,2,"[87, 357]",meco_para_7_qa_1 ,meco_para_7,A22ITCZHSWJJ25,2,tarif,3,5,True,0.018970189701897018,NR,0.053988718775181306
39,etmek_0,63.0,1,[29],meco_para_7_qa_1 ,meco_para_7,A22ITCZHSWJJ25,1,etmek,3,5,True,0.018970189701897018,NR,0.025382755842062853
40,icin_0,,0,[],meco_para_7_qa_1 ,meco_para_7,A22ITCZHSWJJ25,0,icin,3,4,True,0.018970189701897018,NR,
41,kullanilan_0,,0,[],meco_para_7_qa_1 ,meco_para_7,A22ITCZHSWJJ25,0,kullanilan,3,10,True,0.018970189701897018,NR,
42,stirekli_0,,0,[],meco_para_7_qa_1 ,meco_para_7,A22ITCZHSWJJ25,0,stirekli,3,8,True,0.018970189701897018,NR,
43,olarak_1,138.0,1,[187],meco_para_7_qa_1 ,meco_para_7,A22ITCZHSWJJ25,1,olarak,3,6,True,0.018970189701897018,NR,0.055600322320709106
44,gelisen_0,,0,[],meco_para_7_qa_1 ,meco_para_7,A22ITCZHSWJJ25,0,gelisen,3,7,True,0.018970189701897018,NR,
45,6zellesmis_—_0,207.0,2,"[213, 354]",meco_para_7_qa_1 ,meco_para_7,A22ITCZHSWJJ25,2,6zellesmis,3,10,True,0.018970189701897018,NR,0.08340048348106366
46,terminolojiyi_0,66.0,1,[355],meco_para_7_qa_1 ,meco_para_7,A22ITCZHSWJJ25,1,terminolojiyi,3,13,True,0.018970189701897018,NR,0.0265914585012087
47,kullanirlar._0,201.0,3,"[18, 27, 85]",meco_para_7_qa_1 ,meco_para_7,A22ITCZHSWJJ25,3,kullanirlar.,3,12,True,0.018970189701897018,NR,0.08098307816277196
48,Son_0,449.0,3,"[24, 25, 26]",meco_para_7_qa_1 ,meco_para_7,A22ITCZHSWJJ25,3,Son,4,3,True,0.018970189701897018,NR,0.217855409995148
49,yillarda_0,345.0,2,"[88, 89]",meco_para_7_qa_1 ,meco_para_7,A22ITCZHSWJJ25,2,yillarda,4,8,True,0.018970189701897018,NR,0.16739446870451238
50,hem_0,174.0,1,[13],meco_para_7_qa_1 ,meco_para_7,A22ITCZHSWJJ25,1,hem,4,3,True,0.018970189701897018,NR,0.08442503639010189
51,uzmanlarda_0,,0,[],meco_para_7_qa_0 ,meco_para_7,A22ITCZHSWJJ25,0,uzmanlarda,4,10,True,0.018970189701897018,NR,
52,hem_1,,0,[],meco_para_7_qa_0 ,meco_para_7,A22ITCZHSWJJ25,0,hem,4,3,True,0.018970189701897018,NR,
53,de__0,65.0,1,[156],meco_para_7_qa_0 ,meco_para_7,A22ITCZHSWJJ25,1,de,4,2,True,0.018970189701897018,NR,0.03153808830664726
54,tiketicilerde_0,132.0,1,[188],meco_para_7_qa_0 ,meco_para_7,A22ITCZHSWJJ25,1,tiketicilerde,4,13,True,0.018970189701897018,NR,0.06404657933042213
55,sarap_4,,0,[],meco_para_7_qa_0 ,meco_para_7,A22ITCZHSWJJ25,0,sarap,4,5,True,0.018970189701897018,NR,
56,tadimi__0,73.0,1,[38],meco_para_7_qa_0 ,meco_para_7,A22ITCZHSWJJ25,1,tadimi,4,6,True,0.018970189701897018,NR,0.03541969917515769
57,guvenilirligini_0,136.0,1,[98],meco_para_7_qa_0 ,meco_para_7,A22ITCZHSWJJ25,1,guvenilirligini,4,15,True,0.018970189701897018,NR,0.06598738476467735
58,zorlayan_0,170.0,2,"[43, 81]",meco_para_7_qa_0 ,meco_para_7,A22ITCZHSWJJ25,2,zorlayan,4,8,True,0.018970189701897018,NR,0.08248423095584667
59, sonuclar_0,156.0,2,"[74, 75]",,meco_para_7,A22ITCZHSWJJ25,2, sonuclar,4,9,True,0.018970189701897018,NR,0.07569141193595343
60, ortaya_0,361.0,4,"[90, 91, 99, 291]",,meco_para_7,A22ITCZHSWJJ25,4, ortaya,4,7,True,0.018970189701897018,NR,0.17515769044153323
61,ciktl._0,,0,[],,meco_para_7,A22ITCZHSWJJ25,0,ciktl.,4,6,True,0.018970189701897018,NR,
62,"Ornegin,_0",,0,[],,meco_para_7,A22ITCZHSWJJ25,0,"Ornegin,",5,8,True,0.018970189701897018,NR,
63,arastirmalar_0,198.0,3,"[184, 185, 186]",,meco_para_7,A22ITCZHSWJJ25,3,arastirmalar,5,12,True,0.018970189701897018,NR,0.014728855166257531
