"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_os","subject_screen_width","subject_screen_height","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_name","webgazer_data","webgazer_targets","correct_answer","question_text"
"3878","
              <div class=""left-align"">
                <img src=""https://designguide.ku.dk/download/co-branding/ku_logo_uk_v.png"" alt=""KU Logo"" class=""ku-logo"">
                <h1>Welcome to <b>TR</b> Dev!</h1>
                <p>This mode is designed for the development of the experiment.</p>
                <p>When each experiment loads, an image is saved.</p>
                <p>The idea is then to save these images for the oficial experiment. At the final screen a file can be downloaded with the target locations.</p>
                <ul>Ribeiro, Tiago - Research Assistant - <a href = ""mailto: tiri@di.ku.dk"">tiri@di.ku.dk</a></ul>
                <p>Project Leaders:</p>
                <ul>Søgaard, Anders - Professor - <a href = ""mailto: soegaard@di.ku.dk"">soegaard@di.ku.dk</a></ul>
                <ul>Hollenstein, Nora - Assistant Professor - <a href = ""mailto: nora.hollenstein@hum.ku.dk"">nora.hollenstein@hum.ku.dk</a></ul>
              </div>
              ","0","html-button-response","0","3881","0.0-0.0","Win32","1280","720","","","","","","","","","","","","","","","",""
"","","","browser-check","1","6890","0.0-1.0","Win32","1280","720","1280","720","true","firefox","108.0.0","false","Windows 10","true","60.54","true","true","","","","",""
"1575","
<p class=""webgaze-experiment-compact"" id=""paragraph"">Şarap tadımı, şarabın duyumsal olarak incelenmesi ve değerlendirilmesidir. Şarap tadım pratiği şarap üretimi kadar antikken, daha biçimsel bir metodoloji orta çağların sonlarından günümüze yavaşça oluşmaktadır. Modern, profesyonel şarap tadımcıları şarabın algılanan lezzet çeşitlerini, aromasını ve genel karakteristiğini tarif etmek <span id=""meco_para_7_qa_1"">için kullanılan sürekli olarak gelişen özelleşmiş terminolojiyi kullanırlar.</span> Son yıllarda hem <span id=""meco_para_7_qa_0"">uzmanlarda hem de tüketicilerde şarap tadımı güvenilirliğini zorlayan</span> sonuçlar ortaya çıktı. Örneğin, araştırmalar insanların daha pahalı şarabın daha ucuz şaraba göre daha fazla arzulanan karakteristiğe sahip olmasını beklediklerini göstermiştir: Tadımcılar verilen şarabın gerçek olmayan bir şekilde pahalı olduğu söylendiğinde, neredeyse her zaman aynı şarap onlara ucuz olduğu söylendiğinden daha lezzetli olduğunu belirttiler. Başka çalışmalar gösteriyor ki tadımcıların kararları coğrafi köken, itibar veya diğer etkenlerin bilinmesiyle etki altında kalabiliyor. <span id=""meco_para_7_qa_2"">Objektif şarap tadımı bu yüzen şarabın kör tadımını gerektirir</span>- bu tadımcının şarabın etiketini veya şişenin şeklini görmemesidir. Kör tadım ayrıca şarabın <span id=""meco_para_7_qa_3"">siyah şarap bardağında şarabın rengini maskeleyecek şekilde servis edilmesini de içerir</span>.</p>"," ","html-keyboard-response","2","8467","0.0-2.0","Win32","1280","720","","","","","","","","","","","","meco_para_7","[]","{""#paragraph"":{""x"":50,""y"":38,""width"":1180,""height"":667,""top"":38,""right"":1230,""bottom"":705,""left"":50},""#meco_para_7_qa_0"":{""x"":70,""y"":272.8999938964844,""width"":882.5999755859375,""height"":30,""top"":272.8999938964844,""right"":952.5999755859375,""bottom"":302.8999938964844,""left"":70},""#meco_para_7_qa_1"":{""x"":70,""y"":189.3000030517578,""width"":1114.300048828125,""height"":71.80000305175781,""top"":189.3000030517578,""right"":1184.300048828125,""bottom"":261.1000061035156,""left"":70},""#meco_para_7_qa_2"":{""x"":70,""y"":523.7000122070312,""width"":1118.6666259765625,""height"":71.80000305175781,""top"":523.7000122070312,""right"":1188.6666259765625,""bottom"":595.5000152587891,""left"":70},""#meco_para_7_qa_3"":{""x"":70,""y"":607.2999877929688,""width"":1034.7333984375,""height"":71.80000305175781,""top"":607.2999877929688,""right"":1104.7333984375,""bottom"":679.0999908447266,""left"":70}}","",""
"1234","<p class=""webgaze-experiment"" id=""question"">Şarap, rengini maskelemek için siyah bir bardakta mı servis edilir? ","1","html-button-response","3","9702","0.0-3.0","Win32","1280","720","","","","","","","","","","","","meco_para_7_qa_3","[]","{""#question"":{""x"":141.8000030517578,""y"":285.29998779296875,""width"":996.38330078125,""height"":112,""top"":285.29998779296875,""right"":1138.1833038330078,""bottom"":397.29998779296875,""left"":141.8000030517578}}","True",""
"485","
<p class=""webgaze-experiment"" id=""paragraph""><span id=""a_IntergovernmentalPanelonClimateChange_0_qa_1"">Koreli</span> ekonomist <span id=""a_IntergovernmentalPanelonClimateChange_0_qa_0"">Hoesung Lee</span>, yeni IPCC Büro seçimlerini takiben 8 Ekim 2015'den beri IPCC başkanıdır. Bu seçimden önce IPCC, Rajendra K. Pachauri'nin <span id=""a_IntergovernmentalPanelonClimateChange_0_qa_4"">Şubat 2015</span> tarihinde istifasından sonra kararlaştırılmış vekil Başkan olan IPCC başkan yardımcısı <span id=""a_IntergovernmentalPanelonClimateChange_0_qa_2"">İsmail El Gizouli</span> tarafından yönetiliyordu. Önceki başkanlar, Mayıs 2002'de seçilen Rajendra K. Pachauri; 1997'de seçilen Robert Watson ve 1988'de seçilen <span id=""a_IntergovernmentalPanelonClimateChange_0_qa_3"">Bert Bolin</span> idi. Başkan, başkan yardımcıları, çalışma grubu eş başkanları ve bir sekreterin olduğu seçilmiş bir büro tarafından desteklenir.</p>"," ","html-keyboard-response","4","10191","0.0-4.0","Win32","1280","720","","","","","","","","","","","","a_IntergovernmentalPanelonClimateChange_0","[]","{""#paragraph"":{""x"":50,""y"":64.5,""width"":1180,""height"":616,""top"":64.5,""right"":1230,""bottom"":680.5,""left"":50},""#a_IntergovernmentalPanelonClimateChange_0_qa_0"":{""x"":314.98333740234375,""y"":104,""width"":170.25,""height"":33,""top"":104,""right"":485.23333740234375,""bottom"":137,""left"":314.98333740234375},""#a_IntergovernmentalPanelonClimateChange_0_qa_1"":{""x"":70,""y"":104,""width"":64.56666564941406,""height"":33,""top"":104,""right"":134.56666564941406,""bottom"":137,""left"":70},""#a_IntergovernmentalPanelonClimateChange_0_qa_2"":{""x"":488.16668701171875,""y"":320,""width"":223.7333221435547,""height"":33,""top"":320,""right"":711.9000091552734,""bottom"":353,""left"":488.16668701171875},""#a_IntergovernmentalPanelonClimateChange_0_qa_3"":{""x"":470.08331298828125,""y"":464,""width"":135.36666870117188,""height"":33,""top"":464,""right"":605.4499816894531,""bottom"":497,""left"":470.08331298828125},""#a_IntergovernmentalPanelonClimateChange_0_qa_4"":{""x"":239.9166717529297,""y"":248,""width"":150.54998779296875,""height"":33,""top"":248,""right"":390.46665954589844,""bottom"":281,""left"":239.9166717529297}}","",""
"883","","{""Q0"":""1""}","survey-text","5","11075","0.0-5.0","Win32","1280","720","","","","","","","","","","","","a_IntergovernmentalPanelonClimateChange_0_qa_4","[]","{""#question"":{""x"":208.8000030517578,""y"":287.70001220703125,""width"":862.4000244140625,""height"":112,""top"":287.70001220703125,""right"":1071.2000274658203,""bottom"":399.70001220703125,""left"":208.8000030517578}}","Şubat 2015","Pachauri IPCC başkanlığından ne zaman istifa etmiştir?"
"481","
<p class=""webgaze-experiment"" id=""paragraph"">Yerel rakipleri <span id=""a_Warsaw_1_qa_0"">Polonya Varşova</span>, daha az destekçiye sahip ancak 2000 yılında Ekstraklasa Şampiyonasını kazanmayı başardılar. Ayrıca <span id=""a_Warsaw_1_qa_1"">1946</span>'da ülke şampiyonluğunu kazandı ve ayrıca kupayı <span id=""a_Warsaw_1_qa_2"">iki kez</span> kazandı. Polonya'nın sahası <span id=""a_Warsaw_1_qa_3"">Konwiktorska Caddesi</span>'nde, Eski Kent'e 10 dakikalık yürüme mesafesinde yer almaktadır. Polonya, <span id=""a_Warsaw_1_qa_4"">feci finansal durumları</span> nedeniyle ülkenin en üst liginden 2013'te çekildi. Şu anda Ulusal - Polonya Futbol Federasyonu (PZPN) yapısındaki en alt profesyonel lig olan 4. ligde (Polonya'da 5. seviye) oynuyorlar.</p>"," ","html-keyboard-response","6","11558","0.0-6.0","Win32","1280","720","","","","","","","","","","","","a_Warsaw_1","[]","{""#paragraph"":{""x"":50,""y"":100.5,""width"":1180,""height"":544,""top"":100.5,""right"":1230,""bottom"":644.5,""left"":50},""#a_Warsaw_1_qa_0"":{""x"":280.683349609375,""y"":140,""width"":209.31666564941406,""height"":33,""top"":140,""right"":490.00001525878906,""bottom"":173,""left"":280.683349609375},""#a_Warsaw_1_qa_1"":{""x"":819.9500122070312,""y"":212,""width"":54.866668701171875,""height"":33,""top"":212,""right"":874.8166809082031,""bottom"":245,""left"":819.9500122070312},""#a_Warsaw_1_qa_2"":{""x"":445.8999938964844,""y"":284,""width"":93.33334350585938,""height"":33,""top"":284,""right"":539.2333374023438,""bottom"":317,""left"":445.8999938964844},""#a_Warsaw_1_qa_3"":{""x"":70,""y"":284,""width"":1038.300048828125,""height"":105,""top"":284,""right"":1108.300048828125,""bottom"":389,""left"":70},""#a_Warsaw_1_qa_4"":{""x"":196.88333129882812,""y"":428,""width"":300.75,""height"":33,""top"":428,""right"":497.6333312988281,""bottom"":461,""left"":196.88333129882812}}","",""
"834","","{""Q0"":""1""}","survey-text","7","12395","0.0-7.0","Win32","1280","720","","","","","","","","","","","","a_Warsaw_1_qa_4","[]","{""#question"":{""x"":97.71665954589844,""y"":287.70001220703125,""width"":1084.550048828125,""height"":112,""top"":287.70001220703125,""right"":1182.2667083740234,""bottom"":399.70001220703125,""left"":97.71665954589844}}","feci finansal durumları","Polonya 2013 yılında ülkenin en üst liginden neden küme düşürülmüştür?"
"588","
<p class=""webgaze-experiment"" id=""paragraph"">﻿1620'lerde tekrarlanan dini savaş, yenilgilerinin ardından Fransız Protestanlarının siyasi ve askeri ayrıcalıklarının kaldırılmasına neden oldu. Fransa'daki Protestanlığın yasal olarak tanınmasını tamamen kaldıran ve Fransız Protestanları dönüşmeye zorlayan <span id=""a_Huguenot_0_qa_0"">Fontainebleau Fermanı’nı</span> (<span id=""a_Huguenot_0_qa_1"">1685</span>) yayınlayana kadar, zulmünü giderek arttıran <span id=""a_Huguenot_0_qa_2"">XIV. Louis</span> yönetimine kadar, Nantes Fermanı'nın dini hükümlerini muhafaza ettiler. Neredeyse dörtte üçü sonunda öldürülür veya boyun eğerken, kabaca <span id=""a_Huguenot_0_qa_3"">500.000</span> Fransız Protestanı 18. yüzyılın başlarında Fransa'dan kaçtı [kaynak belirtilmeli].</p>"," ","html-keyboard-response","8","12985","0.0-8.0","Win32","1280","720","","","","","","","","","","","","a_Huguenot_0","[]","{""#paragraph"":{""x"":50,""y"":64.5,""width"":1180,""height"":616,""top"":64.5,""right"":1230,""bottom"":680.5,""left"":50},""#a_Huguenot_0_qa_0"":{""x"":196.1999969482422,""y"":320,""width"":308.066650390625,""height"":33,""top"":320,""right"":504.2666473388672,""bottom"":353,""left"":196.1999969482422},""#a_Huguenot_0_qa_1"":{""x"":542.5833129882812,""y"":320,""width"":54.866668701171875,""height"":33,""top"":320,""right"":597.4499816894531,""bottom"":353,""left"":542.5833129882812},""#a_Huguenot_0_qa_2"":{""x"":185.4166717529297,""y"":392,""width"":131.59999084472656,""height"":33,""top"":392,""right"":317.01666259765625,""bottom"":425,""left"":185.4166717529297},""#a_Huguenot_0_qa_3"":{""x"":180.03334045410156,""y"":536,""width"":88.59999084472656,""height"":33,""top"":536,""right"":268.6333312988281,""bottom"":569,""left"":180.03334045410156}}","",""
"691","","{""Q0"":""1""}","survey-text","9","13678","0.0-9.0","Win32","1280","720","","","","","","","","","","","","a_Huguenot_0_qa_2","[]","{""#question"":{""x"":208.8000030517578,""y"":287.70001220703125,""width"":862.4000244140625,""height"":112,""top"":287.70001220703125,""right"":1071.2000274658203,""bottom"":399.70001220703125,""left"":208.8000030517578}}","XIV. Louis","Bu bildirimi hangi soydan Fransızlar yayımladı?"
