"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_os","subject_screen_width","subject_screen_height","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_name","webgazer_data","webgazer_targets","correct_answer","question_text"
"29137","
              <div class=""left-align"">
                <img src=""https://designguide.ku.dk/download/co-branding/ku_logo_uk_v.png"" alt=""KU Logo"" class=""ku-logo"">
                <h1>Welcome to <b>DE</b> Dev!</h1>
                <p>This mode is designed for the development of the experiment.</p>
                <p>When each experiment loads, an image is saved.</p>
                <p>The idea is then to save these images for the oficial experiment. At the final screen a file can be downloaded with the target locations.</p>
                <ul>Ribeiro, Tiago - Research Assistant - <a href = ""mailto: tiri@di.ku.dk"">tiri@di.ku.dk</a></ul>
                <p>Project Leaders:</p>
                <ul>Søgaard, Anders - Professor - <a href = ""mailto: soegaard@di.ku.dk"">soegaard@di.ku.dk</a></ul>
                <ul>Hollenstein, Nora - Assistant Professor - <a href = ""mailto: nora.hollenstein@hum.ku.dk"">nora.hollenstein@hum.ku.dk</a></ul>
              </div>
              ","0","html-button-response","0","29141","0.0-0.0","Win32","1280","720","","","","","","","","","","","","","","","",""
"","","","browser-check","1","31551","0.0-1.0","Win32","1280","720","1280","720","true","firefox","106.0.0","false","Windows 10","true","147.78","true","true","","","","",""
"1442","
<p class=""webgaze-experiment-compact"" id=""paragraph""><span id=""meco_para_1_qa_3"">In der alten römischen Religion und Mythologie</span> <span id=""meco_para_1_qa_0"">ist Janus der Gott des Anfangs und der Tore</span>. Er hat eine doppelte Natur und wird gewöhnlich mit zwei Gesichtern dargestellt, da er in die Zukunft und in die Vergangenheit blickt. Janus überwachte den Beginn und das Ende von Konflikten und damit auch Krieg und Frieden. <span id=""meco_para_1_qa_2"">Die Türen seines Tempels waren in Kriegszeiten geöffnet und geschlossen in Zeiten des Friedens</span>. Als Gott der Tore wurde er außerdem mit dem Betreten und Verlassen von Haustüren in Verbindung gebracht. <span id=""meco_para_1_qa_1"">Janus symbolisierte häufig Veränderungen und Übergänge</span>, wie den Wechsel von einer Bedingung zur anderen, von einer Perspektive zur anderen und das Heranwachsen junger Menschen zum Erwachsenenalter. Deswegen wurde Janus zu Beginn der Saat-und Erntezeit verehrt, genauso wie zu Hochzeiten, Todesfällen und anderen Übergänge. Für Janus war kein spezieller Priester zuständig, sondern der höchste Priester leitete die Zeremonien selbst. Janus stellte den Mittelweg zwischen Barbarei und Zivilisation, ländlichem und urbanem Leben, Jugend und Erwachsenenalter dar. Die alten Griechen hatten kein Äquivalent zu Janus, den die Römer ganz für sich beanspruchten.</p>"," ","html-keyboard-response","2","32994","0.0-2.0","Win32","1280","720","","","","","","","","","","","","meco_para_1","[]","{""#paragraph"":{""x"":50,""y"":38,""width"":1180,""height"":667,""top"":38,""right"":1230,""bottom"":705,""left"":50},""#meco_para_1_qa_0"":{""x"":70,""y"":63.899993896484375,""width"":1097.25,""height"":71.80000305175781,""top"":63.899993896484375,""right"":1167.25,""bottom"":135.6999969482422,""left"":70},""#meco_para_1_qa_1"":{""x"":70,""y"":314.70001220703125,""width"":1054.2833251953125,""height"":71.80000305175781,""top"":314.70001220703125,""right"":1124.2833251953125,""bottom"":386.50001525878906,""left"":70},""#meco_para_1_qa_2"":{""x"":70,""y"":231.10000610351562,""width"":1094.9833984375,""height"":71.79998779296875,""top"":231.10000610351562,""right"":1164.9833984375,""bottom"":302.8999938964844,""left"":70},""#meco_para_1_qa_3"":{""x"":70,""y"":63.899993896484375,""width"":634.4666748046875,""height"":30,""top"":63.899993896484375,""right"":704.4666748046875,""bottom"":93.89999389648438,""left"":70}}","",""
"2059","<p class=""webgaze-experiment"" id=""question"">War Janus ein Gott der Türen und Übergänge? ","1","html-button-response","3","35053","0.0-3.0","Win32","1280","720","","","","","","","","","","","","meco_para_1_qa_0","[]","{""#question"":{""x"":275.316650390625,""y"":285.29998779296875,""width"":729.3499755859375,""height"":112,""top"":285.29998779296875,""right"":1004.6666259765625,""bottom"":397.29998779296875,""left"":275.316650390625}}","True",""
"774","
<p class=""webgaze-experiment"" id=""paragraph"">Die Vereinbarungen enthalten feste jährliche Sendegebühren in Höhe von <span id=""a_SkyUnitedKingdom_4_qa_0"">30 Mio. GBP</span> für die Kanäle, wobei beide Kanalanbieter zusätzliche Zahlungen mit Obergrenzen sichern konnten, wenn ihre Kanäle bestimmte leistungsbezogene Ziele erfüllen. Derzeit gibt es <span id=""a_SkyUnitedKingdom_4_qa_1"">keine Angaben</span> dazu, ob die neue Vereinbarung die zusätzlichen Video-On-Demand- und High-Definition-Inhalte umfasst, die zuvor von BSkyB angeboten wurden. Im Rahmen des Abkommens einigten sich <span id=""a_SkyUnitedKingdom_4_qa_3"">BSkyB</span> und <span id=""a_SkyUnitedKingdom_4_qa_2"">Virgin Media</span> darauf, alle Verfahren gegeneinander vor dem Obersten Gerichtshof in Bezug auf das Angebot der jeweiligen <span id=""a_SkyUnitedKingdom_4_qa_4"">Basiskanäle</span> einzustellen.</p>"," ","html-keyboard-response","4","35828","0.0-4.0","Win32","1280","720","","","","","","","","","","","","a_SkyUnitedKingdom_4","[]","{""#paragraph"":{""x"":50,""y"":28.5,""width"":1180,""height"":688,""top"":28.5,""right"":1230,""bottom"":716.5,""left"":50},""#a_SkyUnitedKingdom_4_qa_0"":{""x"":70,""y"":68,""width"":1084.7166748046875,""height"":105,""top"":68,""right"":1154.7166748046875,""bottom"":173,""left"":70},""#a_SkyUnitedKingdom_4_qa_1"":{""x"":519.0333251953125,""y"":284,""width"":190.75,""height"":33,""top"":284,""right"":709.7833251953125,""bottom"":317,""left"":519.0333251953125},""#a_SkyUnitedKingdom_4_qa_2"":{""x"":245.38333129882812,""y"":500,""width"":164.40000915527344,""height"":33,""top"":500,""right"":409.78334045410156,""bottom"":533,""left"":245.38333129882812},""#a_SkyUnitedKingdom_4_qa_3"":{""x"":70,""y"":500,""width"":68.80000305175781,""height"":33,""top"":500,""right"":138.8000030517578,""bottom"":533,""left"":70},""#a_SkyUnitedKingdom_4_qa_4"":{""x"":993.63330078125,""y"":572,""width"":131.31666564941406,""height"":33,""top"":572,""right"":1124.949966430664,""bottom"":605,""left"":993.63330078125}}","",""
"18846","","{""Q0"":""1""}","survey-text","5","54678","0.0-5.0","Win32","1280","720","","","","","","","","","","","","a_SkyUnitedKingdom_4_qa_4","[]","{""#question"":{""x"":208.8000030517578,""y"":287.70001220703125,""width"":862.4000244140625,""height"":112,""top"":287.70001220703125,""right"":1071.2000274658203,""bottom"":399.70001220703125,""left"":208.8000030517578}}","Basiskanäle","Worum ging es in den Gerichtsverfahren?"
"904","
<p class=""webgaze-experiment"" id=""paragraph"">In den Jahren nach diesen Gerüchten gewannen weder Tesla noch <span id=""a_NikolaTesla_3_qa_1"">Edison</span> den Nobelpreis (obwohl Edison 1915 eine von <span id=""a_NikolaTesla_3_qa_0"">38</span> möglichen Nominierungen erhielt und Tesla <span id=""a_NikolaTesla_3_qa_2"">1937</span> eine von 38 möglichen Nominierungen).</p>"," ","html-keyboard-response","6","55583","0.0-6.0","Win32","1280","720","","","","","","","","","","","","a_NikolaTesla_3","[]","{""#paragraph"":{""x"":50,""y"":244.5,""width"":1180,""height"":256,""top"":244.5,""right"":1230,""bottom"":500.5,""left"":50},""#a_NikolaTesla_3_qa_0"":{""x"":762.1666870117188,""y"":356,""width"":27.433334350585938,""height"":33,""top"":356,""right"":789.6000213623047,""bottom"":389,""left"":762.1666870117188},""#a_NikolaTesla_3_qa_1"":{""x"":1064.7666015625,""y"":284,""width"":74.66667175292969,""height"":33,""top"":284,""right"":1139.4332733154297,""bottom"":317,""left"":1064.7666015625},""#a_NikolaTesla_3_qa_2"":{""x"":337.5333251953125,""y"":428,""width"":54.86665344238281,""height"":33,""top"":428,""right"":392.3999786376953,""bottom"":461,""left"":337.5333251953125}}","",""
"1181","","{""Q0"":""1""}","survey-text","7","56767","0.0-7.0","Win32","1280","720","","","","","","","","","","","","a_NikolaTesla_3_qa_0","[]","{""#question"":{""x"":163.56666564941406,""y"":287.70001220703125,""width"":952.86669921875,""height"":112,""top"":287.70001220703125,""right"":1116.433364868164,""bottom"":399.70001220703125,""left"":163.56666564941406}}","38","Wie viele mögliche Nominierungen für den Preis gab es 1915?"
"758","
<p class=""webgaze-experiment"" id=""paragraph"">Im Hinduismus werden spirituelle Lehrer/innen <span id=""a_Teacher_3_qa_0"">Guru</span> genannt und in vielen Traditionen des Hinduismus - insbesondere in den im <span id=""a_Teacher_3_qa_3"">Westen</span> verbreiteten - liegt ein <span id=""a_Teacher_3_qa_1"">extrem großer</span> Schwerpunkt auf der spirituellen Betreuung, in dessen Rahmen Gurus oft ein großes Maß an Kontrolle über das Leben <span id=""a_Teacher_3_qa_2"">ihrer Schüler/innen</span> ausüben.</p>"," ","html-keyboard-response","8","57525","0.0-8.0","Win32","1280","720","","","","","","","","","","","","a_Teacher_3","[]","{""#paragraph"":{""x"":50,""y"":172.5,""width"":1180,""height"":400,""top"":172.5,""right"":1230,""bottom"":572.5,""left"":50},""#a_Teacher_3_qa_0"":{""x"":730.4000244140625,""y"":212,""width"":56.70001220703125,""height"":33,""top"":212,""right"":787.1000366210938,""bottom"":245,""left"":730.4000244140625},""#a_Teacher_3_qa_1"":{""x"":213.93333435058594,""y"":356,""width"":186.86666870117188,""height"":33,""top"":356,""right"":400.8000030517578,""bottom"":389,""left"":213.93333435058594},""#a_Teacher_3_qa_2"":{""x"":70,""y"":428,""width"":1042.550048828125,""height"":105,""top"":428,""right"":1112.550048828125,""bottom"":533,""left"":70},""#a_Teacher_3_qa_3"":{""x"":874.4000244140625,""y"":284,""width"":83.83334350585938,""height"":33,""top"":284,""right"":958.2333679199219,""bottom"":317,""left"":874.4000244140625}}","",""
"1765","","{""Q0"":""1""}","survey-text","9","59293","0.0-9.0","Win32","1280","720","","","","","","","","","","","","a_Teacher_3_qa_2","[]","{""#question"":{""x"":203.64999389648438,""y"":287.70001220703125,""width"":872.7000122070312,""height"":112,""top"":287.70001220703125,""right"":1076.3500061035156,""bottom"":399.70001220703125,""left"":203.64999389648438}}","ihrer Schüler/innen","Wen kontrollieren Gurus?"
