"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_os","subject_screen_width","subject_screen_height","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_name","webgazer_data","webgazer_targets","correct_answer","question_text"
"170809","
              <div class=""left-align"">
                <img src=""https://designguide.ku.dk/download/co-branding/ku_logo_uk_v.png"" alt=""KU Logo"" class=""ku-logo"">
                <h1>Welcome to <b>GR</b> Dev!</h1>
                <p>This mode is designed for the development of the experiment.</p>
                <p>When each experiment loads, an image is saved.</p>
                <p>The idea is then to save these images for the oficial experiment. At the final screen a file can be downloaded with the target locations.</p>
                <ul>Ribeiro, Tiago - Research Assistant - <a href = ""mailto: tiri@di.ku.dk"">tiri@di.ku.dk</a></ul>
                <p>Project Leaders:</p>
                <ul>Søgaard, Anders - Professor - <a href = ""mailto: soegaard@di.ku.dk"">soegaard@di.ku.dk</a></ul>
                <ul>Hollenstein, Nora - Assistant Professor - <a href = ""mailto: nora.hollenstein@hum.ku.dk"">nora.hollenstein@hum.ku.dk</a></ul>
              </div>
              ","0","html-button-response","0","170814","0.0-0.0","Win32","1280","720","","","","","","","","","","","","","","","",""
"","","","browser-check","1","173222","0.0-1.0","Win32","1280","720","1280","720","true","firefox","106.0.0","false","Windows 10","true","148.51","true","true","","","","",""
"170328","
<p class=""webgaze-experiment-compact"" id=""paragraph"">Η Διεθνής Ένωση Προστασίας της Φύσης εργάζεται για την προστασία της φύσης και της ορθής χρήσης των φυσικών πόρων. Δραστηριοποιείται στους τομείς της συλλογής και ανάλυσης δεδομένων, της έρευνας, των κατά τόπους έργων, της νομικής προστασίας και της εκπαίδευσης. Αποστολή της είναι να «επηρεάσει, να ενθαρρύνει και να βοηθήσει τις κοινωνίες σε όλο τον <span id=""meco_para_11_qa_2"">κόσμο να προστατεύσουν τη φύση και να διασφαλίσουν ότι η χρήση των φυσικών πόρων είναι δίκαιη και οικολογικά βιώσιμη».</span> Τις τελευταίες δεκαετίες, η οργάνωση έχει διευρύνει τους τομείς δράσης της ενσωματώνοντας στα προγράμματά της, πέρα από θέματα προστασίας της φύσης, θέματα αειφόρου ανάπτυξης. <span id=""meco_para_11_qa_0"">Σε αντίθεση με πολλές άλλες διεθνείς περιβαλλοντικές οργανώσεις,</span> δεν αποσκοπεί στην κινητοποίηση του κοινού. Αντιθέτως, προσπαθεί να επηρεάσει τις δράσεις κυβερνήσεων, επιχειρήσεων και άλλων εμπλεκομένων με την παροχή πληροφοριών, συμβουλών και την ανάπτυξη συνεργασιών. Η οργάνωση  είναι γνωστή στο ευρύτερο κοινό για τη <span id=""meco_para_11_qa_3"">σύνταξη και δημοσίευση της «Κόκκινης Λίστας Απειλούμενων Ειδών»,</span> η οποία αποτελεί ευρετήριο για την κατάσταση απειλούμενων ειδών φυτών και ζώων σε όλο τον κόσμο. Σήμερα, στην <span id=""meco_para_11_qa_1"">οργάνωση απασχολούνται με καθεστώς πλήρους απασχόλησης</span> περίπου χίλια άτομα σε περισσότερες από πενήντα χώρες.</p>"," ","html-keyboard-response","2","343549","0.0-2.0","Win32","1280","720","","","","","","","","","","","","meco_para_11","[]","{""#paragraph"":{""x"":50,""y"":22,""width"":1180,""height"":708.7999877929688,""top"":22,""right"":1230,""bottom"":730.7999877929688,""left"":50},""#meco_para_11_qa_0"":{""x"":332.91668701171875,""y"":382.29998779296875,""width"":824.5166625976562,""height"":30,""top"":382.29998779296875,""right"":1157.433349609375,""bottom"":412.29998779296875,""left"":332.91668701171875},""#meco_para_11_qa_1"":{""x"":70,""y"":633.0999755859375,""width"":989.3333129882812,""height"":71.79998779296875,""top"":633.0999755859375,""right"":1059.3333129882812,""bottom"":704.8999633789062,""left"":70},""#meco_para_11_qa_2"":{""x"":70,""y"":215.10000610351562,""width"":1087.2333984375,""height"":71.79998779296875,""top"":215.10000610351562,""right"":1157.2333984375,""bottom"":286.8999938964844,""left"":70},""#meco_para_11_qa_3"":{""x"":262.75,""y"":549.5,""width"":851.0166625976562,""height"":30,""top"":549.5,""right"":1113.7666625976562,""bottom"":579.5,""left"":262.75}}","",""
"1163","<p class=""webgaze-experiment"" id=""question"">Η οργάνωση δημοσιεύει την κόκκινη λίστα απειλούμενων ειδών ","1","html-button-response","3","344714","0.0-3.0","Win32","1280","720","","","","","","","","","","","","meco_para_11_qa_3","[]","{""#question"":{""x"":171.43333435058594,""y"":285.29998779296875,""width"":937.11669921875,""height"":112,""top"":285.29998779296875,""right"":1108.550033569336,""bottom"":397.29998779296875,""left"":171.43333435058594}}","True",""
"1286","
<p class=""webgaze-experiment"" id=""paragraph"">﻿O νέος θρησκευτικός πόλεμος του 1620 προκάλεσε την κατάργηση των πολιτικών και στρατιωτικών προνομίων των Ουγενότων μετά την ήττα τους. Διατήρησαν τις θρησκευτικές διατάξεις του διατάγματος της Νάντης μέχρι την εξουσία του <span id=""a_Huguenot_0_qa_2"">Λουδοβίκου ΙΔ΄</span>, ο οποίος σταδιακά ενίσχυσε τη δίωξή τους μέχρι να εκδώσει το <span id=""a_Huguenot_0_qa_0"">Διάταγμα του Φονταινεμπλώ</span> (<span id=""a_Huguenot_0_qa_1"">1685</span> ), που κατήργησε κάθε νόμιμη αναγνώριση του Προτεσταντισμού στη Γαλλία και ανάγκασε τους Ουγενότους να αλλαξοπιστήσουν. Ενώ σχεδόν τα τρία τέταρτα τελικά σκοτώθηκαν ή υποτάχθηκαν, περίπου <span id=""a_Huguenot_0_qa_3"">500.000</span> Ουγενότοι είχαν εγκαταλείψει τη Γαλλία από τις αρχές του 18ου αιώνα [απαιτείται παραπομπή].</p>"," ","html-keyboard-response","4","346003","0.0-4.0","Win32","1280","720","","","","","","","","","","","","a_Huguenot_0","[]","{""#paragraph"":{""x"":50,""y"":28.5,""width"":1180,""height"":688,""top"":28.5,""right"":1230,""bottom"":716.5,""left"":50},""#a_Huguenot_0_qa_0"":{""x"":401.66668701171875,""y"":356,""width"":374.4166564941406,""height"":33,""top"":356,""right"":776.0833435058594,""bottom"":389,""left"":401.66668701171875},""#a_Huguenot_0_qa_1"":{""x"":814.4000244140625,""y"":356,""width"":54.866668701171875,""height"":33,""top"":356,""right"":869.2666931152344,""bottom"":389,""left"":814.4000244140625},""#a_Huguenot_0_qa_2"":{""x"":262.29998779296875,""y"":284,""width"":189.0833282470703,""height"":33,""top"":284,""right"":451.38331604003906,""bottom"":317,""left"":262.29998779296875},""#a_Huguenot_0_qa_3"":{""x"":603.9666748046875,""y"":572,""width"":88.60000610351562,""height"":33,""top"":572,""right"":692.5666809082031,""bottom"":605,""left"":603.9666748046875}}","",""
"1021","","{""Q0"":""1""}","survey-text","5","347028","0.0-5.0","Win32","1280","720","","","","","","","","","","","","a_Huguenot_0_qa_2","[]","{""#question"":{""x"":208.8000030517578,""y"":287.70001220703125,""width"":862.4000244140625,""height"":112,""top"":287.70001220703125,""right"":1071.2000274658203,""bottom"":399.70001220703125,""left"":208.8000030517578}}","Λουδοβίκου ΙΔ΄","Ποιος Γάλλος ευγενής εξέδωσε αυτή τη δήλωση;"
"775","
<p class=""webgaze-experiment"" id=""paragraph"">Το Fresno εξυπηρετείται από το <span id=""a_FresnoCalifornia_3_qa_0"">State Route 99</span>, τον κύριο αυτοκινητόδρομο Βορρά / Νότου που συνδέει τα μεγάλα κέντρα πληθυσμού της Κεντρικής Κοιλάδας της Καλιφόρνια. Το State Route 168, το <span id=""a_FresnoCalifornia_3_qa_1"">Sierra Freeway</span>, κατευθύνεται ανατολικά προς την πόλη Clovis και τη λίμνη Huntington. Το <span id=""a_FresnoCalifornia_3_qa_2"">State Route 41</span> (Yosemite Freeway/Eisenhower Freeway) φτάνει στο Φρέσνο από το Atascadero στον νότο, και στη συνέχεια κατευθύνεται βόρεια προς Yosemite. Το State Route 180,(Kings Canyon Freeway) έρχεται προς τα <span id=""a_FresnoCalifornia_3_qa_3"">δυτικά</span> μέσω Mendota και από τα ανατολικά στο εθνικό πάρκο Kings Canyon και πηγαίνει προς την πόλη Reedley.</p>"," ","html-keyboard-response","6","347804","0.0-6.0","Win32","1280","720","","","","","","","","","","","","a_FresnoCalifornia_3","[]","{""#paragraph"":{""x"":50,""y"":28.5,""width"":1180,""height"":688,""top"":28.5,""right"":1230,""bottom"":716.5,""left"":50},""#a_FresnoCalifornia_3_qa_0"":{""x"":559.433349609375,""y"":68,""width"":212.98333740234375,""height"":33,""top"":68,""right"":772.4166870117188,""bottom"":101,""left"":559.433349609375},""#a_FresnoCalifornia_3_qa_1"":{""x"":825.38330078125,""y"":212,""width"":190.03334045410156,""height"":33,""top"":212,""right"":1015.4166412353516,""bottom"":245,""left"":825.38330078125},""#a_FresnoCalifornia_3_qa_2"":{""x"":70,""y"":284,""width"":1087.050048828125,""height"":105,""top"":284,""right"":1157.050048828125,""bottom"":389,""left"":70},""#a_FresnoCalifornia_3_qa_3"":{""x"":967.4500122070312,""y"":500,""width"":75.81666564941406,""height"":33,""top"":500,""right"":1043.2666778564453,""bottom"":533,""left"":967.4500122070312}}","",""
"1495","","{""Q0"":""1""}","survey-text","7","349302","0.0-7.0","Win32","1280","720","","","","","","","","","","","","a_FresnoCalifornia_3_qa_0","[]","{""#question"":{""x"":70.48333740234375,""y"":287.70001220703125,""width"":1139.0333251953125,""height"":112,""top"":287.70001220703125,""right"":1209.5166625976562,""bottom"":399.70001220703125,""left"":70.48333740234375}}","State Route 99","Ποιος δρόμος συνδέει το Φρέσνο με την Κεντρική Κοιλάδα της Καλιφόρνια;"
"867","
<p class=""webgaze-experiment"" id=""paragraph"">Τα γραπτά του Λούθερ κυκλοφόρησαν ευρέως, φθάνοντας στη Γαλλία, την Αγγλία και την Ιταλία ήδη από το <span id=""a_MartinLuther_0_qa_0"">1519</span>. <span id=""a_MartinLuther_0_qa_1"">Οι μαθητές</span> μαζεύτηκαν στο Wittenberg για να ακούσουν τον Λούθερ να μιλάει. Δημοσίευσε έναν σύντομο σχολιασμό για τους Γαλάτες και το έργο του με θέμα τους Ψαλμούς. Αυτό το <span id=""a_MartinLuther_0_qa_2"">πρώιμο</span> μέρος της καριέρας του Λούθερ ήταν ένα από τα πιο δημιουργικά και παραγωγικά του. Τρία από τα πιο γνωστά έργα του δημοσιεύθηκαν το <span id=""a_MartinLuther_0_qa_3"">1520</span>: Για τη χριστιανική αριστοκρατία του γερμανικού έθνους, για την αιχμαλωσία της εκκλησίας της Βαβυλώνας, και <span id=""a_MartinLuther_0_qa_4"">για την ελευθερία ενός χριστιανού</span>.</p>"," ","html-keyboard-response","8","350172","0.0-8.0","Win32","1280","720","","","","","","","","","","","","a_MartinLuther_0","[]","{""#paragraph"":{""x"":50,""y"":28.5,""width"":1180,""height"":688,""top"":28.5,""right"":1230,""bottom"":716.5,""left"":50},""#a_MartinLuther_0_qa_0"":{""x"":621.2166748046875,""y"":140,""width"":54.866668701171875,""height"":33,""top"":140,""right"":676.0833435058594,""bottom"":173,""left"":621.2166748046875},""#a_MartinLuther_0_qa_1"":{""x"":713.61669921875,""y"":140,""width"":150.84999084472656,""height"":33,""top"":140,""right"":864.4666900634766,""bottom"":173,""left"":713.61669921875},""#a_MartinLuther_0_qa_2"":{""x"":127.01666259765625,""y"":356,""width"":86.03334045410156,""height"":33,""top"":356,""right"":213.0500030517578,""bottom"":389,""left"":127.01666259765625},""#a_MartinLuther_0_qa_3"":{""x"":334.73333740234375,""y"":500,""width"":54.866668701171875,""height"":33,""top"":500,""right"":389.6000061035156,""bottom"":533,""left"":334.73333740234375},""#a_MartinLuther_0_qa_4"":{""x"":70,""y"":572,""width"":1041.199951171875,""height"":105,""top"":572,""right"":1111.199951171875,""bottom"":677,""left"":70}}","",""
"1261","","{""Q0"":""1""}","survey-text","9","351437","0.0-9.0","Win32","1280","720","","","","","","","","","","","","a_MartinLuther_0_qa_3","[]","{""#question"":{""x"":135.46665954589844,""y"":287.70001220703125,""width"":1009.066650390625,""height"":112,""top"":287.70001220703125,""right"":1144.5333099365234,""bottom"":399.70001220703125,""left"":135.46665954589844}}","1520","Πότε δημοσιεύθηκαν κάποια από τα πιο γνωστά έργα του Λούθερ;"
